,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
60,DELTA,1142,10,8.8,0,6,4
61,DENTON,158223,540,3.4,269,517,374
62,DEWITT,4648,35,7.5,9,36,33
63,DICKENS,447,14,31.3,4,9,7
64,DIMMIT,2727,88,32.3,32,85,45
65,DONLEY,729,14,19.2,8,14,14
66,DUVAL,3177,26,8.2,8,22,14
67,EASTLAND,4250,42,9.9,14,41,32
68,ECTOR,38527,341,8.9,142,338,250
69,EDWARDS,451,12,26.6,12,12,1
70,ELLIS,41152,139,3.4,43,131,88
71,EL PASO,225878,851,3.8,376,852,617
72,ERATH,9083,41,4.5,13,41,26
73,FALLS,4325,12,2.8,5,13,13
74,FANNIN,7556,49,6.5,15,51,36
75,FAYETTE,5372,59,11.0,21,54,32
76,FISHER,838,4,4.8,0,4,4
77,FLOYD,1869,23,12.3,7,22,19
78,FOARD,321,0,0.0,0,0,0
79,FORT BEND,135870,334,2.5,125,324,215
80,FRANKLIN,2260,18,8.0,13,19,9
81,FREESTONE,4646,27,5.8,11,30,23
82,FRIO,4931,57,11.6,10,57,37
83,GAINES,5067,30,5.9,20,30,16
84,GALVESTON,71005,397,5.6,166,382,177
85,GARZA,1266,12,9.5,6,9,8
86,GILLESPIE,4630,50,10.8,16,48,33
87,GLASSCOCK,381,0,0.0,0,0,0
88,GOLIAD,1717,5,2.9,3,5,5
89,GONZALES,5371,23,4.3,0,22,16
90,GRAY,5160,107,20.7,53,106,69
91,GRAYSON,27949,190,6.8,59,176,129
92,GREGG,31585,273,8.6,73,269,210
93,GRIMES,6140,46,7.5,15,43,27
94,GUADALUPE,31168,128,4.1,47,123,72
95,HALE,10977,136,12.4,45,133,113
96,HALL,991,11,11.1,3,11,11
97,HAMILTON,1920,20,10.4,5,20,14
98,HANSFORD,1435,4,2.8,2,4,3
99,HARDEMAN,1014,8,7.9,6,9,9
100,HARDIN,12373,71,5.7,22,68,54
101,HARRIS,1104113,7624,6.9,2636,7485,4633
102,HARRISON,15616,130,8.3,47,130,95
103,HARTLEY,1274,4,3.1,0,4,1
104,HASKELL,1280,2,1.6,0,2,1
105,HAYS,32984,138,4.2,60,138,80
106,HEMPHILL,839,2,2.4,0,2,1
107,HENDERSON,18095,260,14.4,105,255,186
108,HIDALGO,253765,621,2.4,232,587,486
109,HILL,9234,65,7.0,18,65,51
110,HOCKLEY,6584,96,14.6,22,93,80
111,HOOD,10428,71,6.8,40,70,52
112,HOPKINS,8766,93,10.6,51,98,56
113,HOUSTON,4912,45,9.2,26,44,32
114,HOWARD,7696,128,16.6,61,127,85
115,HUDSPETH,919,4,4.4,3,3,3
116,HUNT,21036,252,12.0,115,244,151
117,HUTCHINSON,6113,45,7.4,10,41,34
118,IRION,289,3,10.4,2,3,3
119,JACK,1952,10,5.1,5,10,9
120,JACKSON,3937,17,4.3,1,18,9
121,JASPER,8690,53,6.1,16,53,40
122,JEFF DAVIS,431,0,0.0,0,0,0
123,JEFFERSON,60601,273,4.5,100,262,217
124,JIM HOGG,1464,16,10.9,11,13,8
125,JIM WELLS,12004,124,10.3,45,106,66
126,JOHNSON,43767,359,8.2,165,355,271
127,JONES,4198,20,4.8,5,19,18
128,KARNES,3366,22,6.5,7,22,22
129,KAUFMAN,26223,114,4.3,34,106,71
130,KENDALL,7107,22,3.1,15,22,12
131,KENEDY,117,0,0.0,0,0,0
132,KENT,118,0,0.0,0,0,0
133,KERR,8896,226,25.4,96,218,149
134,KIMBLE,1047,22,21.0,12,22,19
135,KING,66,0,0.0,0,0,0
136,KINNEY,798,1,1.3,0,1,0
137,KLEBERG,8203,120,14.6,37,119,74
138,KNOX,998,12,12.0,6,13,9
139,LAMAR,12501,96,7.7,40,93,72
140,LAMB,4375,49,11.2,2,44,34
141,LAMPASAS,5104,46,9.0,8,43,37
142,LASALLE,1553,25,16.1,10,25,12
143,LAVACA,4347,8,1.8,3,8,8
144,LEE,4305,48,11.1,19,46,30
145,LEON,3509,28,8.0,4,26,13
146,LIBERTY,20295,193,9.5,89,194,103
147,LIMESTONE,5589,45,8.1,13,45,32
148,LIPSCOMB,724,4,5.5,4,4,4
149,LIVE OAK,2410,18,7.5,16,18,13
150,LLANO,2997,49,16.3,26,52,42
151,LOVING,3,0,0.0,0,0,0
152,LUBBOCK,67043,874,13.0,233,857,652
153,LYNN,1446,4,2.8,0,4,4
154,MADISON,2999,43,14.3,6,43,29
155,MARION,2229,27,12.1,8,26,14
156,MARTIN,1579,2,1.3,2,2,1
157,MASON,705,6,8.5,3,6,2
158,MATAGORDA,10454,38,3.6,14,36,17
159,MAVERICK,18708,45,2.4,9,45,18
160,MCCULLOCH,2069,25,12.1,12,25,15
161,MCLENNAN,59339,390,6.6,119,385,266
162,MCMULLEN,122,0,0.0,0,0,0
163,MEDINA,11498,201,17.5,77,190,120
164,MENARD,475,5,10.5,0,5,5
165,MIDLAND,35516,219,6.2,103,212,133
166,MILAM,6870,111,16.2,38,106,53
167,MILLS,1168,7,6.0,5,7,5
168,MITCHELL,1761,11,6.2,12,11,2
169,MONTAGUE,4552,81,17.8,52,74,50
170,MONTGOMERY,115177,910,7.9,383,873,481
171,MOORE,5994,18,3.0,12,18,17
172,MORRIS,3069,47,15.3,20,41,16
173,MOTLEY,260,2,7.7,1,2,2
174,NACOGDOCHES,14914,180,12.1,77,176,142
175,NAVARRO,13232,120,9.1,24,117,104
176,NEWTON,3266,17,5.2,5,17,9
177,NOLAN,3608,25,6.9,11,26,22
178,NUECES,87455,810,9.3,282,789,577
179,OCHILTREE,2892,9,3.1,1,11,9
180,OLDHAM,480,2,4.2,0,2,2
181,ORANGE,20774,128,6.2,50,125,103
182,PALO PINTO,7172,69,9.6,25,69,52
183,PANOLA,5522,28,5.1,13,27,23
184,PARKER,27112,76,2.8,27,74,64
185,PARMER,2836,21,7.4,2,14,12
186,PECOS,4477,48,10.7,20,46,31
187,POLK,9397,129,13.7,66,125,94
188,POTTER,35980,284,7.9,79,286,248
189,PRESIDIO,2710,7,2.6,4,7,6
190,RAINS,2057,24,11.7,5,18,11
191,RANDALL,25723,408,15.9,130,368,271
192,REAGAN,777,5,6.4,3,5,4
193,REAL,611,10,16.4,7,10,11
194,RED RIVER,3169,35,11.0,17,34,17
195,REEVES,2845,25,8.8,12,25,18
196,REFUGIO,1721,2,1.2,0,2,2
197,ROBERTS,175,0,0.0,0,0,0
198,ROBERTSON,4462,23,5.2,6,24,13
199,ROCKWALL,19750,32,1.6,8,33,21
200,RUNNELS,2921,42,14.4,22,38,25
201,RUSK,11281,93,8.2,38,83,48
202,SABINE,2045,17,8.3,14,17,16
203,SAN AUGUSTINE,2157,6,2.8,10,6,6
204,SAN JACINTO,6005,58,9.7,18,56,54
205,SAN PATRICIO,21302,96,4.5,53,93,83
206,SAN SABA,1362,15,11.0,5,16,10
207,SCHLEICHER,756,1,1.3,0,1,1
208,SCURRY,4105,27,6.6,14,27,24
209,SHACKELFORD,816,1,1.2,0,1,0
210,SHELBY,6825,72,10.5,30,68,51
211,SHERMAN,796,8,10.1,4,6,6
212,SMITH,52391,371,7.1,141,363,276
213,SOMERVELL,2014,11,5.5,7,11,10
214,STARR,23913,112,4.7,40,112,97
215,STEPHENS,2398,19,7.9,3,19,9
216,STERLING,290,0,0.0,0,0,0
217,STONEWALL,338,0,0.0,0,0,0
218,SUTTON,1161,1,0.9,0,2,1
219,SWISHER,2128,28,13.2,10,27,20
220,TARRANT,482819,2135,4.4,824,2066,1697
221,TAYLOR,34377,280,8.1,118,272,217
222,TERRELL,169,4,23.7,1,4,1
223,TERRY,2995,43,14.4,20,42,22
224,THROCKMORTON,387,1,2.6,0,2,2
225,TITUS,9127,139,15.2,52,124,70
226,TOM GREEN,26325,471,17.9,147,452,328
227,TRAVIS,232199,1199,5.2,484,1191,832
228,TRINITY,3139,42,13.4,12,39,28
229,TYLER,4648,19,4.1,5,19,17
230,UPSHUR,8953,121,13.5,55,117,42
231,UPTON,741,7,9.4,4,9,7
232,UVALDE,8579,83,9.7,11,81,48
233,VAL VERDE,14821,51,3.4,10,48,31
234,VAN ZANDT,12316,186,15.1,84,180,122
235,VICTORIA,24295,164,6.8,27,162,136
236,WALKER,11243,93,8.3,37,89,61
237,WALLER,10201,63,6.2,17,62,29
238,WARD,2476,24,9.7,12,25,17
239,WASHINGTON,7351,37,5.0,21,38,27
240,WEBB,89516,530,5.9,176,523,435
241,WHARTON,11413,88,7.7,52,82,49
242,WHEELER,1108,16,14.4,6,13,11
243,WICHITA,31797,278,8.7,116,264,214
244,WILBARGER,3752,17,4.5,7,19,17
245,WILLACY,6681,85,12.7,33,87,77
246,WILLIAMSON,106272,587,5.5,192,547,396
247,WILSON,10941,29,2.7,20,29,15
248,WINKLER,1643,16,9.7,9,14,7
249,WISE,14258,79,5.5,45,79,53
250,WOOD,8073,132,16.4,54,126,76
251,YOAKUM,2440,21,8.6,3,17,11
252,YOUNG,4367,28,6.4,12,28,21
253,ZAPATA,4635,66,14.2,26,66,52
254,ZAVALA,3979,46,11.6,13,46,38
255,UNKNOWN,0,0,0.0,0,0,0
256,OUT OF STATE,0,0,0.0,0,0,0
257,STATE TOTAL,6584709,42890,6.5,16347,41902,"29,072*"
