,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
78,FOARD,321,0,0,0,0,0,0,0,0
79,FORT BEND,135870,2,255,1,0,5,0,263,1025
80,FRANKLIN,2260,0,3,0,0,0,0,3,7
81,FREESTONE,4646,0,9,1,0,0,0,10,80
82,FRIO,4931,0,12,0,0,0,0,12,50
83,GAINES,5067,0,4,0,0,0,0,4,6
84,GALVESTON,71005,1,84,2,0,1,0,88,338
85,GARZA,1266,0,2,0,0,0,0,2,6
86,GILLESPIE,4630,0,6,0,0,0,0,6,22
87,GLASSCOCK,381,0,0,0,0,0,0,0,0
88,GOLIAD,1717,0,10,1,0,0,0,11,64
89,GONZALES,5371,0,6,0,0,1,0,7,100
90,GRAY,5160,0,5,1,0,0,0,6,28
91,GRAYSON,27949,0,30,1,0,0,0,31,95
92,GREGG,31585,2,48,0,0,0,0,50,116
93,GRIMES,6140,0,5,0,0,0,0,5,11
94,GUADALUPE,31168,0,74,1,0,1,0,76,267
95,HALE,10977,0,15,0,0,0,0,15,46
96,HALL,991,0,0,0,0,0,0,0,0
97,HAMILTON,1920,1,4,0,0,0,0,5,15
98,HANSFORD,1435,0,0,0,0,0,0,0,0
99,HARDEMAN,1014,0,1,0,0,0,0,1,5
100,HARDIN,12373,0,18,0,0,0,0,18,56
101,HARRIS,1104113,43,1363,16,5,23,1,1451,5674
102,HARRISON,15616,0,26,2,0,1,0,29,177
103,HARTLEY,1274,0,1,0,0,0,0,1,6
104,HASKELL,1280,0,1,0,0,0,0,1,1
105,HAYS,32984,2,78,1,0,2,0,83,501
106,HEMPHILL,839,0,2,0,0,0,0,2,8
107,HENDERSON,18095,0,34,0,0,0,0,34,102
108,HIDALGO,253765,6,128,1,0,0,0,135,655
109,HILL,9234,0,4,1,0,0,0,5,88
110,HOCKLEY,6584,0,9,0,0,1,0,10,50
111,HOOD,10428,0,9,0,0,0,0,9,24
112,HOPKINS,8766,1,15,0,0,0,0,16,47
113,HOUSTON,4912,0,7,0,0,0,0,7,26
114,HOWARD,7696,0,6,0,0,0,0,6,13
115,HUDSPETH,919,0,1,0,0,0,0,1,0
116,HUNT,21036,0,44,1,0,1,0,46,200
117,HUTCHINSON,6113,0,10,0,0,0,0,10,41
118,IRION,289,0,0,0,0,0,0,0,0
119,JACK,1952,0,2,0,0,0,0,2,4
120,JACKSON,3937,0,11,0,0,0,0,11,45
121,JASPER,8690,0,16,0,0,0,0,16,56
122,JEFF DAVIS,431,0,0,0,0,1,0,1,84
123,JEFFERSON,60601,6,119,4,0,0,0,129,516
124,JIM HOGG,1464,0,0,0,0,0,0,0,0
125,JIM WELLS,12004,0,9,0,0,0,0,9,32
126,JOHNSON,43767,0,68,0,0,0,0,68,245
127,JONES,4198,0,5,0,0,0,0,5,18
128,KARNES,3366,0,0,0,0,0,0,0,0
129,KAUFMAN,26223,0,58,1,0,0,0,59,201
130,KENDALL,7107,1,25,1,0,1,0,28,161
131,KENEDY,117,0,0,0,0,0,0,0,0
132,KENT,118,0,1,0,0,0,0,1,12
133,KERR,8896,3,25,3,0,1,0,32,300
134,KIMBLE,1047,0,3,0,0,0,0,3,10
135,KING,66,0,0,0,0,0,0,0,0
136,KINNEY,798,0,1,0,0,0,0,1,3
137,KLEBERG,8203,0,7,0,0,0,0,7,32
138,KNOX,998,0,1,0,0,0,0,1,1
139,LAMAR,12501,0,11,0,0,0,0,11,38
140,LAMB,4375,0,0,0,0,0,0,0,0
141,LAMPASAS,5104,0,15,1,0,0,0,16,110
142,LASALLE,1553,0,2,0,0,0,0,2,3
143,LAVACA,4347,0,7,0,0,0,0,7,31
144,LEE,4305,0,24,0,0,0,0,24,101
145,LEON,3509,0,8,0,0,0,0,8,13
146,LIBERTY,20295,0,17,0,0,0,0,17,70
147,LIMESTONE,5589,0,6,0,0,0,0,6,32
148,LIPSCOMB,724,0,1,0,0,0,0,1,9
149,LIVE OAK,2410,0,4,0,0,0,0,4,18
150,LLANO,2997,0,4,0,0,0,0,4,8
151,LOVING,3,0,0,0,0,0,0,0,0
152,LUBBOCK,67043,11,212,4,0,1,1,229,841
153,LYNN,1446,0,1,0,0,0,0,1,2
154,MADISON,2999,0,4,0,0,0,0,4,4
155,MARION,2229,0,1,0,0,0,0,1,4
156,MARTIN,1579,0,0,0,0,0,0,0,0
157,MASON,705,0,2,0,0,0,0,2,7
158,MATAGORDA,10454,0,9,0,0,0,0,9,32
159,MAVERICK,18708,0,9,0,0,0,0,9,17
160,MCCULLOCH,2069,0,21,0,0,0,0,21,105
161,MCLENNAN,59339,4,93,3,0,1,0,101,702
162,MCMULLEN,122,0,0,0,0,0,0,0,0
163,MEDINA,11498,1,30,1,0,0,0,32,126
164,MENARD,475,0,0,0,0,0,0,0,0
165,MIDLAND,35516,4,45,1,0,0,0,50,181
166,MILAM,6870,0,14,1,0,0,0,15,80
167,MILLS,1168,0,13,0,0,1,0,14,166
168,MITCHELL,1761,0,3,0,0,0,0,3,6
169,MONTAGUE,4552,0,7,0,0,0,0,7,16
170,MONTGOMERY,115177,7,165,4,0,0,0,176,559
171,MOORE,5994,0,1,0,0,0,0,1,0
172,MORRIS,3069,0,4,0,0,0,0,4,13
173,MOTLEY,260,0,0,0,0,0,0,0,0
174,NACOGDOCHES,14914,0,25,0,0,1,0,26,120
175,NAVARRO,13232,2,57,0,0,2,0,61,294
176,NEWTON,3266,0,5,0,0,0,0,5,20
177,NOLAN,3608,0,5,0,0,0,0,5,15
178,NUECES,87455,9,136,2,0,0,1,148,652
179,OCHILTREE,2892,0,1,0,0,0,0,1,2
180,OLDHAM,480,0,1,1,0,0,0,2,440
181,ORANGE,20774,0,40,0,0,0,0,40,141
182,PALO PINTO,7172,0,6,0,0,0,0,6,21
183,PANOLA,5522,0,4,0,0,0,0,4,12
184,PARKER,27112,0,50,1,0,0,0,51,214
185,PARMER,2836,0,4,0,0,0,0,4,15
186,PECOS,4477,0,1,0,0,0,0,1,2
187,POLK,9397,0,18,0,0,0,0,18,75
188,POTTER,35980,7,68,2,0,0,0,77,276
189,PRESIDIO,2710,0,0,0,0,0,0,0,0
190,RAINS,2057,0,4,0,0,0,0,4,12
191,RANDALL,25723,3,91,3,0,0,0,97,420
192,REAGAN,777,0,1,0,0,0,0,1,4
193,REAL,611,0,1,0,0,0,0,1,3
194,RED RIVER,3169,0,4,0,0,0,0,4,12
195,REEVES,2845,0,1,0,0,0,0,1,3
196,REFUGIO,1721,0,1,0,0,0,0,1,5
197,ROBERTS,175,0,0,0,0,0,0,0,0
198,ROBERTSON,4462,0,5,0,0,0,0,5,4
199,ROCKWALL,19750,0,26,0,0,0,0,26,70
200,RUNNELS,2921,0,3,0,0,0,0,3,8
201,RUSK,11281,0,24,0,0,0,0,24,80
202,SABINE,2045,0,0,0,0,0,0,0,0
203,SAN AUGUSTINE,2157,0,11,0,0,0,0,11,53
204,SAN JACINTO,6005,0,5,0,0,0,0,5,17
205,SAN PATRICIO,21302,0,20,2,0,1,0,23,207
206,SAN SABA,1362,1,11,1,0,0,0,13,121
207,SCHLEICHER,756,0,1,0,0,0,0,1,2
208,SCURRY,4105,0,9,0,0,0,0,9,26
209,SHACKELFORD,816,0,3,0,0,0,0,3,12
210,SHELBY,6825,1,32,0,0,0,0,33,163
211,SHERMAN,796,0,1,0,0,0,0,1,3
212,SMITH,52391,11,151,3,0,3,1,169,689
213,SOMERVELL,2014,0,2,0,0,0,1,3,12
214,STARR,23913,0,8,0,0,0,0,8,35
215,STEPHENS,2398,0,5,0,0,0,0,5,17
216,STERLING,290,0,1,0,0,0,0,1,3
217,STONEWALL,338,0,2,0,0,0,0,2,8
218,SUTTON,1161,0,4,0,0,0,0,4,16
219,SWISHER,2128,0,7,0,0,0,0,7,22
220,TARRANT,482819,34,721,5,0,0,1,761,2472
221,TAYLOR,34377,8,85,4,0,1,0,98,388
222,TERRELL,169,0,0,0,0,0,0,0,0
223,TERRY,2995,0,4,0,0,0,0,4,14
224,THROCKMORTON,387,0,0,0,0,0,0,0,0
225,TITUS,9127,0,5,0,0,0,0,5,24
226,TOM GREEN,26325,2,36,3,0,0,0,41,231
227,TRAVIS,232199,25,370,5,0,3,0,403,1367
228,TRINITY,3139,0,5,0,0,0,0,5,20
229,TYLER,4648,0,15,1,0,1,0,17,94
230,UPSHUR,8953,0,16,0,0,0,0,16,67
231,UPTON,741,0,3,0,0,0,0,3,8
232,UVALDE,8579,0,5,0,0,0,0,5,18
233,VAL VERDE,14821,1,14,0,0,0,0,15,36
234,VAN ZANDT,12316,0,44,0,0,0,0,44,143
235,VICTORIA,24295,3,45,1,0,1,0,50,250
236,WALKER,11243,0,12,2,0,1,0,15,318
237,WALLER,10201,0,16,0,0,0,0,16,43
238,WARD,2476,0,1,0,0,0,0,1,3
239,WASHINGTON,7351,0,6,1,0,0,0,7,41
240,WEBB,89516,3,78,2,0,0,0,83,393
241,WHARTON,11413,0,14,0,0,0,0,14,48
242,WHEELER,1108,0,1,0,0,0,0,1,4
243,WICHITA,31797,4,39,1,0,0,1,45,155
244,WILBARGER,3752,0,1,0,0,0,0,1,1
245,WILLACY,6681,0,5,0,0,0,0,5,17
246,WILLIAMSON,106272,6,281,4,0,1,1,293,1121
247,WILSON,10941,0,29,0,0,0,0,29,113
248,WINKLER,1643,0,1,0,0,0,0,1,2
249,WISE,14258,0,16,0,0,0,0,16,39
250,WOOD,8073,1,21,1,0,0,0,23,110
251,YOAKUM,2440,0,1,0,0,0,0,1,2
252,YOUNG,4367,0,6,0,0,0,0,6,14
253,ZAPATA,4635,0,4,0,0,0,0,4,19
254,ZAVALA,3979,0,1,0,0,0,0,1,0
255,OUT OF STATE,0,0,42,0,0,0,0,42,84
256,STATE TOTAL,6584709,341,9731,154,7,79,10,10322,42722
