,County,Child  Population,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*
80,FRANKLIN,2194,11,5.0,3,11,7
81,FREESTONE,4704,23,4.9,8,25,21
82,FRIO,4800,82,17.1,18,82,42
83,GAINES,4889,24,4.9,9,22,7
84,GALVESTON,71099,377,5.3,132,359,185
85,GARZA,1267,6,4.7,1,6,6
86,GILLESPIE,4535,53,11.7,22,54,22
87,GLASSCOCK,381,0,0.0,0,0,0
88,GOLIAD,1670,4,2.4,0,4,4
89,GONZALES,5308,45,8.5,0,44,30
90,GRAY,5101,87,17.1,27,82,64
91,GRAYSON,28321,204,7.2,38,190,141
92,GREGG,30598,283,9.2,82,286,227
93,GRIMES,6033,52,8.6,21,52,37
94,GUADALUPE,29951,118,3.9,35,113,56
95,HALE,11057,163,14.7,27,152,113
96,HALL,999,10,10.0,0,10,10
97,HAMILTON,1792,19,10.6,12,18,16
98,HANSFORD,1585,1,0.6,2,1,1
99,HARDEMAN,1045,5,4.8,0,6,5
100,HARDIN,12905,68,5.3,16,66,50
101,HARRIS,1070831,6944,6.5,1866,6837,4122
102,HARRISON,15271,104,6.8,36,101,80
103,HARTLEY,1208,4,3.3,0,5,1
104,HASKELL,1329,5,3.8,2,4,4
105,HAYS,34046,154,4.5,54,151,88
106,HEMPHILL,807,2,2.5,2,3,1
107,HENDERSON,18783,266,14.2,96,238,170
108,HIDALGO,252901,704,2.8,225,680,553
109,HILL,9088,63,6.9,21,61,53
110,HOCKLEY,6615,108,16.3,16,97,68
111,HOOD,10261,54,5.3,12,54,39
112,HOPKINS,8683,86,9.9,30,78,56
113,HOUSTON,4929,31,6.3,7,30,23
114,HOWARD,7837,118,15.1,45,112,78
115,HUDSPETH,1001,3,3.0,0,3,3
116,HUNT,21521,239,11.1,105,239,161
117,HUTCHINSON,5889,63,10.7,19,62,49
118,IRION,295,2,6.8,0,1,1
119,JACK,1958,5,2.6,1,5,7
120,JACKSON,3745,24,6.4,7,25,16
121,JASPER,9023,51,5.7,17,47,37
122,JEFF DAVIS,385,0,0.0,0,0,0
123,JEFFERSON,63079,256,4.1,71,252,204
124,JIM HOGG,1509,16,10.6,3,16,8
125,JIM WELLS,12305,141,11.5,41,125,74
126,JOHNSON,43440,293,6.7,110,294,237
127,JONES,4545,17,3.7,5,18,17
128,KARNES,3280,18,5.5,1,18,17
129,KAUFMAN,26189,144,5.5,51,149,78
130,KENDALL,7169,21,2.9,4,17,12
131,KENEDY,115,2,17.4,2,2,2
132,KENT,118,0,0.0,0,0,0
133,KERR,9542,202,21.2,58,193,143
134,KIMBLE,992,15,15.1,7,13,13
135,KING,74,0,0.0,0,0,0
136,KINNEY,787,1,1.3,1,1,1
137,KLEBERG,8875,126,14.2,49,120,87
138,KNOX,987,7,7.1,3,7,7
139,LAMAR,12565,87,6.9,27,84,57
140,LAMB,4296,63,14.7,5,67,55
141,LAMPASAS,5535,60,10.8,12,59,51
142,LASALLE,1875,28,14.9,1,27,13
143,LAVACA,4316,7,1.6,0,7,6
144,LEE,4333,49,11.3,19,48,28
145,LEON,3515,38,10.8,3,33,23
146,LIBERTY,21344,172,8.1,49,162,96
147,LIMESTONE,5618,50,8.9,20,49,34
148,LIPSCOMB,692,0,0.0,0,0,1
149,LIVE OAK,2381,3,1.3,2,3,3
150,LLANO,3234,44,13.6,10,45,41
151,LOVING,3,0,0.0,0,0,0
152,LUBBOCK,63936,955,14.9,211,895,676
153,LYNN,1737,4,2.3,0,4,4
154,MADISON,2920,48,16.4,29,49,40
155,MARION,2238,22,9.8,8,22,15
156,MARTIN,1576,0,0.0,0,0,0
157,MASON,744,9,12.1,4,8,8
158,MATAGORDA,10609,37,3.5,11,33,18
159,MAVERICK,18632,46,2.5,5,46,31
160,MCCULLOCH,1980,24,12.1,1,20,14
161,MCLENNAN,57387,451,7.9,97,433,278
162,MCMULLEN,126,0,0.0,0,0,0
163,MEDINA,11742,161,13.7,31,158,81
164,MENARD,505,7,13.9,4,7,7
165,MIDLAND,34237,189,5.5,34,186,103
166,MILAM,6854,113,16.5,24,108,51
167,MILLS,1114,4,3.6,0,4,4
168,MITCHELL,1759,3,1.7,1,3,1
169,MONTAGUE,4444,42,9.5,14,41,25
170,MONTGOMERY,114616,859,7.5,317,822,451
171,MOORE,6486,9,1.4,3,10,7
172,MORRIS,3049,34,11.2,19,34,17
173,MOTLEY,260,3,11.5,0,3,1
174,NACOGDOCHES,14978,147,9.8,64,141,109
175,NAVARRO,13547,161,11.9,21,158,128
176,NEWTON,3407,18,5.3,0,17,13
177,NOLAN,4026,28,7.0,2,29,21
178,NUECES,87371,775,8.9,303,721,550
179,OCHILTREE,2931,10,3.4,4,11,9
180,OLDHAM,497,4,8.0,2,4,4
181,ORANGE,20806,133,6.4,39,115,98
182,PALO PINTO,6965,63,9.0,12,61,45
183,PANOLA,5361,26,4.8,8,23,21
184,PARKER,27526,92,3.3,22,87,69
185,PARMER,3044,33,10.8,5,34,29
186,PECOS,4375,45,10.3,13,45,32
187,POLK,10250,118,11.5,33,111,73
188,POTTER,35029,294,8.4,71,294,248
189,PRESIDIO,2677,5,1.9,2,5,3
190,RAINS,2242,22,9.8,8,20,15
191,RANDALL,25338,403,15.9,137,386,272
192,REAGAN,1001,9,9.0,1,9,6
193,REAL,591,6,10.2,0,6,5
194,RED RIVER,3364,32,9.5,11,31,17
195,REEVES,3361,20,6.0,8,19,6
196,REFUGIO,2034,2,1.0,2,2,2
197,ROBERTS,175,0,0.0,0,0,0
198,ROBERTSON,4456,30,6.7,3,28,10
199,ROCKWALL,20102,46,2.3,15,39,21
200,RUNNELS,2847,37,13.0,10,38,26
201,RUSK,11716,67,5.7,28,69,36
202,SABINE,2050,3,1.5,0,3,3
203,SAN AUGUSTINE,2079,4,1.9,1,4,1
204,SAN JACINTO,5484,67,12.2,29,63,49
205,SAN PATRICIO,21629,79,3.7,24,71,54
206,SAN SABA,1386,18,13.0,0,18,15
207,SCHLEICHER,740,9,12.2,0,5,1
208,SCURRY,4025,23,5.7,5,20,18
209,SHACKELFORD,800,2,2.5,0,2,1
210,SHELBY,6937,52,7.5,16,51,36
211,SHERMAN,809,7,8.7,1,5,5
212,SMITH,51094,330,6.5,119,333,227
213,SOMERVELL,2124,4,1.9,2,4,4
214,STARR,23950,92,3.8,35,94,79
215,STEPHENS,2396,23,9.6,12,23,17
216,STERLING,296,0,0.0,0,0,0
217,STONEWALL,338,0,0.0,0,0,0
218,SUTTON,1135,6,5.3,2,6,2
219,SWISHER,2354,21,8.9,0,21,20
220,TARRANT,474768,1966,4.1,591,1892,1565
221,TAYLOR,33995,238,7.0,80,230,171
222,TERRELL,178,3,16.9,3,3,0
223,TERRY,3623,41,11.3,10,42,30
224,THROCKMORTON,383,1,2.6,0,2,2
225,TITUS,9387,110,11.7,51,106,51
226,TOM GREEN,25926,424,16.4,97,418,285
227,TRAVIS,218088,1233,5.7,369,1218,868
228,TRINITY,3115,43,13.8,15,43,32
229,TYLER,4714,19,4.0,6,15,13
230,UPSHUR,9084,101,11.1,47,96,57
231,UPTON,871,11,12.6,0,11,6
232,UVALDE,8709,93,10.7,17,87,40
233,VAL VERDE,15177,52,3.4,20,50,33
234,VAN ZANDT,12527,147,11.7,69,137,98
235,VICTORIA,24213,196,8.1,30,190,154
236,WALKER,11422,92,8.1,26,92,55
237,WALLER,10416,65,6.2,30,70,29
238,WARD,2928,15,5.1,10,14,12
239,WASHINGTON,7365,27,3.7,4,30,25
240,WEBB,89801,507,5.6,102,497,388
241,WHARTON,11437,40,3.5,24,37,21
242,WHEELER,1095,14,12.8,0,13,12
243,WICHITA,31130,279,9.0,71,262,221
244,WILBARGER,3645,29,8.0,2,29,21
245,WILLACY,6641,88,13.3,15,83,76
246,WILLIAMSON,102401,547,5.3,179,522,389
247,WILSON,11127,14,1.3,6,13,9
248,WINKLER,1962,16,8.2,6,12,5
249,WISE,15671,58,3.7,20,53,42
250,WOOD,7941,118,14.9,44,119,72
251,YOAKUM,2299,26,11.3,0,26,18
252,YOUNG,4257,31,7.3,7,29,18
253,ZAPATA,4807,57,11.9,13,56,46
254,ZAVALA,3867,50,12.9,8,43,27
255,UNKNOWN,0,0,0.0,0,0,0
256,OUT OF STATE,0,0,0.0,0,0,0
257,STATE TOTAL,6510210,40840,6.3,12107,39733,"27,422*"
