,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
91,GRAYSON,9710,18626,728,560,387,309
92,GREGG,9302,16241,625,502,395,409
93,GRIMES,2232,3880,92,79,69,49
94,GUADALUPE,10007,13113,430,299,168,159
95,HALE,2800,4718,130,129,112,152
96,HALL,274,793,19,15,15,21
97,HAMILTON,629,1975,54,34,19,17
98,HANSFORD,424,900,5,4,3,10
99,HARDEMAN,357,974,69,58,49,54
100,HARDIN,4212,7217,201,174,126,231
101,HARRIS,324486,300474,11353,9181,6547,7431
102,HARRISON,5333,8524,294,239,200,252
103,HARTLEY,496,728,8,4,3,4
104,HASKELL,451,1426,67,63,60,73
105,HAYS,13936,12284,269,228,128,127
106,HEMPHILL,279,608,7,5,4,3
107,HENDERSON,6487,16225,564,468,377,547
108,HIDALGO,57099,67003,2596,2235,1541,1998
109,HILL,2754,6563,143,109,76,94
110,HOCKLEY,1844,3179,117,89,81,153
111,HOOD,4167,10381,136,115,77,103
112,HOPKINS,2632,5794,169,151,107,142
113,HOUSTON,1969,4516,394,339,306,251
114,HOWARD,2834,5066,303,234,168,89
115,HUDSPETH,303,606,16,9,9,8
116,HUNT,7273,10923,545,419,355,466
117,HUTCHINSON,1779,3661,114,99,90,176
118,IRION,159,409,4,5,4,6
119,JACK,702,1424,82,66,53,49
120,JACKSON,1160,2382,40,31,15,11
121,JASPER,2843,6221,262,210,157,226
122,JEFF DAVIS,228,593,6,6,6,3
123,JEFFERSON,20680,31060,1518,1215,881,808
124,JIM HOGG,452,856,57,49,30,42
125,JIM WELLS,3346,5301,216,163,85,76
126,JOHNSON,13120,17923,380,280,189,229
127,JONES,1663,2907,161,142,104,80
128,KARNES,1346,2015,53,60,42,31
129,KAUFMAN,8608,11516,335,245,217,245
130,KENDALL,2924,4960,59,48,29,42
131,KENEDY,38,79,1,1,1,3
132,KENT,63,265,2,1,1,0
133,KERR,3509,12648,297,265,193,229
134,KIMBLE,356,1093,52,44,44,60
135,KING,32,59,0,0,0,0
136,KINNEY,241,886,31,21,17,11
137,KLEBERG,2770,3796,122,97,60,84
138,KNOX,309,906,44,39,29,49
139,LAMAR,3905,8613,320,257,182,223
140,LAMB,1146,2525,132,96,88,102
141,LAMPASAS,1894,3635,82,75,45,79
142,LASALLE,507,898,22,16,10,10
143,LAVACA,1476,4216,73,59,34,37
144,LEE,1413,2453,60,47,33,59
145,LEON,1340,4152,78,58,44,40
146,LIBERTY,6811,9390,345,287,216,224
147,LIMESTONE,1837,3959,123,108,64,95
148,LIPSCOMB,239,627,6,8,8,20
149,LIVE OAK,1084,2157,51,41,32,33
150,LLANO,1411,5885,86,68,51,52
151,LOVING,7,18,0,0,0,0
152,LUBBOCK,20124,28051,2277,1981,1618,2011
153,LYNN,538,1126,29,27,26,42
154,MADISON,1108,2162,45,38,24,20
155,MARION,926,2524,104,94,87,91
156,MARTIN,373,737,9,9,3,3
157,MASON,313,1110,13,9,9,9
158,MATAGORDA,3132,5134,142,121,79,162
159,MAVERICK,4075,5373,113,116,67,35
160,MCCULLOCH,629,1741,115,101,91,139
161,MCLENNAN,17421,27397,986,862,526,862
162,MCMULLEN,75,228,1,1,1,1
163,MEDINA,3763,5722,164,152,67,31
164,MENARD,204,656,23,19,18,21
165,MIDLAND,9928,14568,406,321,223,208
166,MILAM,2026,4591,75,82,57,75
167,MILLS,383,1170,19,16,10,6
168,MITCHELL,851,1577,41,32,25,25
169,MONTAGUE,1479,4619,324,277,233,243
170,MONTGOMERY,37971,42272,1092,860,629,677
171,MOORE,1604,2337,69,61,56,79
172,MORRIS,1057,2486,69,59,47,54
173,MOTLEY,104,388,17,15,15,17
174,NACOGDOCHES,4890,7983,223,181,170,241
175,NAVARRO,3936,6957,236,168,125,144
176,NEWTON,1220,2507,98,63,53,82
177,NOLAN,1224,2584,136,112,83,55
178,NUECES,26524,34500,1918,1428,1224,1634
179,OCHILTREE,759,1155,20,18,17,45
180,OLDHAM,186,372,5,4,4,3
181,ORANGE,6803,12428,406,338,245,272
182,PALO PINTO,2175,4907,165,134,73,129
183,PANOLA,1854,3824,140,117,88,104
184,PARKER,10021,13614,273,207,90,175
185,PARMER,802,1390,18,18,17,15
186,PECOS,1426,2075,81,65,54,60
187,POLK,3951,10748,421,318,250,239
188,POTTER,9552,14226,703,654,543,627
189,PRESIDIO,618,1219,29,31,22,29
190,RAINS,985,2459,44,44,37,49
191,RANDALL,9559,13824,329,313,211,216
192,REAGAN,294,485,14,13,10,3
193,REAL,246,909,16,13,9,7
194,RED RIVER,1104,2907,109,87,53,60
195,REEVES,1019,1891,128,100,90,75
196,REFUGIO,657,1506,35,29,25,27
197,ROBERTS,79,203,0,0,0,0
198,ROBERTSON,1301,2922,73,60,43,47
199,ROCKWALL,6943,7207,123,103,74,70
200,RUNNELS,871,2112,120,106,78,51
201,RUSK,4009,7985,229,172,111,134
202,SABINE,798,3105,77,69,63,67
203,SAN AUGUSTINE,734,2086,60,54,49,43
204,SAN JACINTO,1999,4733,197,174,139,120
205,SAN PATRICIO,5703,7969,293,252,148,154
206,SAN SABA,469,1288,18,12,7,4
207,SCHLEICHER,251,580,9,8,7,8
208,SCURRY,1307,2521,79,69,52,68
209,SHACKELFORD,260,624,30,23,20,15
210,SHELBY,2033,4392,174,142,132,167
211,SHERMAN,258,534,7,6,6,7
212,SMITH,15469,28358,1023,837,648,779
213,SOMERVELL,712,1176,7,7,5,8
214,STARR,4749,5845,253,202,101,132
215,STEPHENS,753,1768,76,59,41,42
216,STERLING,126,252,3,3,2,0
217,STONEWALL,126,429,13,9,6,8
218,SUTTON,367,710,21,19,18,19
219,SWISHER,642,1384,34,24,21,39
220,TARRANT,143928,145713,4092,3094,1664,1405
221,TAYLOR,10209,15873,1415,1222,968,758
222,TERRELL,91,288,3,4,3,3
223,TERRY,1021,1960,61,70,61,172
224,THROCKMORTON,134,482,9,8,5,10
225,TITUS,2338,3969,96,84,69,141
226,TOM GREEN,8094,14280,1192,981,848,989
227,TRAVIS,78868,64937,3227,2688,1734,1694
228,TRINITY,1112,3801,178,142,128,221
229,TYLER,1675,4389,192,160,120,162
230,UPSHUR,3054,6209,204,184,133,184
231,UPTON,293,661,25,20,14,4
232,UVALDE,2109,3652,98,99,42,31
233,VAL VERDE,3823,6033,204,184,140,95
234,VAN ZANDT,4189,10009,285,237,179,218
235,VICTORIA,7121,10580,413,338,221,214
236,WALKER,5626,6620,162,142,100,64
237,WALLER,3647,3411,121,108,79,64
238,WARD,909,1766,97,65,53,41
239,WASHINGTON,2629,5274,92,83,56,51
240,WEBB,18624,17899,683,561,324,553
241,WHARTON,3529,5884,140,120,99,78
242,WHEELER,392,1038,9,12,10,11
243,WICHITA,9738,16213,1463,1235,1024,1109
244,WILBARGER,1143,2303,178,146,123,117
245,WILLACY,1672,2450,141,97,75,82
246,WILLIAMSON,32394,34130,773,470,363,395
247,WILSON,3840,4967,117,98,62,73
248,WINKLER,600,1116,35,29,24,21
249,WISE,4852,7073,190,134,65,63
250,WOOD,3184,10750,237,184,125,147
251,YOAKUM,631,1016,10,13,12,22
252,YOUNG,1352,3544,239,220,173,202
253,ZAPATA,1197,2100,59,43,24,52
254,ZAVALA,966,1485,50,51,27,22
255,UNKNOWN,0,0,71,42,27,8
256,OUT OF STATE,0,0,0,0,0,34
257,STATE TOTAL,2003693,2457917,89489,72265,50936,56514
