,County,Region,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
186,PECOS,009,3209,4,299,2,24,2,1
187,POLK,005,7472,7,817,1,12,3,3
188,POTTER,001,28137,33,3781,0,0,27,20
189,PRESIDIO,010,1646,0,0,0,0,4,2
190,RAINS,004,1676,4,173,0,0,1,0
191,RANDALL,001,24872,32,3647,3,36,61,34
192,REAGAN,009,766,2,120,0,0,2,0
193,REAL,008,460,2,77,0,0,1,0
194,RED RIVER,004,2086,2,112,1,12,5,0
195,REEVES,009,2421,2,144,3,36,1,0
196,REFUGIO,011,1276,2,105,0,0,7,1
197,ROBERTS,001,180,0,0,0,0,1,0
198,ROBERTSON,007,3219,3,279,2,24,1,2
199,ROCKWALL,003,18613,25,3713,6,72,16,4
200,RUNNELS,002,1978,3,102,3,36,2,3
201,RUSK,004,10042,10,822,5,60,5,1
202,SABINE,005,1498,2,135,0,0,1,0
203,SAN AUGUSTINE,005,1383,2,81,0,0,1,0
204,SAN JACINTO,005,4784,4,236,0,0,2,0
205,SAN PATRICIO,011,14097,25,1909,4,44,13,0
206,SAN SABA,007,934,1,31,1,12,4,2
207,SCHLEICHER,009,854,1,20,1,12,0,0
208,SCURRY,002,3510,4,374,0,0,4,2
209,SHACKELFORD,002,614,1,51,0,0,1,0
210,SHELBY,005,5393,3,158,1,9,1,3
211,SHERMAN,001,650,1,51,0,0,2,0
212,SMITH,004,43715,83,8579,6,72,40,9
213,SOMERVELL,003,1567,4,178,1,12,2,2
214,STARR,011,16038,36,2272,3,36,3,9
215,STEPHENS,002,1754,1,163,1,12,0,3
216,STERLING,009,222,1,35,0,0,0,0
217,STONEWALL,002,238,0,0,1,12,1,0
218,SUTTON,009,838,1,43,0,0,2,2
219,SWISHER,001,1566,2,200,0,0,2,0
220,TARRANT,003,407275,637,74227,113,1352,433,570
221,TAYLOR,002,26756,49,5141,4,48,34,30
222,TERRELL,009,169,0,0,0,0,0,0
223,TERRY,001,2655,1,100,3,36,0,1
224,THROCKMORTON,002,246,1,12,0,0,0,0
225,TITUS,004,7893,6,1065,0,0,0,1
226,TOM GREEN,009,21458,51,5150,5,60,18,20
227,TRAVIS,007,223614,531,50089,68,809,176,133
228,TRINITY,005,2240,4,240,0,0,1,1
229,TYLER,005,3123,5,287,2,24,1,0
230,UPSHUR,004,7489,5,465,3,36,8,0
231,UPTON,009,748,1,20,0,0,0,0
232,UVALDE,008,5968,13,920,2,24,1,1
233,VAL VERDE,008,11887,14,1062,3,36,3,5
234,VAN ZANDT,004,9264,11,1097,4,48,4,1
235,VICTORIA,008,18310,41,3404,19,226,17,10
236,WALKER,006,9514,20,1807,0,0,14,2
237,WALLER,006,9364,12,899,4,48,8,4
238,WARD,009,2278,2,139,0,0,2,1
239,WASHINGTON,007,5943,12,1154,3,36,8,4
240,WEBB,011,72478,98,6940,35,415,162,24
241,WHARTON,006,8498,14,1465,3,36,7,2
242,WHEELER,001,1108,1,80,0,0,1,0
243,WICHITA,002,24548,50,4049,18,216,22,26
244,WILBARGER,002,2849,8,419,2,24,5,6
245,WILLACY,011,4970,7,539,1,12,2,3
246,WILLIAMSON,007,106004,253,32130,56,670,166,83
247,WILSON,008,8474,14,1192,1,12,10,8
248,WINKLER,009,1658,0,0,2,24,4,1
249,WISE,003,12193,27,1724,0,0,10,3
250,WOOD,004,6547,13,879,0,0,5,3
251,YOAKUM,001,2021,2,67,2,24,2,0
252,YOUNG,002,3531,9,499,1,12,3,3
253,ZAPATA,011,4272,5,311,0,0,3,0
254,ZAVALA,008,2993,9,613,0,0,1,1
255,STATEWIDE,,5647349,9458,1009741,1720,20494,5026,4678
