,County,Region,Total,Hispanic,Anglo,African American,Asian,Other*,Native American
201,RUSK,004,13131,3340,7335,1890,55,445,66
202,SABINE,005,2003,145,1608,175,3,66,6
203,SAN AUGUSTINE,005,1823,240,1040,496,7,38,2
204,SAN JACINTO,005,6494,1322,4284,654,36,177,21
205,SAN PATRICIO,011,18202,12037,5493,217,101,317,37
206,SAN SABA,007,1180,518,639,6,3,6,8
207,SCHLEICHER,009,1119,531,571,11,2,4,0
208,SCURRY,002,4437,2403,1852,85,3,88,6
209,SHACKELFORD,002,815,121,668,6,4,16,0
210,SHELBY,005,6943,1955,3635,1216,16,105,16
211,SHERMAN,001,857,511,335,2,2,4,3
212,SMITH,004,56308,16672,26364,10591,773,1757,151
213,SOMERVELL,003,2190,699,1379,25,16,60,11
214,STARR,011,20828,20088,691,1,33,10,5
215,STEPHENS,002,2280,793,1405,33,6,32,11
216,STERLING,009,278,107,157,3,0,6,5
217,STONEWALL,002,316,79,215,8,7,7,0
218,SUTTON,009,1114,794,314,0,0,6,0
219,SWISHER,001,2013,1109,737,111,0,44,12
220,TARRANT,003,529252,206246,191093,84185,25291,20508,1929
221,TAYLOR,002,33528,11496,17357,2705,372,1490,108
222,TERRELL,009,213,127,83,0,2,1,0
223,TERRY,001,3384,2168,1060,100,5,41,10
224,THROCKMORTON,002,322,54,261,3,4,0,0
225,TITUS,004,10093,5885,3148,756,78,176,50
226,TOM GREEN,009,27329,13662,11815,847,220,696,89
227,TRAVIS,007,277652,132336,98320,21725,15039,9635,597
228,TRINITY,005,2976,455,2091,330,6,77,17
229,TYLER,005,4113,229,3344,391,13,112,24
230,UPSHUR,004,9926,1362,7213,826,49,426,50
231,UPTON,009,972,595,348,12,0,6,11
232,UVALDE,008,7796,6372,1280,31,31,58,24
233,VAL VERDE,008,15158,13153,1652,134,68,124,27
234,VAN ZANDT,004,12538,2212,9514,339,44,329,100
235,VICTORIA,008,23457,13685,7539,1412,257,520,44
236,WALKER,006,12035,3190,5493,2569,187,539,57
237,WALLER,006,12249,5808,3826,2288,61,234,32
238,WARD,009,2879,1700,961,148,7,51,12
239,WASHINGTON,007,7718,2104,3746,1584,109,162,13
240,WEBB,011,93646,90825,2142,131,391,140,17
241,WHARTON,006,10951,5685,3630,1454,35,136,11
242,WHEELER,001,1402,672,663,35,3,27,2
243,WICHITA,002,31225,8655,17177,3161,589,1310,333
244,WILBARGER,002,3562,1511,1624,276,20,96,35
245,WILLACY,011,6311,5879,373,19,3,30,7
246,WILLIAMSON,007,140333,47166,70161,8924,7604,6063,415
247,WILSON,008,11867,5687,5820,117,20,196,27
248,WINKLER,009,2134,1418,630,31,2,44,9
249,WISE,003,16466,4917,10935,112,69,331,102
250,WOOD,004,8734,1630,6436,325,61,236,46
251,YOAKUM,001,2623,1910,673,10,3,22,5
252,YOUNG,002,4587,1386,3022,54,11,89,25
253,ZAPATA,011,5327,5196,117,2,6,6,0
254,ZAVALA,008,3765,3623,124,13,0,5,0
255,STATEWIDE,,7311923,3648331,2333857,830214,276413,201394,21714
