,County,Region,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed
221,TAYLOR,002,33528,914,27.3,1764,550,31.2%
222,TERRELL,009,213,1,4.7,5,1,20.0%
223,TERRY,001,3384,30,8.9,107,16,15.0%
224,THROCKMORTON,002,322,5,15.5,11,2,18.2%
225,TITUS,004,10093,99,9.8,192,56,29.2%
226,TOM GREEN,009,27329,447,16.4,1125,279,24.8%
227,TRAVIS,007,277652,2495,9.0,7701,1618,21.0%
228,TRINITY,005,2976,84,28.2,146,45,30.8%
229,TYLER,005,4113,82,19.9,190,48,25.3%
230,UPSHUR,004,9926,148,14.9,350,95,27.1%
231,UPTON,009,972,11,11.3,26,8,30.8%
232,UVALDE,008,7796,102,13.1,247,58,23.5%
233,VAL VERDE,008,15158,56,3.7,271,37,13.7%
234,VAN ZANDT,004,12538,182,14.5,413,108,26.2%
235,VICTORIA,008,23457,252,10.7,737,160,21.7%
236,WALKER,006,12035,89,7.4,319,62,19.4%
237,WALLER,006,12249,75,6.1,265,52,19.6%
238,WARD,009,2879,29,10.1,93,17,18.3%
239,WASHINGTON,007,7718,62,8.0,144,37,25.7%
240,WEBB,011,93646,563,6.0,1621,340,21.0%
241,WHARTON,006,10951,38,3.5,242,28,11.6%
242,WHEELER,001,1402,11,7.8,30,5,16.7%
243,WICHITA,002,31225,684,21.9,1417,427,30.1%
244,WILBARGER,002,3562,61,17.1,106,30,28.3%
245,WILLACY,011,6311,120,19.0,227,65,28.6%
246,WILLIAMSON,007,140333,672,4.8,2047,453,22.1%
247,WILSON,008,11867,74,6.2,195,48,24.6%
248,WINKLER,009,2134,22,10.3,62,14,22.6%
249,WISE,003,16466,187,11.4,472,108,22.9%
250,WOOD,004,8734,129,14.8,302,79,26.2%
251,YOAKUM,001,2623,15,5.7,50,9,18.0%
252,YOUNG,002,4587,53,11.6,198,37,18.7%
253,ZAPATA,011,5327,27,5.1,125,18,14.4%
254,ZAVALA,008,3765,61,16.2,122,31,25.4%
255,OUT OF STATE,,0,15,0.0,41,9,22.0%
256,STATEWIDE,,7311923,66721,9.1,176868,40506,22.9%
