,County,Region,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity
153,LYNN,001,1592,0,3,0,0,0,3,4
154,MADISON,007,3042,0,2,0,0,0,2,2
155,MARION,004,1948,0,1,0,0,0,1,0
156,MARTIN,009,1441,0,1,0,0,0,1,2
157,MASON,009,822,0,0,0,0,0,0,0
158,MATAGORDA,006,9566,0,6,0,0,1,7,35
159,MAVERICK,008,18555,0,6,0,0,0,6,16
160,MCCULLOCH,009,1999,0,17,0,0,0,17,70
161,MCLENNAN,007,60576,3,76,3,0,2,84,681
162,MCMULLEN,011,120,0,0,0,0,0,0,0
163,MEDINA,008,12176,1,30,1,0,0,32,135
164,MENARD,009,429,0,0,0,0,0,0,0
165,MIDLAND,009,38852,3,62,1,0,0,66,197
166,MILAM,007,6392,0,6,1,0,0,7,69
167,MILLS,007,1160,0,11,0,0,1,12,154
168,MITCHELL,002,1807,0,0,0,0,0,0,0
169,MONTAGUE,002,4592,0,12,0,0,0,12,30
170,MONTGOMERY,006,135765,9,181,5,0,1,196,711
171,MOORE,001,7199,0,3,0,0,0,3,5
172,MORRIS,004,3032,0,5,0,0,0,5,16
173,MOTLEY,001,248,0,1,0,0,0,1,0
174,NACOGDOCHES,005,16625,1,42,0,0,1,44,172
175,NAVARRO,003,13313,3,50,1,0,1,55,234
176,NEWTON,005,3132,0,1,0,0,0,1,5
177,NOLAN,002,3993,0,6,0,0,0,6,16
178,NUECES,011,88215,10,111,3,0,0,124,721
179,OCHILTREE,001,3459,0,6,0,0,0,6,9
180,OLDHAM,001,587,0,0,1,0,0,1,437
181,ORANGE,005,20699,0,37,0,0,0,37,147
182,PALO PINTO,003,7149,0,5,0,0,0,5,19
183,PANOLA,004,5869,0,4,0,0,0,4,8
184,PARKER,003,31917,0,41,1,0,0,42,178
185,PARMER,001,3288,0,4,0,0,0,4,13
186,PECOS,009,3905,0,3,0,0,0,3,3
187,POLK,005,9725,0,21,0,0,0,21,100
188,POTTER,001,34536,7,55,1,0,0,63,186
189,PRESIDIO,010,2225,0,0,0,0,0,0,0
190,RAINS,004,2379,0,6,0,0,0,6,15
191,RANDALL,001,31669,2,93,4,0,0,99,461
192,REAGAN,009,1015,0,2,0,0,0,2,5
193,REAL,008,594,0,2,0,0,0,2,6
194,RED RIVER,004,2721,0,2,0,0,0,2,3
195,REEVES,009,3106,0,0,0,0,0,0,0
196,REFUGIO,011,1719,0,3,0,0,0,3,9
197,ROBERTS,001,243,0,0,0,0,0,0,0
198,ROBERTSON,007,4205,0,2,0,0,0,2,4
199,ROCKWALL,003,25692,0,26,0,0,0,26,63
200,RUNNELS,002,2594,0,3,0,0,0,3,5
201,RUSK,004,12787,0,22,0,0,0,22,72
202,SABINE,005,2033,0,0,0,0,0,0,0
203,SAN AUGUSTINE,005,1813,0,9,0,0,0,9,29
204,SAN JACINTO,005,6431,0,8,0,0,0,8,15
205,SAN PATRICIO,011,17941,0,27,2,0,1,30,200
206,SAN SABA,007,1230,2,7,1,0,0,10,86
207,SCHLEICHER,009,1119,0,1,0,0,0,1,3
208,SCURRY,002,4385,0,8,0,0,0,8,15
209,SHACKELFORD,002,798,0,3,0,0,0,3,12
210,SHELBY,005,6786,1,17,0,0,0,18,72
211,SHERMAN,001,868,0,0,0,0,0,0,0
212,SMITH,004,55509,10,121,3,0,3,137,573
213,SOMERVELL,003,2200,0,3,0,0,0,3,10
214,STARR,011,20723,0,8,0,0,0,8,38
215,STEPHENS,002,2261,0,1,0,0,0,1,4
216,STERLING,009,273,0,2,0,0,0,2,5
217,STONEWALL,002,320,0,2,0,0,0,2,8
218,SUTTON,009,1111,0,5,0,0,0,5,12
219,SWISHER,001,2024,0,8,0,0,0,8,26
220,TARRANT,003,523735,28,660,5,0,1,694,2162
221,TAYLOR,002,33119,9,78,4,0,0,91,329
222,TERRELL,009,208,0,0,0,0,0,0,0
223,TERRY,001,3355,0,2,0,0,0,2,3
224,THROCKMORTON,002,333,0,0,0,0,0,0,0
225,TITUS,004,10059,0,9,0,0,0,9,13
226,TOM GREEN,009,26945,3,28,3,0,0,34,218
227,TRAVIS,007,266648,24,372,6,0,2,404,1220
228,TRINITY,005,3016,0,5,0,0,0,5,21
229,TYLER,005,4207,0,8,1,0,1,10,78
230,UPSHUR,004,9872,0,14,0,0,0,14,60
231,UPTON,009,945,0,1,0,0,0,1,2
232,UVALDE,008,7708,0,13,0,0,0,13,21
233,VAL VERDE,008,15012,1,9,0,0,0,10,25
234,VAN ZANDT,004,12674,0,49,0,0,0,49,159
235,VICTORIA,008,23254,3,39,2,0,1,45,254
236,WALKER,006,11540,0,13,1,0,1,15,287
237,WALLER,006,11599,0,19,0,0,0,19,49
238,WARD,009,2891,0,1,0,0,0,1,2
239,WASHINGTON,007,7599,1,4,1,0,0,6,37
240,WEBB,011,91337,2,82,2,0,0,86,407
241,WHARTON,006,11090,0,13,0,0,0,13,49
242,WHEELER,001,1373,0,0,0,0,0,0,0
243,WICHITA,002,31023,3,45,1,0,0,49,166
244,WILBARGER,002,3432,0,3,0,0,0,3,4
245,WILLACY,011,6008,0,1,1,0,0,2,50
246,WILLIAMSON,007,133482,9,275,4,0,1,289,1020
247,WILSON,008,11739,0,34,0,0,0,34,84
248,WINKLER,009,2118,0,0,0,0,0,0,0
249,WISE,003,16072,0,13,0,0,0,13,38
250,WOOD,004,8752,0,19,1,0,0,20,116
251,YOAKUM,001,2567,0,4,0,0,0,4,11
252,YOUNG,002,4523,0,12,0,0,0,12,23
253,ZAPATA,011,5013,0,3,0,0,0,3,13
254,ZAVALA,008,3659,0,2,0,0,0,2,3
255,OUT OF STATE,,-,0,81,0,0,0,81,138
256,STATE TOTAL,,7159172,370,9676,161,4,74,10285,40843
