,County,Region,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***
79,FORT BEND,006,2786,2132,1528,675,2111,89
80,FRANKLIN,004,80,49,46,31,49,16
81,FREESTONE,007,180,137,128,15,165,9
82,FRIO,008,257,174,164,73,184,32
83,GAINES,009,118,75,66,19,99,4
84,GALVESTON,006,2890,2225,1891,612,2278,90
85,GARZA,001,98,32,27,41,57,16
86,GILLESPIE,008,160,106,99,41,119,13
87,GLASSCOCK,009,1,1,1,0,1,0
88,GOLIAD,008,78,68,58,8,70,0
89,GONZALES,008,207,147,128,41,166,11
90,GRAY,001,369,259,184,75,294,18
91,GRAYSON,003,1731,1122,836,343,1388,95
92,GREGG,004,1630,1088,823,313,1317,136
93,GRIMES,007,217,158,141,37,180,19
94,GUADALUPE,008,1295,959,855,212,1083,53
95,HALE,001,529,344,284,125,404,23
96,HALL,001,34,24,14,8,26,5
97,HAMILTON,007,99,59,57,17,82,7
98,HANSFORD,001,60,57,52,1,59,1
99,HARDEMAN,002,69,44,37,13,56,6
100,HARDIN,005,536,398,380,40,496,8
101,HARRIS,006,31384,24798,19433,5334,26050,1592
102,HARRISON,004,807,544,452,145,662,52
103,HARTLEY,001,19,14,14,2,17,0
104,HASKELL,002,58,42,32,18,40,5
105,HAYS,007,1486,1162,964,123,1363,60
106,HEMPHILL,001,16,9,8,6,10,4
107,HENDERSON,004,991,714,607,160,831,72
108,HIDALGO,011,10475,7115,6061,3035,7440,316
109,HILL,007,452,334,311,61,391,19
110,HOCKLEY,001,383,236,205,118,265,42
111,HOOD,003,701,401,318,179,522,40
112,HOPKINS,004,369,291,259,68,301,13
113,HOUSTON,005,223,144,121,42,181,26
114,HOWARD,009,532,322,258,130,402,59
115,HUDSPETH,010,13,9,7,2,11,0
116,HUNT,003,1171,810,595,269,902,107
117,HUTCHINSON,001,354,296,270,40,314,5
118,IRION,009,6,4,4,2,4,0
119,JACK,002,92,62,58,23,69,7
120,JACKSON,008,121,91,83,26,95,5
121,JASPER,005,463,352,284,69,394,12
122,JEFF DAVIS,010,15,9,9,0,15,0
123,JEFFERSON,005,2640,2038,1821,305,2335,118
124,JIM HOGG,011,99,65,62,30,69,5
125,JIM WELLS,011,670,488,424,155,515,32
126,JOHNSON,003,2073,1340,1054,489,1584,114
127,JONES,002,242,156,110,47,195,12
128,KARNES,008,156,108,81,51,105,9
129,KAUFMAN,003,844,602,436,172,672,37
130,KENDALL,008,157,108,96,31,126,9
131,KENEDY,011,7,5,5,2,5,0
132,KENT,002,5,4,4,2,3,0
133,KERR,008,522,361,329,133,389,40
134,KIMBLE,009,66,47,44,14,52,5
135,KING,001,1,1,1,0,1,0
136,KINNEY,008,21,16,16,4,17,3
137,KLEBERG,011,420,310,279,95,325,13
138,KNOX,002,45,36,25,5,40,0
139,LAMAR,004,706,537,474,115,591,36
140,LAMB,001,220,151,131,46,174,5
141,LAMPASAS,007,307,226,214,60,247,23
142,LA SALLE,008,85,50,46,32,53,4
143,LAVACA,008,119,94,85,27,92,15
144,LEE,007,216,154,138,42,174,19
145,LEON,007,199,126,109,34,165,15
146,LIBERTY,006,1039,683,613,251,788,90
147,LIMESTONE,007,246,199,185,19,227,10
148,LIPSCOMB,001,27,17,9,4,23,1
149,LIVE OAK,011,166,102,78,42,124,12
150,LLANO,007,208,148,143,33,175,17
151,LOVING,009,0,0,0,0,0,0
152,LUBBOCK,001,4203,2741,2239,960,3243,227
153,LYNN,001,79,50,38,23,56,4
154,MADISON,007,123,72,66,17,106,11
155,MARION,004,256,159,116,61,195,14
156,MARTIN,009,32,26,20,0,32,0
157,MASON,009,36,36,28,3,33,0
158,MATAGORDA,006,367,271,217,72,295,16
159,MAVERICK,008,356,307,297,24,332,8
160,MCCULLOCH,009,178,131,117,36,142,8
161,MCLENNAN,007,3137,2281,2136,594,2543,179
162,MCMULLEN,011,3,3,3,0,3,0
163,MEDINA,008,510,343,304,170,340,43
164,MENARD,009,24,18,16,3,21,2
165,MIDLAND,009,1333,970,828,196,1137,45
166,MILAM,007,374,234,224,85,289,39
167,MILLS,007,48,35,33,7,41,10
168,MITCHELL,002,162,96,80,48,114,5
169,MONTAGUE,002,302,189,181,74,228,18
170,MONTGOMERY,006,3559,2825,2267,623,2936,230
171,MOORE,001,279,207,190,34,245,11
172,MORRIS,004,199,147,107,37,162,12
173,MOTLEY,001,5,2,2,0,5,0
174,NACOGDOCHES,005,540,409,384,85,455,53
175,NAVARRO,003,560,416,335,96,464,26
176,NEWTON,005,117,94,76,7,110,5
177,NOLAN,002,356,231,209,66,290,17
178,NUECES,011,4600,3439,2837,1008,3592,122
179,OCHILTREE,001,121,78,56,23,98,3
180,OLDHAM,001,18,18,18,1,17,1
181,ORANGE,005,1344,978,775,122,1222,54
182,PALO PINTO,003,542,314,264,169,373,44
183,PANOLA,004,249,188,158,26,223,2
184,PARKER,003,1413,999,857,272,1141,82
185,PARMER,001,70,52,48,13,57,0
186,PECOS,009,145,98,86,20,125,5
187,POLK,005,541,396,347,106,435,47
188,POTTER,001,2367,1643,1256,552,1815,94
189,PRESIDIO,010,45,39,32,1,44,0
190,RAINS,004,117,92,83,10,107,2
191,RANDALL,001,1147,823,659,265,882,66
192,REAGAN,009,13,12,11,1,12,0
193,REAL,008,51,39,37,13,38,10
194,RED RIVER,004,120,70,64,33,87,9
195,REEVES,009,131,99,90,23,108,4
196,REFUGIO,011,82,58,54,25,57,9
197,ROBERTS,001,7,3,1,0,7,0
198,ROBERTSON,007,153,108,80,27,126,10
199,ROCKWALL,003,436,344,231,54,382,19
200,RUNNELS,002,128,80,73,46,82,20
201,RUSK,004,585,388,340,102,483,59
202,SABINE,005,81,64,52,10,71,2
203,SAN AUGUSTINE,005,104,73,59,14,90,4
204,SAN JACINTO,005,396,292,253,53,343,15
205,SAN PATRICIO,011,1075,725,627,337,738,39
206,SAN SABA,007,58,43,40,11,47,1
207,SCHLEICHER,009,27,18,17,11,16,4
208,SCURRY,002,273,176,153,47,226,11
209,SHACKELFORD,002,17,17,13,0,17,0
210,SHELBY,005,313,226,198,61,252,26
211,SHERMAN,001,15,13,13,2,13,0
212,SMITH,004,1987,1439,1277,355,1632,159
213,SOMERVELL,003,101,59,40,32,69,11
214,STARR,011,527,342,304,164,363,28
215,STEPHENS,002,113,86,72,22,91,4
216,STERLING,009,19,15,15,4,15,0
217,STONEWALL,002,28,18,15,7,21,2
218,SUTTON,009,37,30,29,7,30,1
219,SWISHER,001,86,57,48,25,61,0
220,TARRANT,003,19664,13265,9866,3386,16278,708
221,TAYLOR,002,2667,1714,1416,584,2083,98
222,TERRELL,009,4,2,2,0,4,0
223,TERRY,001,193,111,96,72,121,24
224,THROCKMORTON,002,13,8,8,0,13,4
225,TITUS,004,290,222,197,30,260,11
226,TOM GREEN,009,1644,1114,1002,418,1226,138
227,TRAVIS,007,11555,8527,7553,1625,9930,513
228,TRINITY,005,195,140,106,27,168,8
229,TYLER,005,230,177,158,21,209,16
230,UPSHUR,004,537,401,340,95,442,57
231,UPTON,009,38,20,14,7,31,1
232,UVALDE,008,337,249,234,72,265,23
233,VAL VERDE,008,418,328,306,54,364,19
234,VAN ZANDT,004,633,476,435,105,528,39
235,VICTORIA,008,1234,870,750,276,958,61
236,WALKER,006,381,281,240,88,293,37
237,WALLER,006,414,290,238,104,310,31
238,WARD,009,156,116,110,14,142,3
239,WASHINGTON,007,252,171,157,42,210,22
240,WEBB,011,2944,1857,1594,1321,1623,250
241,WHARTON,006,368,264,190,107,261,5
242,WHEELER,001,65,39,23,9,56,1
243,WICHITA,002,2142,1443,1074,464,1678,93
244,WILBARGER,002,186,131,99,36,150,1
245,WILLACY,011,379,234,203,139,240,23
246,WILLIAMSON,007,3092,2313,2106,435,2657,95
247,WILSON,008,359,218,183,112,247,38
248,WINKLER,009,98,80,73,14,84,2
249,WISE,003,615,433,384,131,484,52
250,WOOD,004,457,306,270,97,360,58
251,YOAKUM,001,80,53,53,18,62,10
252,YOUNG,002,264,205,183,28,236,5
253,ZAPATA,011,179,113,106,55,124,5
254,ZAVALA,008,198,158,149,31,167,7
255,OUT OF STATE,,52,35,14,5,47,1
256,TOTAL,,258996,185662,153564,52524,206472,13190
