,County,Region,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location
103,HARTLEY,001,15,11,0
104,HASKELL,002,52,40,2
105,HAYS,007,1111,962,13
106,HEMPHILL,001,18,17,0
107,HENDERSON,004,849,737,7
108,HIDALGO,011,7710,6755,74
109,HILL,007,333,287,2
110,HOCKLEY,001,266,242,2
111,HOOD,003,585,514,6
112,HOPKINS,004,352,283,6
113,HOUSTON,005,183,159,1
114,HOWARD,009,412,360,3
115,HUDSPETH,010,19,11,0
116,HUNT,003,1055,945,8
117,HUTCHINSON,001,292,238,2
118,IRION,009,3,3,0
119,JACK,002,91,78,0
120,JACKSON,008,106,87,0
121,JASPER,005,381,335,5
122,JEFF DAVIS,010,11,8,0
123,JEFFERSON,005,2132,1931,21
124,JIM HOGG,011,68,62,0
125,JIM WELLS,011,527,478,5
126,JOHNSON,003,1800,1581,17
127,JONES,002,247,205,0
128,KARNES,008,152,118,0
129,KAUFMAN,003,856,751,11
130,KENDALL,008,178,129,1
131,KENEDY,011,5,4,0
132,KENT,002,4,3,0
133,KERR,008,522,445,6
134,KIMBLE,009,50,50,0
135,KING,001,1,1,0
136,KINNEY,008,15,13,0
137,KLEBERG,011,318,292,4
138,KNOX,002,41,36,0
139,LAMAR,004,614,506,4
140,LAMB,001,142,123,2
141,LAMPASAS,007,263,229,2
142,LA SALLE,008,77,55,0
143,LAVACA,008,128,109,1
144,LEE,007,180,153,1
145,LEON,007,142,126,1
146,LIBERTY,006,927,786,6
147,LIMESTONE,007,231,193,3
148,LIPSCOMB,001,21,18,0
149,LIVE OAK,011,128,105,0
150,LLANO,007,237,205,0
151,LOVING,009,0,0,0
152,LUBBOCK,001,3027,2733,31
153,LYNN,001,52,46,0
154,MADISON,007,107,91,2
155,MARION,004,170,151,0
156,MARTIN,009,29,23,0
157,MASON,009,28,26,0
158,MATAGORDA,006,299,270,2
159,MAVERICK,008,283,238,2
160,MCCULLOCH,009,115,105,2
161,MCLENNAN,007,2831,2485,26
162,MCMULLEN,011,3,3,0
163,MEDINA,008,430,357,5
164,MENARD,009,12,11,0
165,MIDLAND,009,1121,930,8
166,MILAM,007,301,260,1
167,MILLS,007,51,45,0
168,MITCHELL,002,125,110,0
169,MONTAGUE,002,213,191,4
170,MONTGOMERY,006,3736,2978,26
171,MOORE,001,201,180,2
172,MORRIS,004,180,160,0
173,MOTLEY,001,6,2,0
174,NACOGDOCHES,005,520,383,6
175,NAVARRO,003,480,426,5
176,NEWTON,005,94,86,0
177,NOLAN,002,308,261,3
178,NUECES,011,4097,3651,34
179,OCHILTREE,001,75,66,0
180,OLDHAM,001,11,10,0
181,ORANGE,005,1134,1021,11
182,PALO PINTO,003,446,422,3
183,PANOLA,004,208,187,2
184,PARKER,003,1288,1143,10
185,PARMER,001,53,48,0
186,PECOS,009,142,101,1
187,POLK,005,492,415,5
188,POTTER,001,1959,1669,32
189,PRESIDIO,010,38,29,0
190,RAINS,004,116,95,0
191,RANDALL,001,1058,888,0
192,REAGAN,009,24,21,0
193,REAL,008,53,45,0
194,RED RIVER,004,118,90,1
195,REEVES,009,138,100,1
196,REFUGIO,011,73,59,0
197,ROBERTS,001,5,5,0
198,ROBERTSON,007,141,122,1
199,ROCKWALL,003,450,383,1
200,RUNNELS,002,98,71,1
201,RUSK,004,489,434,5
202,SABINE,005,106,88,2
203,SAN AUGUSTINE,005,86,73,0
204,SAN JACINTO,005,325,267,2
205,SAN PATRICIO,011,885,782,9
206,SAN SABA,007,57,46,0
207,SCHLEICHER,009,28,27,0
208,SCURRY,002,209,175,0
209,SHACKELFORD,002,33,27,0
210,SHELBY,005,287,228,2
211,SHERMAN,001,8,8,0
212,SMITH,004,1780,1461,16
213,SOMERVELL,003,77,71,0
214,STARR,011,387,340,6
215,STEPHENS,002,86,71,0
216,STERLING,009,24,20,0
217,STONEWALL,002,18,16,0
218,SUTTON,009,34,26,0
219,SWISHER,001,79,71,1
220,TARRANT,003,17373,15353,164
221,TAYLOR,002,1985,1672,19
222,TERRELL,009,4,3,0
223,TERRY,001,136,125,1
224,THROCKMORTON,002,9,5,0
225,TITUS,004,274,215,3
226,TOM GREEN,009,1263,1156,13
227,TRAVIS,007,10902,9325,87
228,TRINITY,005,150,116,2
229,TYLER,005,244,197,2
230,UPSHUR,004,437,384,6
231,UPTON,009,40,28,0
232,UVALDE,008,281,236,3
233,VAL VERDE,008,297,259,4
234,VAN ZANDT,004,588,528,5
235,VICTORIA,008,1017,822,10
236,WALKER,006,413,330,3
237,WALLER,006,320,294,1
238,WARD,009,134,109,2
239,WASHINGTON,007,223,203,4
240,WEBB,011,2325,1837,17
241,WHARTON,006,250,236,2
242,WHEELER,001,54,48,0
243,WICHITA,002,1742,1508,13
244,WILBARGER,002,160,144,2
245,WILLACY,011,307,271,1
246,WILLIAMSON,007,3127,2456,21
247,WILSON,008,330,259,3
248,WINKLER,009,88,63,0
249,WISE,003,546,486,6
250,WOOD,004,440,369,4
251,YOAKUM,001,61,52,0
252,YOUNG,002,246,210,3
253,ZAPATA,011,133,124,0
254,ZAVALA,008,156,131,0
255,UNKNOWN,,6,1,0
256,OUT OF STATE,,125,66,0
257,SWI,,0,0,304
258,STATE TOTAL,,229138,194803,2243
