,County,Region,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
63,DICKENS,001,367,1,20,0,0,0,1
64,DIMMIT,008,2246,5,309,0,0,3,0
65,DONLEY,001,546,0,0,2,24,2,1
66,DUVAL,011,2366,5,200,0,0,0,2
67,EASTLAND,002,3246,8,289,0,0,3,2
68,ECTOR,009,33283,45,4465,10,120,24,7
69,EDWARDS,008,329,1,17,0,0,0,0
70,ELLIS,003,33938,56,6300,10,120,44,25
71,EL PASO,010,189173,267,25105,134,1604,257,80
72,ERATH,003,6992,12,919,6,72,8,14
73,FALLS,007,3022,3,202,1,12,2,2
74,FANNIN,003,5846,7,692,1,12,13,6
75,FAYETTE,007,4059,8,447,5,60,9,3
76,FISHER,002,617,1,12,0,0,1,0
77,FLOYD,001,1367,2,227,0,0,2,1
78,FOARD,002,189,1,35,0,0,0,0
79,FORT BEND,006,142684,270,34845,45,539,91,252
80,FRANKLIN,004,2097,3,249,1,12,3,0
81,FREESTONE,007,3617,7,390,2,24,13,2
82,FRIO,008,3315,5,448,1,12,3,0
83,GAINES,009,5289,2,102,2,24,1,2
84,GALVESTON,006,58949,123,15303,14,163,45,63
85,GARZA,001,1017,1,44,0,0,2,0
86,GILLESPIE,008,3824,9,476,3,36,7,3
87,GLASSCOCK,009,228,1,12,0,0,0,0
88,GOLIAD,008,1175,2,179,0,0,2,0
89,GONZALES,008,4342,6,292,1,12,9,2
90,GRAY,001,4672,11,845,0,0,3,1
91,GRAYSON,003,22702,36,3224,7,84,37,19
92,GREGG,004,25157,52,6039,4,48,22,16
93,GRIMES,007,4662,6,314,10,119,5,5
94,GUADALUPE,008,29165,40,3946,10,116,29,29
95,HALE,001,8435,7,664,5,60,9,5
96,HALL,001,607,1,47,0,0,2,0
97,HAMILTON,007,1347,3,199,4,48,3,3
98,HANSFORD,001,1330,2,89,1,12,4,1
99,HARDEMAN,002,778,2,94,4,48,1,1
100,HARDIN,005,11041,11,1441,1,12,4,4
101,HARRIS,006,937992,1570,178376,180,2146,756,1367
102,HARRISON,004,13508,15,1539,4,48,18,6
103,HARTLEY,001,1000,1,150,1,12,1,1
104,HASKELL,002,944,2,95,0,0,2,1
105,HAYS,007,35008,79,5816,11,128,35,29
106,HEMPHILL,001,911,1,98,0,0,2,0
107,HENDERSON,004,13985,16,1559,2,24,13,1
108,HIDALGO,011,218067,427,30946,95,1139,56,97
109,HILL,007,6691,10,515,2,24,11,2
110,HOCKLEY,001,4980,11,565,6,72,7,1
111,HOOD,003,8531,16,1207,7,84,10,8
112,HOPKINS,004,7112,10,1038,4,48,11,1
113,HOUSTON,005,3742,2,267,2,24,5,4
114,HOWARD,009,6307,11,1095,1,12,3,2
115,HUDSPETH,010,719,1,34,0,0,2,0
116,HUNT,003,17162,24,2419,4,48,32,11
117,HUTCHINSON,001,4481,4,238,3,36,7,2
118,IRION,009,226,1,20,0,0,0,1
119,JACK,002,1475,3,133,1,12,2,1
120,JACKSON,008,2784,6,305,7,84,15,1
121,JASPER,005,6906,8,853,2,24,3,3
122,JEFF DAVIS,010,277,0,0,0,0,3,0
123,JEFFERSON,005,47736,82,8097,11,125,18,26
124,JIM HOGG,011,1194,3,193,0,0,3,2
125,JIM WELLS,011,9348,22,893,2,24,4,2
126,JOHNSON,003,32747,37,4432,5,60,28,12
127,JONES,002,2833,3,89,1,12,5,3
128,KARNES,008,2253,3,86,1,12,3,2
129,KAUFMAN,003,24402,35,4267,7,84,40,16
130,KENDALL,008,6015,13,1153,2,24,5,4
131,KENEDY,011,71,0,0,0,0,0,0
