,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
79,FORT BEND,35100,51098,840,650,377,415
80,FRANKLIN,890,2114,37,30,19,16
81,FREESTONE,1390,3490,79,73,40,35
82,FRIO,1350,2100,62,41,24,27
83,GAINES,1290,1650,41,31,21,14
84,GALVESTON,17080,34982,1146,996,533,436
85,GARZA,530,763,62,53,42,50
86,GILLESPIE,1830,7037,87,53,39,34
87,GLASSCOCK,100,188,5,2,2,2
88,GOLIAD,600,1510,35,22,14,12
89,GONZALES,1520,3190,84,64,38,17
90,GRAY,1600,3662,112,88,60,62
91,GRAYSON,6730,20170,710,611,450,487
92,GREGG,11050,17229,747,572,402,523
93,GRIMES,1990,4004,103,85,66,58
94,GUADALUPE,10740,17128,440,370,224,182
95,HALE,2580,4495,165,130,105,118
96,HALL,220,788,13,11,8,27
97,HAMILTON,500,2137,57,41,21,14
98,HANSFORD,390,814,14,9,7,6
99,HARDEMAN,360,862,67,55,40,38
100,HARDIN,6160,7938,281,234,163,175
101,HARRIS,220070,360999,13794,11370,7492,7646
102,HARRISON,6320,9368,350,304,242,311
103,HARTLEY,470,798,13,11,8,8
104,HASKELL,530,1292,54,53,44,73
105,HAYS,10370,15745,340,230,120,126
106,HEMPHILL,260,544,8,7,4,3
107,HENDERSON,6920,15912,624,551,449,765
108,HIDALGO,61370,78933,2804,2312,1443,1722
109,HILL,2200,6856,187,164,115,98
110,HOCKLEY,1670,3100,191,191,166,256
111,HOOD,2890,11942,216,181,155,187
112,HOPKINS,3060,5790,185,155,88,103
113,HOUSTON,2750,4819,332,314,274,256
114,HOWARD,3210,4802,320,295,183,78
115,HUDSPETH,240,540,14,10,8,7
116,HUNT,4870,13184,590,487,410,374
117,HUTCHINSON,1560,3321,103,93,79,97
118,IRION,140,319,3,4,4,1
119,JACK,860,1443,113,87,72,56
120,JACKSON,1060,2407,35,29,20,25
121,JASPER,3980,6241,338,305,199,241
122,JEFF DAVIS,180,611,9,7,6,8
123,JEFFERSON,28870,32401,1868,1474,954,906
124,JIM HOGG,450,893,32,35,22,16
125,JIM WELLS,3530,5711,233,204,124,104
126,JOHNSON,8320,19443,597,467,289,238
127,JONES,2090,2934,173,159,118,88
128,KARNES,1240,2188,58,59,25,18
129,KAUFMAN,6100,12097,372,321,289,352
130,KENDALL,2760,6318,91,74,43,34
131,KENEDY,40,75,0,0,0,0
132,KENT,60,219,4,3,2,2
133,KERR,3640,12991,382,299,198,192
134,KIMBLE,380,1161,46,39,38,61
135,KING,20,42,0,0,0,0
136,KINNEY,260,937,14,9,9,8
137,KLEBERG,2670,3955,129,111,81,82
138,KNOX,310,801,43,36,25,34
139,LAMAR,4520,8728,441,342,217,171
140,LAMB,970,2277,137,106,87,93
141,LAMPASAS,1280,3359,84,70,50,80
142,LASALLE,520,985,23,9,7,12
143,LAVACA,1440,4219,80,58,30,27
144,LEE,1130,2802,73,66,39,36
145,LEON,1090,3892,71,76,55,58
146,LIBERTY,4400,9476,392,349,255,306
147,LIMESTONE,1610,4033,126,90,55,42
148,LIPSCOMB,230,502,2,2,2,2
149,LIVE OAK,1060,2345,47,27,18,14
150,LLANO,1220,6261,128,107,78,81
151,LOVING,10,19,0,0,0,0
152,LUBBOCK,20570,31984,3104,2731,2182,2606
153,LYNN,430,990,52,51,38,53
154,MADISON,910,2035,63,65,52,46
155,MARION,1120,2487,124,93,84,136
156,MARTIN,380,645,27,20,16,9
157,MASON,310,1075,19,21,19,18
158,MATAGORDA,2010,5564,137,138,102,171
159,MAVERICK,3880,6217,179,122,98,49
160,MCCULLOCH,650,1779,99,78,67,70
161,MCLENNAN,15130,30260,1208,1002,475,371
162,MCMULLEN,60,200,3,3,2,1
163,MEDINA,3740,6887,147,92,51,33
164,MENARD,180,642,25,24,20,21
165,MIDLAND,11520,15763,451,356,221,136
166,MILAM,1570,4575,125,111,68,79
167,MILLS,280,1197,17,15,10,8
168,MITCHELL,900,1311,71,54,36,23
169,MONTAGUE,1750,4118,264,219,173,133
170,MONTGOMERY,26270,54847,1429,1160,747,757
171,MOORE,1540,2198,51,46,35,29
172,MORRIS,1250,2607,114,87,49,40
173,MOTLEY,80,349,24,22,15,17
174,NACOGDOCHES,6840,8069,289,269,253,298
175,NAVARRO,2630,7331,281,258,175,166
176,NEWTON,1680,2491,110,105,65,89
177,NOLAN,1330,2638,174,157,112,82
178,NUECES,30870,43637,2131,1788,1318,1507
179,OCHILTREE,700,1121,10,11,7,6
180,OLDHAM,140,288,11,10,8,7
181,ORANGE,9150,11993,538,423,255,182
182,PALO PINTO,1530,4972,183,151,114,116
183,PANOLA,2250,3944,108,95,63,79
184,PARKER,6980,16126,353,242,172,264
185,PARMER,730,1280,23,14,12,16
186,PECOS,1410,1958,78,66,53,64
187,POLK,5020,9213,411,356,274,299
188,POTTER,9030,13667,886,773,568,537
189,PRESIDIO,490,1483,31,30,26,23
190,RAINS,1000,2504,70,50,35,38
191,RANDALL,8680,16113,423,346,240,226
192,REAGAN,280,406,8,5,5,7
193,REAL,250,932,20,13,4,5
194,RED RIVER,1210,2873,119,99,76,70
195,REEVES,1300,1743,87,78,53,56
196,REFUGIO,650,1519,26,21,17,21
197,ROBERTS,60,170,0,0,0,0
198,ROBERTSON,1190,2971,99,73,51,52
199,ROCKWALL,4570,8813,142,115,89,65
200,RUNNELS,880,2130,101,91,74,61
201,RUSK,5260,7946,243,178,115,169
202,SABINE,1180,3141,112,96,81,93
203,SAN AUGUSTINE,1000,2197,128,102,86,110
204,SAN JACINTO,3060,5049,308,274,230,285
205,SAN PATRICIO,5560,8931,400,347,234,230
206,SAN SABA,370,1268,31,22,15,28
207,SCHLEICHER,260,509,21,20,20,24
208,SCURRY,1520,2487,97,92,63,44
209,SHACKELFORD,310,633,15,14,10,12
210,SHELBY,2680,4173,239,224,193,168
211,SHERMAN,210,451,2,2,2,1
212,SMITH,18680,31410,1305,1047,811,829
213,SOMERVELL,480,1361,20,19,18,21
214,STARR,4840,6755,208,188,92,101
215,STEPHENS,840,1814,136,104,86,61
216,STERLING,90,206,2,3,1,0
217,STONEWALL,130,369,12,12,7,10
218,SUTTON,350,656,19,21,20,19
219,SWISHER,550,1369,39,33,24,20
220,TARRANT,100000,173925,5461,4330,2795,2456
221,TAYLOR,11770,17963,1478,1220,941,786
222,TERRELL,80,229,3,3,0,0
223,TERRY,910,1891,163,141,125,172
224,THROCKMORTON,140,423,10,8,7,16
225,TITUS,2470,3944,124,107,72,86
226,TOM GREEN,8760,15943,1538,1289,1059,1035
227,TRAVIS,66820,81272,4059,3088,1695,1670
228,TRINITY,1650,3488,214,198,178,233
229,TYLER,2410,4401,144,146,113,135
230,UPSHUR,3700,6652,189,144,88,167
231,UPTON,280,538,22,20,13,15
232,UVALDE,1900,4140,142,98,55,53
233,VAL VERDE,3480,6442,291,182,142,121
234,VAN ZANDT,4600,10148,340,288,166,217
235,VICTORIA,6660,12370,423,332,204,221
236,WALKER,4250,7357,181,154,112,125
237,WALLER,2520,5071,138,110,72,82
238,WARD,880,1644,63,61,53,48
239,WASHINGTON,2330,6541,168,143,95,73
240,WEBB,20220,21168,716,624,378,425
241,WHARTON,2230,6175,176,148,118,198
242,WHEELER,370,1035,21,16,11,11
243,WICHITA,12290,17564,1842,1532,1266,1266
244,WILBARGER,1240,2214,181,138,106,83
245,WILLACY,1940,2756,151,131,98,127
246,WILLIAMSON,27470,44846,886,715,544,659
247,WILSON,3660,6116,95,89,40,28
248,WINKLER,590,946,39,30,24,30
249,WISE,3360,8159,204,129,103,106
250,WOOD,3640,11029,299,223,136,130
251,YOAKUM,570,974,19,23,21,37
252,YOUNG,1640,3517,303,261,204,172
253,ZAPATA,1100,1583,80,47,27,41
254,ZAVALA,850,1496,52,33,15,15
255,UNKNOWN,0,0,76,31,19,4
256,OUT OF STATE,0,0,0,0,0,43
257,STATE TOTAL,1683350,2818076,107203,87487,59595,61857
