,County,Total,African American,Anglo,Hispanic,Native American,Other**
64,DIMMIT,2932,24,238,2651,0,19
65,DONLEY,729,52,554,104,1,18
66,DUVAL,3044,3,232,2795,2,12
67,EASTLAND,4197,48,3011,1061,15,62
68,ECTOR,40880,1642,10893,27371,159,815
69,EDWARDS,412,2,118,290,2,0
70,ELLIS,44792,4236,24086,15058,133,1279
71,EL PASO,244164,5408,19121,214450,653,4532
72,ERATH,8657,100,5506,2836,43,172
73,FALLS,3871,1030,1487,1240,9,105
74,FANNIN,7539,360,5684,1137,81,277
75,FAYETTE,5434,448,3016,1847,14,109
76,FISHER,827,22,492,302,0,11
77,FLOYD,1813,54,435,1311,0,13
78,FOARD,264,22,186,54,0,2
79,FORT BEND,184786,40765,53600,54440,397,35584
80,FRANKLIN,2649,122,1844,584,15,84
81,FREESTONE,4644,691,2854,998,25,76
82,FRIO,4226,11,459,3715,8,33
83,GAINES,6436,85,3803,2466,8,74
84,GALVESTON,75257,10542,36453,23523,229,4510
85,GARZA,1272,72,504,673,9,14
86,GILLESPIE,5119,11,3125,1883,13,87
87,GLASSCOCK,329,6,192,130,0,1
88,GOLIAD,1613,72,732,782,4,23
89,GONZALES,5447,311,1560,3472,14,90
90,GRAY,5714,151,3143,2236,19,165
91,GRAYSON,29242,1957,19606,5794,451,1434
92,GREGG,31504,6866,14503,8695,109,1331
93,GRIMES,6083,904,2952,2064,12,151
94,GUADALUPE,38282,2131,16818,17621,113,1599
95,HALE,10553,375,2445,7550,25,158
96,HALL,829,68,336,421,2,2
97,HAMILTON,1790,13,1413,332,8,24
98,HANSFORD,1697,9,702,965,1,20
99,HARDEMAN,1018,50,541,393,4,30
100,HARDIN,14333,924,12054,993,24,338
101,HARRIS,1171213,213908,257986,613534,1993,83792
102,HARRISON,17217,3527,9583,3495,71,541
103,HARTLEY,1322,8,883,404,6,21
104,HASKELL,1210,40,664,464,8,34
105,HAYS,43078,1186,19734,20651,115,1392
106,HEMPHILL,1122,0,629,478,6,9
107,HENDERSON,18071,1220,12526,3656,75,594
108,HIDALGO,276110,705,9329,263192,146,2738
109,HILL,8639,583,5181,2634,30,211
110,HOCKLEY,6277,217,2282,3665,23,90
111,HOOD,11029,49,8564,2088,62,266
112,HOPKINS,9087,629,5744,2310,41,363
113,HOUSTON,4822,1280,2568,768,18,188
114,HOWARD,7854,358,3234,4022,42,198
115,HUDSPETH,991,8,87,879,3,14
116,HUNT,22135,2015,13858,5211,160,891
117,HUTCHINSON,5815,118,3653,1796,64,184
118,IRION,338,3,211,117,2,5
119,JACK,1957,23,1470,433,2,29
120,JACKSON,3559,269,1739,1491,8,52
121,JASPER,8846,1692,5974,791,56,333
122,JEFF DAVIS,388,3,176,203,0,6
123,JEFFERSON,60731,22372,19051,15504,140,3664
124,JIM HOGG,1515,5,55,1441,9,5
125,JIM WELLS,11941,44,1678,10132,22,65
126,JOHNSON,42338,1083,28079,11509,197,1470
127,JONES,3740,154,2249,1208,11,118
128,KARNES,2934,57,959,1873,14,31
129,KAUFMAN,31438,3186,18856,8159,163,1074
130,KENDALL,8338,42,5543,2539,24,190
131,KENEDY,96,0,15,76,3,2
132,KENT,178,1,125,49,1,2
133,KERR,10128,151,5395,4284,21,277
134,KIMBLE,920,3,545,368,0,4
135,KING,61,0,51,10,0,0
136,KINNEY,689,5,171,502,2,9
137,KLEBERG,8369,233,1242,6701,5,188
138,KNOX,936,63,447,400,5,21
139,LAMAR,12128,1898,7910,1552,143,625
140,LAMB,4035,173,1122,2681,4,55
141,LAMPASAS,4926,109,3196,1331,33,257
142,LASALLE,1522,4,133,1377,1,7
143,LAVACA,4357,338,2717,1212,4,86
144,LEE,4195,358,2164,1532,7,134
145,LEON,3795,218,2572,930,8,67
146,LIBERTY,19812,1790,12045,5377,51,549
147,LIMESTONE,5557,1018,2571,1779,10,179
148,LIPSCOMB,899,5,464,402,8,20
149,LIVE OAK,2270,18,1084,1136,6,26
150,LLANO,3119,32,2428,564,15,80
151,LOVING,7,0,4,3,0,0
152,LUBBOCK,70284,5843,29576,32002,229,2634
153,LYNN,1597,22,603,937,10,25
154,MADISON,3021,514,1597,793,5,112
155,MARION,1970,532,1208,132,10,88
156,MARTIN,1438,27,643,747,3,18
157,MASON,835,4,554,266,3,8
158,MATAGORDA,9557,1002,3105,5098,18,334
159,MAVERICK,18421,19,393,17723,226,60
160,MCCULLOCH,2004,36,1104,837,2,25
161,MCLENNAN,60271,9562,26602,21686,148,2273
162,MCMULLEN,121,2,54,65,0,0
163,MEDINA,12056,80,4359,7389,38,190
164,MENARD,436,0,206,230,0,0
165,MIDLAND,38364,2476,14866,19765,129,1128
166,MILAM,6448,675,3240,2394,12,127
167,MILLS,1163,21,842,284,1,15
168,MITCHELL,1816,74,860,852,6,24
169,MONTAGUE,4557,20,3570,840,33,94
170,MONTGOMERY,132405,5989,79222,40466,478,6250
171,MOORE,7140,67,1748,4611,22,692
172,MORRIS,3035,709,1720,464,13,129
173,MOTLEY,249,2,177,67,2,1
174,NACOGDOCHES,16124,3027,7794,4669,51,583
175,NAVARRO,13134,1718,5868,5011,25,512
176,NEWTON,3177,671,2233,148,22,103
177,NOLAN,3978,207,1818,1858,7,88
178,NUECES,88188,2882,18715,63837,189,2565
179,OCHILTREE,3380,8,1112,2214,17,29
180,OLDHAM,630,37,476,101,5,11
181,ORANGE,20590,2072,15717,1962,82,757
182,PALO PINTO,7095,187,4585,2140,28,155
183,PANOLA,5851,966,3809,909,18,149
184,PARKER,31106,368,24344,5307,211,876
185,PARMER,3268,17,816,2419,2,14
186,PECOS,3884,20,599,3221,9,35
187,POLK,9670,1058,6120,1974,236,282
188,POTTER,34211,3233,11444,16847,126,2561
189,PRESIDIO,2247,11,181,2006,4,45
190,RAINS,2374,48,1879,366,28,53
191,RANDALL,31181,897,20710,8181,138,1255
192,REAGAN,1017,12,205,787,0,13
193,REAL,604,6,331,252,5,10
194,RED RIVER,2730,530,1748,350,18,84
195,REEVES,3111,46,299,2720,3,43
196,REFUGIO,1739,100,567,1042,2,28
197,ROBERTS,238,0,212,25,0,1
198,ROBERTSON,4212,982,1945,1179,11,95
199,ROCKWALL,25042,1572,16509,5565,110,1286
200,RUNNELS,2614,40,1291,1249,9,25
201,RUSK,12632,1878,7247,3027,56,424
202,SABINE,2051,171,1661,135,10,74
203,SAN AUGUSTINE,1840,507,1061,228,3,41
204,SAN JACINTO,6410,668,4269,1262,21,190
205,SAN PATRICIO,18070,220,5564,11857,37,392
206,SAN SABA,1247,7,689,531,8,12
207,SCHLEICHER,1121,12,574,529,0,6
208,SCURRY,4325,96,1855,2277,9,88
209,SHACKELFORD,816,6,669,120,1,20
210,SHELBY,6739,1213,3599,1805,15,107
211,SHERMAN,879,3,359,506,4,7
212,SMITH,54893,10223,26760,15453,161,2296
213,SOMERVELL,2206,31,1439,657,11,68
214,STARR,20668,5,762,19853,5,43
215,STEPHENS,2280,36,1433,761,12,38
216,STERLING,275,3,156,102,6,8
217,STONEWALL,325,11,225,75,0,14
218,SUTTON,1109,0,322,780,0,7
219,SWISHER,2026,122,754,1096,12,42
220,TARRANT,517952,82976,197658,193706,1798,41814
221,TAYLOR,32799,2680,17169,11161,105,1684
222,TERRELL,207,0,86,118,1,2
223,TERRY,3317,102,1085,2089,7,34
224,THROCKMORTON,345,3,279,57,0,6
225,TITUS,9999,805,3305,5632,42,215
226,TOM GREEN,26599,838,11613,13224,82,842
227,TRAVIS,259016,21793,92810,121752,542,22119
228,TRINITY,3008,329,2145,436,18,80
229,TYLER,4251,395,3480,232,26,118
230,UPSHUR,9830,831,7309,1203,52,435
231,UPTON,943,13,352,561,11,6
232,UVALDE,7636,34,1264,6231,22,85
233,VAL VERDE,14849,133,1574,12966,19,157
234,VAN ZANDT,12663,355,9798,2060,99,351
235,VICTORIA,23152,1435,7759,13237,42,679
236,WALKER,11453,2523,5439,2929,33,529
237,WALLER,11256,1968,3857,5153,27,251
238,WARD,2887,158,965,1697,13,54
239,WASHINGTON,7510,1490,3846,1907,13,254
240,WEBB,90260,132,2111,87541,15,461
241,WHARTON,11007,1463,3759,5625,10,150
242,WHEELER,1364,36,688,610,2,28
243,WICHITA,30823,3151,17469,8144,309,1750
244,WILBARGER,3411,283,1646,1358,29,95
245,WILLACY,5958,17,391,5509,7,34
246,WILLIAMSON,129411,8255,67786,41247,369,11754
247,WILSON,11587,126,5764,5480,27,190
248,WINKLER,2102,33,645,1372,9,43
249,WISE,15837,114,10925,4344,96,358
250,WOOD,8708,372,6552,1481,40,263
251,YOAKUM,2519,10,685,1792,6,26
252,YOUNG,4489,49,3057,1272,22,89
253,ZAPATA,4920,2,111,4790,2,15
254,ZAVALA,3646,15,120,3503,1,7
255,STATE TOTAL,7054634,820392,2330533,3458537,19883,425289
