,County,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes
142,LASALLE,1169,2,99,0,0,1,0
143,LAVACA,3355,9,467,10,118,10,5
144,LEE,3103,7,528,3,36,3,0
145,LEON,2907,6,240,1,12,5,0
146,LIBERTY,15158,19,1405,1,12,12,5
147,LIMESTONE,4293,9,657,4,48,7,4
148,LIPSCOMB,676,0,0,0,0,0,0
149,LIVE OAK,1715,3,102,1,12,3,2
150,LLANO,2385,7,354,1,12,6,0
151,LOVING,6,0,0,0,0,0,0
152,LUBBOCK,56177,120,12033,37,444,67,38
153,LYNN,1238,2,99,1,12,4,2
154,MADISON,2336,7,247,1,12,6,2
155,MARION,1472,2,131,2,24,0,1
156,MARTIN,1110,2,86,0,0,2,0
157,MASON,623,3,117,0,0,0,0
158,MATAGORDA,7347,11,972,0,0,30,3
159,MAVERICK,14141,20,1889,0,0,10,6
160,MCCULLOCH,1539,4,243,3,36,5,0
161,MCLENNAN,47100,102,10756,26,312,56,29
162,MCMULLEN,92,0,0,0,0,0,0
163,MEDINA,9079,13,866,0,0,4,10
164,MENARD,330,1,20,0,0,0,0
165,MIDLAND,30280,64,6523,9,105,38,8
166,MILAM,4889,6,358,6,72,11,0
167,MILLS,855,0,0,3,36,1,4
168,MITCHELL,1402,2,62,0,0,1,2
169,MONTAGUE,3550,7,305,3,36,3,3
170,MONTGOMERY,101769,156,18603,17,192,64,25
171,MOORE,5594,6,327,0,0,2,4
172,MORRIS,2287,3,140,2,24,7,3
173,MOTLEY,188,0,0,0,0,0,0
174,NACOGDOCHES,12711,16,2091,2,24,9,4
175,NAVARRO,10126,17,1439,5,60,9,12
176,NEWTON,2387,4,203,0,0,2,0
177,NOLAN,3127,9,651,1,12,6,3
178,NUECES,68448,150,12997,43,510,74,53
179,OCHILTREE,2710,6,350,0,0,3,0
180,OLDHAM,387,1,51,0,0,0,0
181,ORANGE,15710,25,2663,5,60,12,9
182,PALO PINTO,5455,5,568,1,12,16,9
183,PANOLA,4572,7,561,1,12,5,3
184,PARKER,23340,40,3760,2,24,16,12
185,PARMER,2524,1,48,1,12,2,0
186,PECOS,3098,4,319,2,24,4,1
187,POLK,7434,8,814,2,24,3,1
188,POTTER,27414,43,4174,0,0,64,34
189,PRESIDIO,1657,1,30,0,0,7,1
190,RAINS,1695,2,96,1,12,3,1
191,RANDALL,24116,44,4603,3,36,55,48
192,REAGAN,763,1,60,0,0,2,0
193,REAL,432,3,139,0,0,2,0
194,RED RIVER,2070,1,72,4,48,10,1
195,REEVES,2427,3,179,3,36,7,0
196,REFUGIO,1332,2,79,0,0,1,2
197,ROBERTS,185,0,0,0,0,1,0
198,ROBERTSON,3226,4,336,2,24,5,1
199,ROCKWALL,18680,22,3330,8,96,16,2
200,RUNNELS,1951,5,142,3,36,2,2
201,RUSK,9820,13,922,4,48,12,4
202,SABINE,1543,2,116,0,0,1,0
203,SAN AUGUSTINE,1409,3,154,0,0,0,0
204,SAN JACINTO,4774,3,173,0,0,5,0
205,SAN PATRICIO,13906,30,2031,3,36,10,2
206,SAN SABA,920,1,31,1,12,1,3
207,SCHLEICHER,899,1,20,1,12,1,0
208,SCURRY,3399,5,421,3,36,2,2
209,SHACKELFORD,624,1,51,0,0,2,0
210,SHELBY,5339,3,172,1,12,2,1
211,SHERMAN,638,1,51,0,0,2,1
212,SMITH,42820,89,8465,7,84,49,7
213,SOMERVELL,1577,4,178,1,12,0,2
214,STARR,15916,38,2244,3,36,2,8
215,STEPHENS,1757,1,152,1,12,2,3
216,STERLING,218,0,0,1,12,0,0
217,STONEWALL,253,0,0,1,12,2,1
218,SUTTON,872,2,63,1,12,1,1
219,SWISHER,1616,2,200,0,0,3,1
220,TARRANT,405129,669,74265,107,1282,533,692
221,TAYLOR,26133,52,5320,2,24,47,46
222,TERRELL,166,0,0,0,0,0,0
223,TERRY,2650,1,100,3,36,4,0
224,THROCKMORTON,255,1,12,0,0,0,0
225,TITUS,7792,8,1156,0,0,7,2
226,TOM GREEN,21116,52,5213,4,48,40,22
227,TRAVIS,209876,469,44082,49,585,277,172
228,TRINITY,2303,6,372,0,0,0,0
229,TYLER,3248,7,383,2,24,1,0
230,UPSHUR,7507,5,462,3,36,10,0
231,UPTON,717,1,20,0,0,0,0
232,UVALDE,5941,14,899,2,24,6,2
233,VAL VERDE,11645,18,1414,3,36,21,3
234,VAN ZANDT,9547,11,1157,4,48,14,4
235,VICTORIA,18136,38,3023,22,262,25,13
236,WALKER,8885,22,1932,0,0,22,2
237,WALLER,8746,13,862,0,0,9,9
238,WARD,2241,3,225,0,0,5,0
239,WASHINGTON,5805,12,1100,4,48,8,4
240,WEBB,70578,102,7421,32,381,315,36
241,WHARTON,8643,17,1902,2,24,24,4
242,WHEELER,1060,1,80,0,0,1,0
243,WICHITA,24188,54,4234,23,276,25,40
244,WILBARGER,2690,7,425,2,24,5,6
245,WILLACY,4600,9,599,3,36,2,9
246,WILLIAMSON,101222,235,28323,59,706,226,125
247,WILSON,8587,17,1237,2,24,4,5
248,WINKLER,1618,2,77,1,12,3,2
249,WISE,12006,24,1507,0,0,11,7
250,WOOD,6612,12,650,2,24,6,3
251,YOAKUM,2015,1,34,2,24,5,0
252,YOUNG,3530,9,494,1,12,1,5
253,ZAPATA,3908,6,339,0,0,2,0
254,ZAVALA,2882,6,465,0,0,1,0
255,UNKNOWN,0,0,0,0,0,0,0
256,STATE TOTAL,5517274,9601,975868,1774,21147,6774,5837
