,County,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity
161,MCLENNAN,60271,4,91,3,0,1,0,99,648
162,MCMULLEN,121,0,0,0,0,0,0,0,0
163,MEDINA,12056,1,30,1,0,0,0,32,119
164,MENARD,436,0,0,0,0,0,0,0,0
165,MIDLAND,38364,4,64,1,0,0,0,69,212
166,MILAM,6448,0,10,1,0,0,0,11,76
167,MILLS,1163,0,10,0,0,1,0,11,150
168,MITCHELL,1816,0,1,0,0,0,0,1,2
169,MONTAGUE,4557,0,11,0,0,0,0,11,17
170,MONTGOMERY,132405,8,187,5,0,0,0,200,678
171,MOORE,7140,0,1,0,0,0,0,1,0
172,MORRIS,3035,0,4,0,0,0,0,4,16
173,MOTLEY,249,0,1,0,0,0,0,1,0
174,NACOGDOCHES,16124,1,40,0,0,1,0,42,174
175,NAVARRO,13134,2,53,0,0,2,0,57,242
176,NEWTON,3177,0,6,0,0,0,0,6,20
177,NOLAN,3978,0,3,0,0,0,0,3,10
178,NUECES,88188,9,127,2,0,0,0,138,548
179,OCHILTREE,3380,0,3,0,0,0,0,3,7
180,OLDHAM,630,0,0,1,0,0,0,1,437
181,ORANGE,20590,0,48,0,0,0,0,48,162
182,PALO PINTO,7095,0,3,0,0,0,0,3,9
183,PANOLA,5851,0,4,0,0,0,0,4,16
184,PARKER,31106,0,45,1,0,0,0,46,183
185,PARMER,3268,0,2,0,0,0,0,2,8
186,PECOS,3884,0,1,0,0,0,0,1,2
187,POLK,9670,0,20,0,0,0,0,20,101
188,POTTER,34211,6,63,1,0,0,0,70,212
189,PRESIDIO,2247,0,0,0,0,0,0,0,0
190,RAINS,2374,0,7,0,0,0,0,7,27
191,RANDALL,31181,3,90,4,0,0,0,97,440
192,REAGAN,1017,0,1,0,0,0,0,1,2
193,REAL,604,0,1,0,0,0,0,1,6
194,RED RIVER,2730,0,3,0,0,0,0,3,7
195,REEVES,3111,0,0,0,0,0,0,0,0
196,REFUGIO,1739,0,3,0,0,0,0,3,12
197,ROBERTS,238,0,0,0,0,0,0,0,0
198,ROBERTSON,4212,0,4,0,0,0,0,4,4
199,ROCKWALL,25042,0,33,0,0,0,0,33,75
200,RUNNELS,2614,0,5,0,0,0,0,5,14
201,RUSK,12632,0,16,0,0,0,0,16,51
202,SABINE,2051,0,0,0,0,0,0,0,0
203,SAN AUGUSTINE,1840,0,12,0,0,0,0,12,37
204,SAN JACINTO,6410,0,7,0,0,0,0,7,24
205,SAN PATRICIO,18070,0,22,2,0,1,0,25,200
206,SAN SABA,1247,1,7,1,0,0,0,9,94
207,SCHLEICHER,1121,0,1,0,0,0,0,1,2
208,SCURRY,4325,0,7,0,0,0,0,7,26
209,SHACKELFORD,816,0,3,0,0,0,0,3,12
210,SHELBY,6739,1,26,0,0,0,0,27,130
211,SHERMAN,879,0,1,0,0,0,0,1,3
212,SMITH,54893,11,114,3,0,3,1,132,616
213,SOMERVELL,2206,0,2,0,0,0,0,2,7
214,STARR,20668,0,6,0,0,0,0,6,32
215,STEPHENS,2280,0,5,0,0,0,0,5,15
216,STERLING,275,0,1,0,0,0,0,1,3
217,STONEWALL,325,0,2,0,0,0,0,2,6
218,SUTTON,1109,0,6,0,0,0,0,6,21
219,SWISHER,2026,0,7,0,0,0,0,7,19
220,TARRANT,517952,27,720,5,0,1,1,754,2314
221,TAYLOR,32799,7,72,4,0,0,0,83,324
222,TERRELL,207,0,0,0,0,0,0,0,0
223,TERRY,3317,0,4,0,0,0,0,4,6
224,THROCKMORTON,345,0,0,0,0,0,0,0,0
225,TITUS,9999,0,6,0,0,0,0,6,24
226,TOM GREEN,26599,1,43,3,0,0,0,47,228
227,TRAVIS,259016,27,384,6,0,2,0,419,1317
228,TRINITY,3008,0,6,0,0,0,0,6,22
229,TYLER,4251,0,10,1,0,1,0,12,93
230,UPSHUR,9830,0,13,0,0,0,0,13,48
231,UPTON,943,0,2,0,0,0,0,2,6
232,UVALDE,7636,0,4,0,0,0,0,4,15
233,VAL VERDE,14849,1,8,0,0,0,0,9,22
234,VAN ZANDT,12663,0,46,0,0,0,0,46,158
235,VICTORIA,23152,3,39,2,0,1,0,45,271
236,WALKER,11453,0,11,2,0,1,0,14,317
237,WALLER,11256,0,13,0,0,0,0,13,47
238,WARD,2887,0,1,0,0,0,0,1,2
239,WASHINGTON,7510,0,10,1,0,0,0,11,53
240,WEBB,90260,2,71,2,0,0,0,75,376
241,WHARTON,11007,0,17,0,0,0,0,17,57
242,WHEELER,1364,0,2,0,0,0,0,2,1
243,WICHITA,30823,4,37,1,0,0,0,42,155
244,WILBARGER,3411,0,1,0,0,0,0,1,0
245,WILLACY,5958,0,1,0,0,0,0,1,2
246,WILLIAMSON,129411,7,278,4,0,1,1,291,1109
247,WILSON,11587,0,32,0,0,0,0,32,108
248,WINKLER,2102,0,1,0,0,0,0,1,2
249,WISE,15837,0,20,0,0,0,0,20,50
250,WOOD,8708,0,12,1,0,0,0,13,95
251,YOAKUM,2519,0,3,0,0,0,0,3,5
252,YOUNG,4489,0,8,0,0,0,0,8,11
253,ZAPATA,4920,0,4,0,0,0,0,4,20
254,ZAVALA,3646,0,2,0,0,0,0,2,4
255,OUT OF STATE,0,0,65,0,0,0,0,65,125
256,STATE TOTAL,7054634,362,9849,157,5,80,6,10459,41420
