,County,Region,Child  Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*
68,ECTOR,009,42345,457,10.8,147,208,239,301
69,EDWARDS,008,406,10,24.6,1,1,7,8
70,ELLIS,003,46146,118,2.6,75,55,68,93
71,EL PASO,010,248080,849,3.4,290,299,523,648
72,ERATH,003,8966,49,5.5,16,14,34,38
73,FALLS,007,3876,30,7.7,12,14,16,19
74,FANNIN,003,7611,39,5.1,20,23,18,31
75,FAYETTE,007,5417,65,12.0,20,44,17,33
76,FISHER,002,805,7,8.7,0,1,6,1
77,FLOYD,001,1784,42,23.5,5,10,26,26
78,FOARD,002,247,2,8.1,0,0,2,2
79,FORT BEND,006,195786,224,1.1,88,111,109,157
80,FRANKLIN,004,2717,29,10.7,15,17,11,19
81,FREESTONE,007,4646,41,8.8,25,22,19,20
82,FRIO,008,4250,92,21.6,10,43,42,65
83,GAINES,009,6804,34,5.0,12,10,23,25
84,GALVESTON,006,76964,358,4.7,147,210,131,196
85,GARZA,001,1303,30,23.0,5,17,12,15
86,GILLESPIE,008,5226,34,6.5,5,12,21,29
87,GLASSCOCK,009,304,0,0.0,0,0,0,0
88,GOLIAD,008,1583,10,6.3,9,3,7,9
89,GONZALES,008,5590,50,8.9,23,22,28,38
90,GRAY,001,5972,64,10.7,9,18,44,50
91,GRAYSON,003,29638,253,8.5,96,115,138,191
92,GREGG,004,32181,338,10.5,112,133,200,239
93,GRIMES,007,6105,48,7.9,25,21,21,32
94,GUADALUPE,008,39986,195,4.9,66,120,70,94
95,HALE,001,10700,120,11.2,58,44,72,84
96,HALL,001,805,12,14.9,0,7,2,4
97,HAMILTON,007,1789,8,4.5,2,5,4,4
98,HANSFORD,001,1702,13,7.6,8,11,2,5
99,HARDEMAN,002,1028,13,12.6,4,9,4,9
100,HARDIN,005,14554,54,3.7,30,20,33,40
101,HARRIS,006,1201493,6424,5.3,1877,2868,3454,4346
102,HARRISON,004,17542,144,8.2,66,54,85,107
103,HARTLEY,001,1297,4,3.1,1,0,4,1
104,HASKELL,002,1205,14,11.6,0,6,8,14
105,HAYS,007,47624,214,4.5,106,115,99,128
106,HEMPHILL,001,1144,11,9.6,3,4,7,11
107,HENDERSON,004,18376,291,15.8,125,112,175,222
