,County,Region,Not Open To Services,Family Preservation,Family Subsitute Care*,Total
195,REEVES,009,57,8,4,69
196,REFUGIO,011,34,15,4,53
197,ROBERTS,001,4,0,0,4
198,ROBERTSON,007,92,5,2,99
199,ROCKWALL,003,273,26,6,305
200,RUNNELS,002,59,11,5,75
201,RUSK,004,298,19,32,349
202,SABINE,005,66,10,0,76
203,SAN AUGUSTINE,005,49,4,3,56
204,SAN JACINTO,005,252,12,10,274
205,SAN PATRICIO,011,591,123,38,752
206,SAN SABA,007,39,7,12,58
207,SCHLEICHER,009,16,6,2,24
208,SCURRY,002,152,30,4,186
209,SHACKELFORD,002,18,8,0,26
210,SHELBY,005,129,18,16,163
211,SHERMAN,001,8,1,0,9
212,SMITH,004,1074,156,68,1298
213,SOMERVELL,003,39,12,2,53
214,STARR,011,206,80,13,299
215,STEPHENS,002,60,13,3,76
216,STERLING,009,9,2,0,11
217,STONEWALL,002,6,4,0,10
218,SUTTON,009,13,4,0,17
219,SWISHER,001,51,13,5,69
220,TARRANT,003,11283,1378,397,13058
221,TAYLOR,002,1163,325,91,1579
222,TERRELL,009,2,1,0,3
223,TERRY,001,90,26,12,128
224,THROCKMORTON,002,7,2,0,9
225,TITUS,004,161,9,6,176
226,TOM GREEN,009,842,209,89,1140
227,TRAVIS,007,6563,302,286,7151
228,TRINITY,005,105,6,3,114
229,TYLER,005,206,11,9,226
230,UPSHUR,004,303,25,12,340
231,UPTON,009,22,3,0,25
232,UVALDE,008,187,37,15,239
233,VAL VERDE,008,174,9,9,192
234,VAN ZANDT,004,348,31,43,422
235,VICTORIA,008,608,89,17,714
236,WALKER,006,247,41,16,304
237,WALLER,006,182,31,16,229
238,WARD,009,91,12,3,106
239,WASHINGTON,007,162,6,15,183
240,WEBB,011,1055,567,104,1726
241,WHARTON,006,239,25,6,270
242,WHEELER,001,23,4,0,27
243,WICHITA,002,1159,214,65,1438
244,WILBARGER,002,65,10,3,78
245,WILLACY,011,177,41,10,228
246,WILLIAMSON,007,1997,155,89,2241
247,WILSON,008,211,21,12,244
248,WINKLER,009,66,5,1,72
249,WISE,003,294,42,32,368
250,WOOD,004,233,22,33,288
251,YOAKUM,001,30,11,3,44
252,YOUNG,002,140,23,7,170
253,ZAPATA,011,78,25,6,109
254,ZAVALA,008,93,14,7,114
255,OUT OF STATE,,31,0,1,32
256,STATE TOTAL,,140368,19717,8079,168164
