,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages
179,OCHILTREE,001,508,1198,29,29,20,15
180,OLDHAM,001,240,334,2,3,3,3
181,ORANGE,005,9112,12693,593,399,251,194
182,PALO PINTO,003,2429,5397,240,234,159,121
183,PANOLA,004,2681,4196,92,76,52,44
184,PARKER,003,9927,18434,393,329,255,197
185,PARMER,001,491,1356,16,18,13,11
186,PECOS,009,875,2072,45,43,36,28
187,POLK,005,6619,9886,337,261,158,143
188,POTTER,001,8356,14411,950,847,654,526
189,PRESIDIO,010,971,1604,37,23,17,12
190,RAINS,004,1101,2834,43,38,23,13
191,RANDALL,001,6268,17505,489,443,318,227
192,REAGAN,009,139,447,12,8,6,6
193,REAL,008,154,1021,14,11,9,6
194,RED RIVER,004,1589,3012,74,56,33,25
195,REEVES,009,1376,1844,81,61,49,32
196,REFUGIO,011,840,1600,32,29,15,16
197,ROBERTS,001,49,190,0,0,0,0
198,ROBERTSON,007,1636,3223,82,71,48,33
199,ROCKWALL,003,3640,10357,146,119,81,55
200,RUNNELS,002,524,2188,92,81,65,56
201,RUSK,004,4584,8533,196,146,88,75
202,SABINE,005,1169,3351,76,71,42,42
203,SAN AUGUSTINE,005,1313,2320,97,86,64,55
204,SAN JACINTO,005,2427,5569,241,186,139,125
205,SAN PATRICIO,011,6011,9572,395,291,163,127
206,SAN SABA,007,716,1340,26,25,22,18
207,SCHLEICHER,009,194,569,15,10,9,6
208,SCURRY,002,1186,2593,88,72,50,32
209,SHACKELFORD,002,235,686,32,27,22,18
210,SHELBY,005,2965,4427,185,156,115,102
211,SHERMAN,001,185,479,8,6,2,1
212,SMITH,004,15136,33286,1125,961,751,661
213,SOMERVELL,003,687,1529,30,28,20,17
214,STARR,011,6645,7314,222,208,131,120
215,STEPHENS,002,757,1881,105,84,74,53
216,STERLING,009,53,237,2,3,3,2
217,STONEWALL,002,64,389,17,11,9,4
218,SUTTON,009,136,737,18,20,20,16
219,SWISHER,001,557,1411,24,23,17,14
220,TARRANT,003,110438,189456,5561,4421,2862,1672
221,TAYLOR,002,10796,18823,1561,1225,905,662
222,TERRELL,009,55,259,6,5,4,2
223,TERRY,001,1227,1940,167,153,135,135
224,THROCKMORTON,002,135,443,26,21,18,14
225,TITUS,004,3461,4242,107,87,70,54
226,TOM GREEN,009,7841,16743,1266,1007,810,681
227,TRAVIS,007,57233,89958,4014,2645,1423,1198
228,TRINITY,005,1733,3774,165,134,117,126
229,TYLER,005,2496,4661,155,107,77,72
230,UPSHUR,004,4723,7218,229,205,161,108
231,UPTON,009,278,588,24,23,13,12
232,UVALDE,008,2206,4442,138,114,47,26
233,VAL VERDE,008,2508,6916,212,158,87,44
234,VAN ZANDT,004,5437,10961,322,242,149,116
235,VICTORIA,008,7568,13130,344,242,133,94
236,WALKER,006,4256,7895,196,167,111,94
237,WALLER,006,3124,5908,105,76,60,55
238,WARD,009,911,1747,54,41,29,22
239,WASHINGTON,007,2416,6969,98,76,34,22
240,WEBB,011,18541,23241,748,690,313,303
241,WHARTON,006,2855,6463,134,121,105,89
242,WHEELER,001,275,1072,32,27,21,16
243,WICHITA,002,9961,18154,1685,1292,1039,831
244,WILBARGER,002,1369,2339,207,155,125,88
245,WILLACY,011,2185,2941,209,156,119,98
246,WILLIAMSON,007,26528,53339,986,798,491,359
247,WILSON,008,3955,6993,126,92,60,50
248,WINKLER,009,656,1039,27,20,15,9
249,WISE,003,5348,9113,206,162,91,56
250,WOOD,004,4564,12100,224,196,104,77
251,YOAKUM,001,666,1051,24,22,18,17
252,YOUNG,002,1627,3629,232,195,157,133
253,ZAPATA,011,1459,1713,44,40,18,19
254,ZAVALA,008,1322,1615,41,35,17,12
255,UNKNOWN,0,0,0,77,36,26,22
256,STATE TOTAL,,1724408,3086103,103024,81681,54731,41496
