,County,STAR,CYD,SYSN,YRP,TOTAL
133,KERR,182,0,18,1,201
134,KIMBLE,33,0,0,1,34
135,KING,1,0,0,0,1
136,KINNEY,11,0,0,14,25
137,KLEBERG,380,0,40,17,437
138,KNOX,16,0,0,0,16
139,LAMAR,301,0,1,0,302
140,LAMB,11,0,0,0,11
141,LAMPASAS,2,0,5,0,7
142,LASALLE,20,0,0,0,20
143,LAVACA,65,0,1,0,66
144,LEE,13,0,0,0,13
145,LEON,26,0,0,0,26
146,LIBERTY,58,0,0,0,58
147,LIMESTONE,12,0,0,0,12
148,LIPSCOMB,1,0,0,0,1
149,LIVE OAK,105,0,63,0,168
150,LLANO,72,0,0,0,72
151,LOVING,0,0,0,0,0
152,LUBBOCK,452,1017,71,16,1556
153,LYNN,16,0,0,0,16
154,MADISON,93,0,1,0,94
155,MARION,13,0,0,0,13
156,MARTIN,2,0,0,0,2
157,MASON,18,0,0,0,18
158,MATAGORDA,136,0,0,0,136
159,MAVERICK,118,0,0,77,195
160,MCCULLOCH,33,0,0,0,33
161,MCLENNAN,329,705,5,0,1039
162,MCMULLEN,4,0,0,0,4
163,MEDINA,110,0,1,0,111
164,MENARD,26,0,23,0,49
165,MIDLAND,154,0,0,0,154
166,MILAM,98,0,0,0,98
167,MILLS,2,0,0,0,2
168,MITCHELL,14,0,0,2,16
169,MONTAGUE,20,0,0,0,20
170,MONTGOMERY,828,0,14,0,842
171,MOORE,23,0,0,0,23
172,MORRIS,17,0,0,0,17
173,MOTLEY,1,0,0,0,1
174,NACOGDOCHES,72,0,30,0,102
175,NAVARRO,66,0,33,0,99
176,NEWTON,17,0,0,0,17
177,NOLAN,28,0,0,15,43
178,NUECES,957,2155,133,30,3275
179,OCHILTREE,10,0,13,0,23
180,OLDHAM,0,0,0,0,0
181,ORANGE,84,0,0,0,84
182,PALO PINTO,34,0,0,0,34
183,PANOLA,42,0,0,0,42
184,PARKER,33,0,2,0,35
185,PARMER,11,0,0,0,11
186,PECOS,18,0,0,0,18
187,POLK,63,0,11,0,74
188,POTTER,183,1025,9,0,1217
189,PRESIDIO,21,0,0,0,21
190,RAINS,19,0,0,0,19
191,RANDALL,82,0,17,0,99
192,REAGAN,0,0,0,0,0
193,REAL,9,0,0,4,13
194,RED RIVER,23,0,0,0,23
195,REEVES,17,0,0,0,17
196,REFUGIO,25,0,0,0,25
197,ROBERTS,2,0,0,0,2
198,ROBERTSON,106,0,0,0,106
199,ROCKWALL,120,0,6,0,126
200,RUNNELS,23,0,0,0,23
201,RUSK,41,0,45,0,86
202,SABINE,11,0,0,0,11
203,SAN AUGUSTINE,72,0,20,0,92
204,SAN JACINTO,32,0,1,0,33
205,SAN PATRICIO,351,0,23,0,374
206,SAN SABA,9,0,0,0,9
207,SCHLEICHER,0,0,0,0,0
208,SCURRY,43,0,0,0,43
209,SHACKELFORD,3,0,0,0,3
210,SHELBY,78,0,0,0,78
211,SHERMAN,3,0,2,0,5
212,SMITH,363,0,60,78,501
213,SOMERVELL,31,0,0,0,31
214,STARR,77,0,0,0,77
215,STEPHENS,11,0,2,0,13
216,STERLING,2,0,0,0,2
217,STONEWALL,2,0,0,0,2
218,SUTTON,4,0,0,14,18
219,SWISHER,3,0,0,0,3
220,TARRANT,1312,1060,296,0,2668
221,TAYLOR,438,0,157,0,595
222,TERRELL,2,0,0,0,2
223,TERRY,37,0,0,0,37
224,THROCKMORTON,4,0,0,0,4
225,TITUS,72,0,0,0,72
226,TOM GREEN,341,0,71,0,412
227,TRAVIS,811,1630,322,0,2763
228,TRINITY,16,0,18,0,34
229,TYLER,32,0,0,0,32
230,UPSHUR,111,0,0,2,113
231,UPTON,1,0,0,0,1
232,UVALDE,85,0,0,18,103
233,VAL VERDE,576,0,16,386,978
234,VAN ZANDT,132,0,0,0,132
235,VICTORIA,631,0,13,0,644
236,WALKER,8,0,22,0,30
237,WALLER,4,0,2,0,6
238,WARD,3,0,0,0,3
239,WASHINGTON,198,0,15,0,213
240,WEBB,370,0,158,49,577
241,WHARTON,238,0,51,0,289
242,WHEELER,18,0,0,0,18
243,WICHITA,450,0,160,0,610
244,WILBARGER,56,0,36,0,92
245,WILLACY,129,0,0,0,129
246,WILLIAMSON,580,0,39,0,619
247,WILSON,117,0,6,0,123
248,WINKLER,1,0,0,0,1
249,WISE,92,0,2,0,94
250,WOOD,35,0,0,1,36
251,YOAKUM,8,0,0,0,8
252,YOUNG,26,0,0,0,26
253,ZAPATA,126,0,0,0,126
254,ZAVALA,66,0,1,1,68
255,UNKNOWN,0,0,0,0,0
256,OUT OF STATE,0,0,0,0,0
257,STATE TOTAL,30168,19731,5720,1066,56685
