,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services
49,COOKE,3207,6875,173,134,81,63
50,CORYELL,6227,5202,246,210,142,199
51,COTTLE,141,455,10,8,5,5
52,CRANE,354,650,20,20,17,12
53,CROCKETT,371,820,8,8,6,9
54,CROSBY,531,1171,52,43,40,84
55,CULBERSON,245,593,9,10,9,8
56,DALLAM,523,843,21,20,13,18
57,DALLAS,194831,198656,8029,6307,4105,3229
58,DAWSON,1221,2133,145,129,107,91
59,DEAF SMITH,1502,2467,53,54,41,36
60,DELTA,425,978,36,30,17,13
61,DENTON,66770,41712,1256,839,589,416
62,DEWITT,1639,3774,101,84,41,31
63,DICKENS,220,617,21,18,15,28
64,DIMMIT,852,1397,62,48,21,14
65,DONLEY,318,943,32,30,24,47
66,DUVAL,1069,1839,68,62,35,31
67,EASTLAND,1374,4145,232,191,143,124
68,ECTOR,10303,15391,804,659,489,641
69,EDWARDS,176,518,5,4,2,5
70,ELLIS,13590,15118,406,325,218,253
71,EL PASO,62126,75912,3930,3389,2296,2574
72,ERATH,2918,4678,167,105,73,108
73,FALLS,1458,2955,98,71,39,26
74,FANNIN,2804,6182,179,136,109,93
75,FAYETTE,2015,5168,112,89,41,51
76,FISHER,320,973,29,24,14,9
77,FLOYD,573,1178,27,24,22,56
78,FOARD,116,388,13,11,10,7
79,FORT BEND,57104,44698,817,629,347,300
80,FRANKLIN,793,2592,44,38,23,27
81,FREESTONE,1612,3526,97,72,41,41
82,FRIO,1394,2187,69,46,34,39
83,GAINES,1204,1884,44,37,23,18
84,GALVESTON,25660,33635,1257,991,513,495
85,GARZA,435,838,53,54,44,70
86,GILLESPIE,1897,7788,90,70,37,21
87,GLASSCOCK,124,244,7,7,6,8
88,GOLIAD,638,1407,19,19,6,6
89,GONZALES,1621,3198,113,96,54,53
90,GRAY,1693,4216,147,129,96,141
91,GRAYSON,9907,17987,870,669,488,444
92,GREGG,9565,16937,743,590,426,555
93,GRIMES,2260,4047,136,101,72,65
94,GUADALUPE,10954,14884,473,390,213,211
95,HALE,2793,4584,147,117,77,91
96,HALL,276,780,25,23,19,48
97,HAMILTON,644,2136,34,31,16,10
98,HANSFORD,423,800,8,9,7,8
99,HARDEMAN,355,918,91,79,59,50
100,HARDIN,4283,7215,231,201,139,194
101,HARRIS,339503,319258,13708,10913,7231,7577
102,HARRISON,5424,9975,309,246,187,242
103,HARTLEY,498,756,18,18,12,8
104,HASKELL,450,1324,45,41,28,11
105,HAYS,15190,14147,344,312,159,156
106,HEMPHILL,277,636,1,1,1,0
107,HENDERSON,6618,15865,652,580,440,714
108,HIDALGO,61239,72243,2934,2561,1502,1832
109,HILL,2799,6899,212,181,104,92
110,HOCKLEY,1845,3196,137,109,93,173
111,HOOD,4381,11913,248,160,122,111
112,HOPKINS,2651,5804,183,172,111,151
113,HOUSTON,1981,4867,350,323,281,176
114,HOWARD,2816,4969,373,299,217,89
115,HUDSPETH,311,589,15,12,7,19
116,HUNT,7497,11411,640,483,412,434
117,HUTCHINSON,1770,3752,139,121,95,97
118,IRION,157,419,7,4,3,8
119,JACK,700,1548,84,70,61,39
120,JACKSON,1172,2406,37,40,24,7
121,JASPER,2828,6206,359,301,204,176
122,JEFF DAVIS,241,653,12,10,9,15
123,JEFFERSON,20561,29547,1838,1437,959,948
124,JIM HOGG,452,888,35,29,12,21
125,JIM WELLS,3385,5663,255,218,115,106
126,JOHNSON,14014,18814,518,437,270,259
127,JONES,1674,2863,156,134,98,71
128,KARNES,1368,2290,67,64,29,26
129,KAUFMAN,9378,12480,375,303,255,334
130,KENDALL,3188,5739,94,56,24,16
131,KENEDY,36,94,0,0,0,0
132,KENT,62,286,3,3,3,2
133,KERR,3591,11711,381,261,163,195
134,KIMBLE,356,1146,45,39,37,38
135,KING,34,63,1,1,0,0
136,KINNEY,246,860,18,15,11,6
137,KLEBERG,2695,3908,110,84,58,69
138,KNOX,313,866,41,37,25,38
139,LAMAR,3896,8788,443,369,224,219
140,LAMB,1151,2526,142,126,117,112
141,LAMPASAS,1982,3512,93,85,56,73
142,LASALLE,492,933,29,25,19,29
143,LAVACA,1485,4099,90,82,49,37
144,LEE,1458,2517,55,41,25,42
145,LEON,1341,4228,68,53,43,41
146,LIBERTY,6997,9479,398,322,235,275
147,LIMESTONE,1849,3984,134,100,58,40
148,LIPSCOMB,241,624,2,2,2,5
149,LIVE OAK,1073,2238,45,40,26,17
150,LLANO,1438,6213,132,112,74,61
151,LOVING,7,20,2,2,2,3
152,LUBBOCK,20415,29476,3224,2881,2329,2901
153,LYNN,516,1067,37,35,31,54
154,MADISON,1118,2357,48,44,23,24
155,MARION,915,2483,107,95,86,108
156,MARTIN,384,753,13,14,11,14
157,MASON,310,1069,24,18,18,29
158,MATAGORDA,3141,5157,134,92,66,140
159,MAVERICK,4210,5559,174,154,100,49
160,MCCULLOCH,632,1819,100,83,74,104
161,MCLENNAN,17931,26813,1096,804,373,233
162,MCMULLEN,74,245,3,2,1,0
163,MEDINA,3868,6138,218,170,65,28
164,MENARD,201,625,29,25,20,23
165,MIDLAND,10248,14907,529,473,333,226
166,MILAM,2043,4663,141,113,61,45
167,MILLS,390,1313,25,25,13,5
168,MITCHELL,851,1466,73,58,34,31
169,MONTAGUE,1474,4779,234,211,167,112
170,MONTGOMERY,42260,47850,1453,1113,744,688
171,MOORE,1639,2348,63,54,36,46
172,MORRIS,1065,2650,94,82,49,42
173,MOTLEY,101,416,10,10,7,8
174,NACOGDOCHES,4957,8532,293,263,242,287
175,NAVARRO,4058,7213,319,258,167,194
176,NEWTON,1200,2599,122,108,77,76
177,NOLAN,1192,2347,185,160,116,89
178,NUECES,26675,33668,2123,1775,1342,1546
179,OCHILTREE,775,1184,21,23,18,43
180,OLDHAM,188,393,4,5,2,1
181,ORANGE,6803,12546,606,479,276,238
182,PALO PINTO,2213,5154,199,153,101,134
183,PANOLA,1865,4273,134,106,75,101
184,PARKER,10659,14373,376,253,185,280
185,PARMER,804,1399,19,16,13,13
186,PECOS,1440,2073,96,96,82,94
187,POLK,4032,12304,460,394,310,312
188,POTTER,9786,13296,853,752,569,587
189,PRESIDIO,634,1197,27,29,26,32
190,RAINS,994,2456,60,47,38,39
191,RANDALL,9924,15370,445,383,270,293
192,REAGAN,282,498,14,11,5,1
193,REAL,242,1078,30,27,9,11
194,RED RIVER,1100,2978,124,106,68,68
195,REEVES,970,1700,91,81,72,70
196,REFUGIO,630,1376,32,23,10,15
197,ROBERTS,78,215,1,2,1,1
198,ROBERTSON,1327,2757,73,52,32,33
199,ROCKWALL,7987,9105,157,123,90,59
200,RUNNELS,877,2160,95,87,68,70
201,RUSK,4062,7797,285,240,160,227
202,SABINE,788,3252,119,113,95,105
203,SAN AUGUSTINE,738,2212,101,100,90,114
204,SAN JACINTO,2104,5710,274,235,193,203
205,SAN PATRICIO,5717,7563,384,292,189,171
206,SAN SABA,472,1270,32,31,22,32
207,SCHLEICHER,252,601,23,20,19,29
208,SCURRY,1328,2527,113,105,77,43
209,SHACKELFORD,261,657,33,27,21,20
210,SHELBY,2054,4442,171,167,140,70
211,SHERMAN,264,552,5,7,7,5
212,SMITH,16178,29602,1304,1105,871,963
213,SOMERVELL,745,1215,21,14,12,13
214,STARR,4959,5962,263,211,106,147
215,STEPHENS,760,1827,139,95,78,50
216,STERLING,128,254,5,3,2,1
217,STONEWALL,124,404,16,13,7,1
218,SUTTON,375,775,11,9,7,11
219,SWISHER,633,1301,35,27,25,18
220,TARRANT,152409,150939,5372,4042,2340,1572
221,TAYLOR,10271,15327,1441,1135,858,759
222,TERRELL,92,308,6,6,3,7
223,TERRY,975,1759,133,115,98,140
224,THROCKMORTON,135,474,11,8,5,9
225,TITUS,2416,3952,114,91,75,86
226,TOM GREEN,8070,13603,1553,1205,998,1084
227,TRAVIS,82311,71072,4158,3312,1453,1326
228,TRINITY,1117,4003,234,230,199,277
229,TYLER,1678,4634,200,177,138,133
230,UPSHUR,3113,5916,242,207,151,201
231,UPTON,279,619,40,37,30,23
232,UVALDE,2133,3609,132,101,59,54
233,VAL VERDE,3896,6046,276,202,148,128
234,VAN ZANDT,4251,10266,365,295,202,182
235,VICTORIA,7176,10629,426,331,178,107
236,WALKER,5546,6495,156,124,86,94
237,WALLER,3804,3603,162,123,70,62
238,WARD,869,1658,74,60,51,63
239,WASHINGTON,2677,5666,118,93,60,57
240,WEBB,19564,18636,799,663,369,597
241,WHARTON,3572,5965,174,152,95,150
242,WHEELER,392,1072,26,27,18,30
243,WICHITA,9712,16093,1736,1447,1158,1055
244,WILBARGER,1146,2477,177,162,122,128
245,WILLACY,1700,2484,157,139,73,87
246,WILLIAMSON,36790,40110,896,672,416,452
247,WILSON,4131,5420,116,113,63,61
248,WINKLER,570,1096,35,36,30,22
249,WISE,5114,7688,204,128,79,71
250,WOOD,3257,12703,285,241,169,179
251,YOAKUM,637,1057,19,15,14,19
252,YOUNG,1366,3694,263,241,190,210
253,ZAPATA,1261,1881,63,49,19,25
254,ZAVALA,994,1480,45,38,17,17
255,UNKNOWN,0,0,74,31,20,3
256,OUT OF STATE,0,0,0,0,0,28
257,STATE TOTAL,2097597,2581170,108580,87741,58068,60359
