,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2006,Subsequently Confirmed Victims in Fiscal Years 2006 - 2011,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other**,Other***,Family Reunification,Custody Given to Relative,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other*,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP*,TOTAL,CBCAP,FSP*,TFTS
107,HIDALGO,61370,78933,2804,2312,1443,1722,37,36,7,8306,7167,67,11346,8334,7102,2241,9105,436,276110,2685,9.7,6255,1438,23.0%,1859,395,1,0,1313,4.8,599,1237,963,1144,0,604,33,22,7,607,955,7994615,0,15,3,222,"$119,225.84",1237,225,"$32,907.74",4338,276110,705,9329,263192,146,2738,,,,,,,,215911,417,29876,99,1185,69,113,276110,7,129,1,0,0,0,137,602,547,1677,300,0,2524,,,
108,HILL,2200,6856,187,164,115,98,0,0,0,349,307,4,470,311,281,76,394,42,8639,144,16.7,277,84,30.3%,72,18,1,0,74,8.6,46,74,53,63,0,46,2,6,5,9,52,620876,0,0,2,10,"$10,765.50",74,1,$338.88,93,8639,583,5181,2634,30,211,,,,,,,,6646,12,610,2,24,12,3,8639,0,8,1,0,0,0,9,90,47,0,20,0,67,,,
109,HOCKLEY,1670,3100,191,191,166,256,6,6,1,287,251,1,327,179,178,84,243,19,6277,132,21.0,190,68,35.8%,91,16,,,103,16.4,34,99,77,66,0,34,3,13,8,20,82,1165294,0,5,0,11,"$13,421.90",99,3,$81.00,173,6277,217,2282,3665,23,90,,,,,,,,4962,9,514,6,72,4,1,6277,0,15,0,0,2,0,17,112,28,0,0,0,28,,,
110,HOOD,2890,11942,216,181,155,187,4,4,2,623,546,6,738,429,357,182,556,40,11029,287,26.0,472,184,39.0%,97,38,,,114,10.3,52,109,85,90,0,54,5,13,5,25,85,999062,0,1,0,59,"$7,995.04",109,3,$521.94,248,11029,49,8564,2088,62,266,,,,,,,,8449,18,1368,6,72,9,10,11029,1,8,0,0,0,0,9,23,13,0,0,0,13,,,
111,HOPKINS,3060,5790,185,155,88,103,3,2,0,301,252,4,315,234,215,44,271,16,9087,72,7.9,202,46,22.8%,98,29,,,63,6.9,24,63,37,54,0,26,6,7,9,13,37,400887,0,0,1,16,"$8,611.98",63,6,$528.10,57,9087,629,5744,2310,41,363,,,,,,,,7048,9,1026,5,60,15,1,9087,1,15,0,0,0,0,16,39,106,0,9,0,115,,,
112,HOUSTON,2750,4819,332,314,274,256,0,0,0,206,175,1,243,179,161,31,212,15,4822,58,12.0,151,40,26.5%,25,3,,,60,12.4,21,54,42,41,0,21,4,4,3,13,42,406340,0,4,0,5,"$1,981.40",54,3,$226.48,24,4822,1280,2568,768,18,188,,,,,,,,3724,2,267,2,24,8,4,4822,0,9,0,0,0,0,9,29,20,0,0,0,20,,,
113,HOWARD,3210,4802,320,295,183,78,299,284,17,429,371,3,463,292,263,133,330,32,7854,156,19.9,269,85,31.6%,138,30,1,0,111,14.1,58,109,70,90,0,60,6,9,8,13,66,744581,0,3,2,23,"$7,702.88",109,5,$460.36,215,7854,358,3234,4022,42,198,,,,,,,,6228,11,1095,1,12,5,2,7854,1,12,0,0,0,0,13,28,16,0,16,0,32,,,
114,HUDSPETH,240,540,14,10,8,7,0,0,0,22,16,0,21,17,15,3,18,1,991,4,4.0,15,3,20.0%,5,0,,,4,4.0,1,1,1,4,0,1,0,0,0,3,1,3721,0,1,0,0,$0.00,1,0,$0.00,6,991,8,87,879,3,14,,,,,,,,741,1,34,0,0,1,0,991,0,1,0,0,0,0,1,5,3,0,0,0,3,,,
115,HUNT,4870,13184,590,487,410,374,17,14,3,990,900,10,1068,801,622,200,868,104,22135,244,11.0,645,154,23.9%,190,37,,,251,11.3,129,247,193,229,0,131,2,41,37,70,192,1735353,0,10,1,142,"$48,047.97",247,3,"$1,095.30",200,22135,2015,13858,5211,160,891,,,,,,,,16978,25,2543,4,48,36,10,22135,0,36,1,0,1,0,38,182,263,0,93,0,356,,,
116,HUTCHINSON,1560,3321,103,93,79,97,1,1,1,340,298,4,395,316,273,43,352,8,5815,69,11.9,234,43,18.4%,59,10,,,65,11.2,24,56,23,53,0,24,1,7,2,22,22,386512,0,3,0,1,$260.00,56,1,$84.00,93,5815,118,3653,1796,64,184,,,,,,,,4493,5,262,4,48,7,3,5815,0,11,0,0,0,0,11,40,40,0,0,0,40,,,
117,IRION,140,319,3,4,4,1,0,0,0,8,8,0,9,5,5,0,9,0,338,4,11.8,6,2,33.3%,2,1,,,5,14.8,0,5,3,4,0,0,0,0,0,4,3,1661,0,0,0,0,$0.00,5,0,$0.00,4,338,3,211,117,2,5,,,,,,,,232,1,20,0,0,1,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,JACK,860,1443,113,87,72,56,0,0,0,81,65,0,99,80,66,18,81,8,1957,17,8.7,64,14,21.9%,22,1,,,17,8.7,8,15,10,15,0,6,0,0,1,8,10,171850,0,2,1,1,"$3,750.00",15,0,$0.00,39,1957,23,1470,433,2,29,,,,,,,,1484,2,118,1,12,2,1,1957,0,3,0,0,0,0,3,5,17,0,3,0,20,,,
119,JACKSON,1060,2407,35,29,20,25,0,0,0,124,108,0,150,119,104,20,130,0,3559,29,8.1,92,20,21.7%,30,7,,,3,0.8,0,3,2,2,0,0,0,1,2,0,2,84554,0,2,0,2,$800.00,3,0,$0.00,27,3559,269,1739,1491,8,52,,,,,,,,2758,6,305,6,72,17,2,3559,0,7,0,0,0,0,7,16,62,0,0,0,62,,,
120,JASPER,3980,6241,338,305,199,241,2,1,0,383,339,5,557,426,323,85,472,16,8846,111,12.5,326,68,20.9%,77,18,1,0,42,4.7,17,44,35,29,0,17,0,4,8,4,36,500645,1,7,1,10,"$4,066.54",44,13,"$1,382.98",158,8846,1692,5974,791,56,333,,,,,,,,6878,8,853,2,24,5,3,8846,0,18,0,0,0,0,18,57,25,0,0,0,25,,,
121,JEFF DAVIS,180,611,9,7,6,8,0,0,0,5,5,0,5,5,5,0,5,0,388,0,0.0,3,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,5,388,3,176,203,0,6,,,,,,,,283,0,0,0,0,3,0,388,0,0,0,0,1,0,1,84,2,0,0,0,2,,,
122,JEFFERSON,28870,32401,1868,1474,954,906,99,94,31,2495,2272,24,3183,2455,2168,393,2790,161,60731,661,10.9,1947,436,22.4%,286,44,5,0,403,6.6,202,398,329,374,0,207,16,75,44,129,326,2722811,10,37,10,222,"$184,453.50",398,29,"$4,815.25",607,60731,22372,19051,15504,140,3664,,,,,,,,47215,82,8346,8,96,22,27,60731,6,107,4,0,0,0,117,502,273,0,0,0,273,,,
123,JIM HOGG,450,893,32,35,22,16,0,0,0,58,53,0,114,61,53,33,81,11,1515,45,29.7,57,22,38.6%,43,7,,,25,16.5,15,25,13,24,0,15,1,4,0,9,13,94251,0,0,0,2,$450.00,25,5,$501.42,75,1515,5,55,1441,9,5,,,,,,,,1208,4,219,0,0,4,2,1515,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
124,JIM WELLS,3530,5711,233,204,124,104,3,3,1,557,522,7,715,521,453,197,518,62,11941,175,14.7,414,113,27.3%,298,89,,,131,11.0,68,128,94,122,0,68,7,14,2,45,93,951521,0,0,2,20,"$9,578.59",128,11,"$3,071.41",291,11941,44,1678,10132,22,65,,,,,,,,9264,23,1011,2,24,6,2,11941,0,9,0,0,0,0,9,30,152,0,0,0,152,,,
125,JOHNSON,8320,19443,597,467,289,238,43,36,10,1879,1684,16,2282,1513,1155,380,1902,111,42338,691,16.3,1381,443,32.1%,526,133,,,396,9.4,150,393,317,314,0,154,2,62,49,80,315,3732378,0,5,7,187,"$80,979.96",393,15,"$1,597.90",787,42338,1083,28079,11509,197,1470,,,,,,,,32409,37,4508,5,60,27,18,42338,0,58,0,0,0,0,58,201,60,0,2,0,62,,,
126,JONES,2090,2934,173,159,118,88,5,5,0,245,192,0,163,122,93,27,136,1,3740,36,9.6,95,22,23.2%,55,21,,,11,2.9,2,11,8,7,0,2,0,3,0,2,8,120103,0,1,0,5,$991.22,11,4,$108.00,55,3740,154,2249,1208,11,118,,,,,,,,2842,3,89,1,12,5,3,3740,0,6,0,0,0,0,6,24,51,0,0,0,51,,,
127,KARNES,1240,2188,58,59,25,18,0,0,0,158,122,0,189,131,117,57,132,7,2934,51,17.4,112,28,25.0%,49,10,,,42,14.3,11,44,32,23,0,11,2,2,2,9,32,497684,0,0,1,0,$0.00,44,4,$710.91,76,2934,57,959,1873,14,31,,,,,,,,2265,5,152,1,12,4,3,2934,0,3,0,0,0,0,3,7,9,0,0,0,9,,,
128,KAUFMAN,6100,12097,372,321,289,352,160,151,9,964,836,11,1078,828,607,191,887,51,31438,220,7.0,649,140,21.6%,130,28,1,0,136,4.3,58,126,82,119,0,56,1,27,29,39,77,880630,0,7,2,106,"$32,276.22",126,8,"$3,986.64",274,31438,3186,18856,8159,163,1074,,,,,,,,23972,35,4237,4,48,41,21,31438,0,78,1,0,0,0,79,245,23,0,1,0,24,,,
129,KENDALL,2760,6318,91,74,43,34,0,0,0,152,131,1,213,142,131,48,165,11,8338,64,7.7,122,38,31.1%,28,0,,,51,6.1,13,46,33,47,0,13,2,17,9,12,33,377473,0,1,0,3,"$3,226.20",46,3,$169.65,62,8338,42,5543,2539,24,190,,,,,,,,6011,15,1336,3,36,7,2,8338,1,20,1,0,1,0,23,158,52,0,26,0,78,,,
130,KENEDY,40,75,0,0,0,0,0,0,0,7,5,0,1,1,1,0,1,0,96,0,0.0,1,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,4,96,0,15,76,3,2,,,,,,,,73,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,KENT,60,219,4,3,2,2,0,0,0,4,4,0,10,4,4,6,4,4,178,6,33.7,5,2,40.0%,0,0,,,4,22.5,4,4,4,4,0,4,0,0,0,0,4,48393,0,0,0,0,$0.00,4,0,$0.00,6,178,1,125,49,1,2,,,,,,,,128,0,0,0,0,1,0,178,0,1,0,0,0,0,1,12,3,0,0,0,3,,,
132,KERR,3640,12991,382,299,198,192,83,82,2,513,437,7,648,444,439,146,502,39,10128,190,18.8,425,117,27.5%,98,28,2,0,207,20.4,44,203,134,172,0,44,5,30,64,48,132,1622558,0,1,1,45,"$58,951.31",203,18,"$1,821.29",260,10128,151,5395,4284,21,277,,,,,,,,7748,15,1411,4,48,15,4,10128,4,21,3,0,1,0,29,283,165,0,12,0,177,,,
133,KIMBLE,380,1161,46,39,38,61,0,0,0,66,61,0,75,65,65,9,66,5,920,10,10.9,42,7,16.7%,15,5,,,17,18.5,8,17,13,14,0,8,0,3,1,2,13,274567,0,1,0,1,$11.50,17,0,$0.00,16,920,3,545,368,0,4,,,,,,,,687,2,100,1,12,2,0,920,0,3,0,0,0,0,3,11,29,0,0,0,29,,,
134,KING,20,42,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,61,0,0.0,1,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,61,0,51,10,0,0,,,,,,,,41,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,KINNEY,260,937,14,9,9,8,0,0,0,12,10,0,9,9,9,0,9,0,689,0,0.0,6,0,0.0%,0,0,,,5,7.3,3,5,3,5,0,3,0,0,0,2,3,8312,0,1,0,0,$0.00,5,0,$0.00,4,689,5,171,502,2,9,,,,,,,,493,0,0,0,0,0,0,689,0,1,0,0,0,0,1,5,4,0,0,0,4,,,
136,KLEBERG,2670,3955,129,111,81,82,4,3,1,311,283,4,355,261,235,85,270,12,8369,82,9.8,213,55,25.8%,189,57,2,0,85,10.2,19,87,58,59,0,19,3,20,11,11,55,859295,0,2,0,24,"$18,376.26",87,5,"$1,497.57",236,8369,233,1242,6701,5,188,,,,,,,,6602,12,676,1,12,5,5,8369,0,8,0,0,0,0,8,37,349,0,32,0,381,,,
137,KNOX,310,801,43,36,25,34,0,0,0,32,27,0,37,27,17,11,26,4,936,5,5.3,21,5,23.8%,3,0,,,10,10.7,4,11,11,5,0,4,0,0,0,1,11,153754,0,0,0,0,$0.00,11,0,$0.00,11,936,63,447,400,5,21,,,,,,,,749,3,94,0,0,0,1,936,0,0,0,0,0,0,0,0,6,0,0,0,6,,,
138,LAMAR,4520,8728,441,342,217,171,14,12,0,587,464,5,661,514,479,107,554,44,12128,128,10.6,411,81,19.7%,179,28,,,118,9.7,47,114,83,110,0,47,3,18,3,74,85,976652,0,0,0,16,"$4,761.50",114,19,"$1,741.49",170,12128,1898,7910,1552,143,625,,,,,,,,9301,15,1350,8,94,21,5,12128,0,4,0,0,0,0,4,15,313,0,1,0,314,,,
139,LAMB,970,2277,137,106,87,93,0,0,0,200,177,2,197,139,136,19,178,5,4035,51,12.6,117,26,22.2%,33,14,,,33,8.2,5,28,22,16,0,5,0,1,0,11,23,332670,0,1,0,2,$520.00,28,0,$0.00,67,4035,173,1122,2681,4,55,,,,,,,,3145,3,127,1,12,4,0,4035,0,3,0,0,0,0,3,10,8,0,0,0,8,,,
140,LAMPASAS,1280,3359,84,70,50,80,0,0,0,246,222,1,268,208,198,48,220,25,4926,59,12.0,157,33,21.0%,66,10,,,70,14.2,30,70,57,62,0,31,3,8,6,23,56,788797,0,1,0,4,"$5,763.75",70,0,$0.00,51,4926,109,3196,1331,33,257,,,,,,,,3658,4,307,4,48,4,6,4926,0,17,1,0,0,0,18,119,8,0,3,0,11,,,
141,LASALLE,520,985,23,9,7,12,0,0,0,64,59,0,94,64,61,23,71,11,1522,29,19.1,46,14,30.4%,34,7,,,27,17.7,12,28,17,24,0,12,0,13,0,2,17,318078,0,0,0,0,$0.00,28,0,$0.00,26,1522,4,133,1377,1,7,,,,,,,,1169,2,99,0,0,1,0,1522,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
142,LAVACA,1440,4219,80,58,30,27,0,0,0,143,118,1,169,125,112,33,136,15,4357,42,9.6,100,22,22.0%,57,11,,,27,6.2,16,27,19,25,0,16,0,2,4,3,21,164941,0,4,0,11,"$7,085.35",27,0,$0.00,40,4357,338,2717,1212,4,86,,,,,,,,3355,9,467,10,118,10,5,4357,0,8,0,0,0,0,8,30,43,0,0,0,43,,,
143,LEE,1130,2802,73,66,39,36,7,5,1,156,123,2,162,94,82,36,126,17,4195,61,14.5,98,35,35.7%,11,6,,,71,16.9,16,65,51,52,0,16,5,11,6,21,51,661416,0,2,1,4,$788.70,65,0,$0.00,67,4195,358,2164,1532,7,134,,,,,,,,3103,7,528,3,36,3,0,4195,0,17,0,0,0,0,17,71,13,0,0,0,13,,,
144,LEON,1090,3892,71,76,55,58,13,1,0,170,149,0,240,171,149,28,212,10,3795,62,16.3,133,42,31.6%,46,14,,,29,7.6,12,29,20,23,0,12,1,6,1,5,20,267663,0,1,2,1,"$3,000.00",29,0,$0.00,35,3795,218,2572,930,8,67,,,,,,,,2907,6,240,1,12,5,0,3795,0,7,0,0,0,0,7,17,21,0,0,0,21,,,
145,LIBERTY,4400,9476,392,349,255,306,13,10,3,935,819,8,1065,737,615,220,845,115,19812,303,15.3,646,178,27.6%,101,22,3,0,275,13.9,123,271,150,242,0,128,11,31,12,80,147,1896969,1,4,2,59,"$28,008.96",271,12,"$5,136.11",235,19812,1790,12045,5377,51,549,,,,,,,,15158,19,1405,1,12,12,5,19812,0,14,0,0,0,0,14,40,15,0,0,0,15,,,
146,LIMESTONE,1610,4033,126,90,55,42,1044,980,43,248,208,3,272,223,207,38,234,20,5557,46,8.3,170,31,18.2%,68,7,,,59,10.6,20,60,39,47,0,20,0,12,13,9,38,440344,0,1,2,9,"$17,650.00",60,0,$0.00,53,5557,1018,2571,1779,10,179,,,,,,,,4293,9,657,4,48,7,4,5557,0,8,0,0,0,0,8,21,18,0,0,0,18,,,
147,LIPSCOMB,230,502,2,2,2,2,0,0,0,29,23,0,48,37,27,11,37,3,899,11,12.2,24,5,20.8%,6,0,,,8,8.9,2,8,7,8,0,2,1,5,0,2,7,122201,0,0,0,1,"$1,875.00",8,1,$27.00,5,899,5,464,402,8,20,,,,,,,,676,0,0,0,0,0,0,899,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
148,LIVE OAK,1060,2345,47,27,18,14,0,0,0,136,109,0,161,74,66,72,89,13,2270,77,33.9,87,37,42.5%,63,10,,,29,12.8,15,29,21,21,0,17,0,1,0,10,21,167300,0,0,0,0,$0.00,29,3,$140.10,89,2270,18,1084,1136,6,26,,,,,,,,1715,3,102,1,12,3,2,2270,0,5,0,0,0,0,5,12,64,0,1,0,65,,,
149,LLANO,1220,6261,128,107,78,81,1,1,0,220,199,0,200,145,137,37,163,28,3119,50,16.0,139,39,28.1%,60,11,,,57,18.3,28,59,42,52,0,28,2,17,10,7,45,468099,0,0,1,5,$950.00,59,2,$226.20,45,3119,32,2428,564,15,80,,,,,,,,2385,7,354,1,12,6,0,3119,0,3,0,0,0,0,3,7,28,0,0,0,28,,,
150,LOVING,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,7,0,4,3,0,0,,,,,,,,6,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,LUBBOCK,20570,31984,3104,2731,2182,2606,300,288,68,3288,2987,34,4367,2894,2380,910,3457,210,70284,1328,18.9,2411,755,31.3%,626,161,1,0,899,12.8,276,856,606,708,0,292,21,148,142,211,608,8733088,3,42,4,294,"$327,104.40",856,115,"$11,549.77",1747,70284,5843,29576,32002,229,2634,,,,,,,,56177,120,12033,37,444,67,38,70284,11,191,4,0,1,1,208,812,329,870,136,0,1335,,,
152,LYNN,430,990,52,51,38,53,0,0,0,56,47,0,66,48,47,13,53,1,1597,17,10.6,36,8,22.2%,13,2,,,8,5.0,1,8,8,5,0,1,0,0,1,3,7,88070,0,1,0,0,$0.00,8,0,$0.00,30,1597,22,603,937,10,25,,,,,,,,1238,2,99,1,12,4,2,1597,0,2,0,0,0,0,2,3,27,0,0,0,27,,,
153,MADISON,910,2035,63,65,52,46,2,2,0,119,108,2,142,97,95,22,120,20,3021,41,13.6,78,22,28.2%,58,5,1,0,46,15.2,20,47,30,40,0,18,2,1,6,17,28,239101,0,1,1,2,$266.14,47,2,$904.80,21,3021,514,1597,793,5,112,,,,,,,,2336,7,247,1,12,6,2,3021,0,2,0,0,0,0,2,2,66,0,0,0,66,,,
154,MARION,1120,2487,124,93,84,136,2,1,0,172,148,0,230,200,179,18,212,5,1970,25,12.7,134,17,12.7%,15,3,,,23,11.7,9,20,6,24,0,11,0,3,6,7,6,94430,0,1,0,2,$496.10,20,1,$60.52,35,1970,532,1208,132,10,88,,,,,,,,1472,2,131,2,24,0,1,1970,0,1,0,0,0,0,1,4,22,0,0,0,22,,,
155,MARTIN,380,645,27,20,16,9,0,0,0,26,23,0,31,20,20,11,20,1,1438,10,7.0,21,7,33.3%,4,0,,,2,1.4,1,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,$0.00,2,0,$0.00,22,1438,27,643,747,3,18,,,,,,,,1110,2,86,0,0,2,0,1438,0,1,0,0,0,0,1,2,2,0,0,0,2,,,
156,MASON,310,1075,19,21,19,18,0,0,0,17,15,0,24,14,14,4,20,0,835,9,10.8,14,4,28.6%,8,2,,,5,6.0,0,3,2,5,0,0,0,2,1,3,2,26044,0,1,0,1,"$3,000.00",3,0,$0.00,13,835,4,554,266,3,8,,,,,,,,623,3,117,0,0,0,0,835,0,1,0,0,0,0,1,2,25,0,0,0,25,,,
157,MATAGORDA,2010,5564,137,138,102,171,6,6,1,303,267,2,431,323,243,90,341,21,9557,92,9.6,261,58,22.2%,58,14,4,2,52,5.4,22,47,37,45,0,22,1,8,2,19,34,399844,2,3,0,4,"$1,259.52",47,13,"$3,350.15",183,9557,1002,3105,5098,18,334,,,,,,,,7347,11,972,0,0,30,3,9557,0,5,0,0,1,0,6,40,122,0,16,0,138,,,
158,MAVERICK,3880,6217,179,122,98,49,6,6,1,294,249,3,308,263,261,24,284,8,18421,39,2.1,186,27,14.5%,28,9,,,29,1.6,10,30,14,21,0,10,1,5,10,0,18,302379,0,1,3,4,"$5,250.00",30,1,$508.96,67,18421,19,393,17723,226,60,,,,,,,,14141,20,1889,0,0,10,6,18421,0,8,0,0,0,0,8,11,119,0,0,0,119,,,
159,MCCULLOCH,650,1779,99,78,67,70,0,0,0,98,93,1,153,108,91,27,126,6,2004,44,22.0,81,23,28.4%,29,10,,,20,10.0,11,18,17,18,0,11,0,2,1,6,17,181651,0,0,0,3,"$3,800.00",18,0,$0.00,36,2004,36,1104,837,2,25,,,,,,,,1539,4,243,3,36,5,0,2004,1,16,0,0,0,0,17,66,30,0,0,0,30,,,
160,MCLENNAN,15130,30260,1208,1002,475,371,104,92,4,2890,2494,26,3314,2531,2328,665,2649,146,60271,698,11.6,2021,428,21.2%,496,109,1,0,515,8.5,157,494,349,408,0,174,23,78,66,103,346,4791334,3,24,11,63,"$57,312.50",494,17,"$2,728.81",1070,60271,9562,26602,21686,148,2273,,,,,,,,47100,102,10756,26,312,56,29,60271,4,91,3,0,1,0,99,648,295,692,8,0,995,,,
161,MCMULLEN,60,200,3,3,2,1,0,0,0,8,6,0,11,2,2,8,3,2,121,9,74.4,7,5,71.4%,0,0,,,3,24.8,2,2,0,3,0,3,0,0,0,1,0,0,0,0,0,0,$0.00,2,0,$0.00,9,121,2,54,65,0,0,,,,,,,,92,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
162,MEDINA,3740,6887,147,92,51,33,3,2,0,454,383,4,484,319,309,120,364,51,12056,146,12.1,295,91,30.8%,135,26,,,215,17.8,66,206,143,175,0,68,5,30,48,48,148,1873844,0,3,4,27,"$24,274.32",206,9,$335.24,212,12056,80,4359,7389,38,190,,,,,,,,9079,13,866,0,0,4,10,12056,1,30,1,0,0,0,32,119,93,0,0,0,93,,,
163,MENARD,180,642,25,24,20,21,0,0,0,18,17,0,34,17,17,10,24,3,436,15,34.4,19,9,47.4%,4,0,,,12,27.5,4,12,10,9,0,4,0,3,0,5,10,141878,0,0,0,1,$400.00,12,0,$0.00,11,436,0,206,230,0,0,,,,,,,,330,1,20,0,0,0,0,436,0,0,0,0,0,0,0,0,21,0,28,0,49,,,
164,MIDLAND,11520,15763,451,356,221,136,36,35,1,1219,1038,10,1420,1024,835,248,1172,60,38364,366,9.5,890,229,25.7%,297,49,2,0,220,5.7,73,206,141,185,0,80,16,37,18,55,143,1779534,1,12,5,108,"$61,576.53",206,16,"$1,342.91",415,38364,2476,14866,19765,129,1128,,,,,,,,30280,64,6523,9,105,38,8,38364,4,64,1,0,0,0,69,212,167,0,0,0,167,,,
165,MILAM,1570,4575,125,111,68,79,1,1,0,339,287,1,359,242,231,86,273,32,6448,107,16.6,206,64,31.1%,86,10,,,101,15.7,41,96,62,94,0,40,3,26,11,26,61,668045,1,1,1,6,"$4,426.28",96,2,$343.28,176,6448,675,3240,2394,12,127,,,,,,,,4889,6,358,6,72,11,0,6448,0,10,1,0,0,0,11,76,101,0,0,0,101,,,
166,MILLS,280,1197,17,15,10,8,0,0,0,40,37,0,37,30,30,7,30,4,1163,7,6.0,27,5,18.5%,12,1,,,9,7.7,4,8,7,8,0,4,2,1,0,6,7,156379,0,0,0,5,$396.00,8,0,$0.00,16,1163,21,842,284,1,15,,,,,,,,855,0,0,3,36,1,4,1163,0,10,0,0,1,0,11,150,0,0,0,0,0,,,
167,MITCHELL,900,1311,71,54,36,23,0,0,0,109,96,0,160,98,79,56,104,7,1816,59,32.5,93,32,34.4%,15,4,,,16,8.8,7,16,16,12,0,7,1,4,0,6,17,184539,0,0,0,7,"$2,941.63",16,1,$35.00,77,1816,74,860,852,6,24,,,,,,,,1402,2,62,0,0,1,2,1816,0,1,0,0,0,0,1,2,22,0,0,0,22,,,
168,MONTAGUE,1750,4118,264,219,173,133,0,0,0,266,207,4,259,176,139,64,195,20,4557,74,16.2,162,48,29.6%,55,18,1,0,116,25.5,30,100,78,94,0,34,11,6,3,47,77,714285,0,9,1,7,"$3,659.66",100,0,$0.00,167,4557,20,3570,840,33,94,,,,,,,,3550,7,305,3,36,3,3,4557,0,11,0,0,0,0,11,17,9,0,0,0,9,,,
169,MONTGOMERY,26270,54847,1429,1160,747,757,39,31,6,4035,3327,29,4081,3191,2479,781,3300,279,132405,794,6.0,2549,506,19.9%,553,108,4,0,870,6.6,318,838,508,724,0,331,40,92,113,261,505,6549864,1,20,12,240,"$169,068.68",838,59,"$9,744.49",1297,132405,5989,79222,40466,478,6250,,,,,,,,101769,156,18603,17,192,64,25,132405,8,187,5,0,0,0,200,678,702,0,15,0,717,,,
170,MOORE,1540,2198,51,46,35,29,0,1,0,246,212,1,270,168,165,56,214,7,7140,93,13.0,169,54,32.0%,68,12,,,44,6.2,18,43,21,31,0,18,0,5,1,12,19,396969,0,0,0,1,$36.48,43,5,"$1,186.05",92,7140,67,1748,4611,22,692,,,,,,,,5594,6,327,0,0,2,4,7140,0,1,0,0,0,0,1,0,11,0,0,0,11,,,
171,MORRIS,1250,2607,114,87,49,40,0,1,0,167,140,0,198,170,149,16,182,4,3035,24,7.9,116,16,13.8%,43,15,,,16,5.3,4,16,13,14,0,6,3,3,1,6,13,200615,1,1,0,2,$737.87,16,5,$698.95,37,3035,709,1720,464,13,129,,,,,,,,2287,3,140,2,24,7,3,3035,0,4,0,0,0,0,4,16,11,0,0,0,11,,,
