,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2005,Subsequently Confirmed Victims in Fiscal Years 2005 - 2010,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA),Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
77,FOARD,90,388,42,41,37,32,0,0,0,22,16,0,22,13,10,8,14,0,321,9,28.0,13,5,38.5%,10,4,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,11,321,19,222,77,1,2,230,1,35,0,0,1,0,321,0,0,0,0,0,0,0,0,7,0,0,0,7,,,
78,FORT BEND,42550,40958,838,682,430,324,246,250,25,2920,2597,19,2880,2235,1751,604,2276,127,135870,586,4.3,1850,401,21.7%,506,34,3,0,334,2.5,125,324,215,248,0,123,7,23,15,114,196,2575468,6,36,31,256,"$149,864.65",324,202,"$94,490.50",1366,135870,30253,48654,39918,212,16833,94746,232,28300,19,228,112,225,135870,2,255,1,0,5,0,263,1025,295,0,38,0,333,,,
79,FRANKLIN,660,2500,42,33,14,17,3,2,0,115,89,0,101,77,62,16,85,6,2260,20,8.8,65,15,23.1%,24,8,,,18,8.0,13,19,9,15,0,13,1,1,1,6,9,28533,0,2,0,15,"$9,494.42",19,2,$190.00,26,2260,127,1598,523,4,8,1711,5,284,1,12,6,0,2260,0,3,0,0,0,0,3,7,27,0,0,0,27,,,
80,FREESTONE,1310,3453,90,62,39,37,4,3,0,188,175,0,232,180,165,25,207,5,4646,51,11.0,139,23,16.5%,37,12,,,27,5.8,11,30,23,22,0,11,1,7,1,3,22,485338,0,3,0,2,$850.00,30,1,$575.00,34,4646,840,3033,741,4,28,3628,9,526,1,12,13,4,4646,0,9,1,0,0,0,10,80,12,0,0,0,12,,,
81,FRIO,1160,2106,63,47,29,39,0,0,0,256,218,2,371,294,273,83,288,10,4931,68,13.8,188,36,19.1%,47,9,,,57,11.6,10,57,37,37,0,10,1,18,7,4,37,576517,0,0,1,4,"$1,110.00",57,7,$462.18,100,4931,8,538,4357,1,27,3929,6,475,2,24,12,1,4931,0,12,0,0,0,0,12,50,17,0,0,0,17,,,
82,GAINES,1010,1850,49,44,26,9,4,3,1,128,118,0,140,98,84,26,114,14,5067,35,6.9,82,26,31.7%,17,2,,,30,5.9,20,30,16,29,0,20,0,4,3,3,16,222049,0,0,0,9,"$13,997.18",30,3,$948.84,35,5067,63,2481,2504,3,16,4106,2,102,4,48,2,2,5067,0,4,0,0,0,0,4,6,5,0,1,0,6,,,
83,GALVESTON,20190,32821,1328,1014,756,805,20,18,2,3039,2775,24,3573,2914,2247,648,2925,119,71005,578,8.1,2259,369,16.3%,830,140,2,1,397,5.6,166,382,177,336,0,172,13,24,53,123,169,1919617,2,22,11,121,"$80,084.31",382,67,"$9,676.44",1148,71005,13028,33171,22234,203,2369,55321,135,14861,16,192,76,80,71005,1,84,2,0,1,0,88,338,451,605,50,0,1106,,,
84,GARZA,330,829,41,35,31,32,0,0,0,86,81,0,104,55,50,32,72,5,1266,46,36.3,59,22,37.3%,3,1,,,12,9.5,6,9,8,11,0,6,1,2,0,2,8,147687,0,2,0,1,$162.00,9,0,$0.00,47,1266,63,600,596,0,7,972,2,80,0,0,3,0,1266,0,2,0,0,0,0,2,6,10,0,0,0,10,,,
85,GILLESPIE,1460,7465,61,58,34,39,9,4,1,167,147,0,137,75,67,35,102,19,4630,55,11.9,83,33,39.8%,15,0,,,50,10.8,16,48,33,36,0,16,0,8,8,7,34,518384,0,1,0,3,"$1,055.00",48,2,$40.00,50,4630,4,2955,1654,1,16,3436,9,526,4,48,7,5,4630,0,6,0,0,0,0,6,22,59,0,0,0,59,,,
86,GLASSCOCK,100,239,8,4,2,4,0,0,0,1,1,0,3,3,3,0,3,0,381,0,0.0,2,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,381,3,223,155,0,0,273,1,12,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOLIAD,490,1390,36,21,9,8,0,0,0,53,43,0,61,43,38,19,42,3,1717,17,9.9,36,9,25.0%,20,7,,,5,2.9,3,5,5,4,0,3,0,0,0,1,5,109313,0,0,0,0,$0.00,5,0,$0.00,19,1717,83,647,982,0,5,1325,2,104,0,0,2,0,1717,0,10,1,0,0,0,11,64,10,0,1,0,11,,,
88,GONZALES,1250,3210,115,60,36,29,0,0,0,310,241,3,294,242,216,42,252,0,5371,47,8.8,162,28,17.3%,73,12,,,23,4.3,0,22,16,14,0,0,0,2,8,4,16,256413,0,0,0,6,"$6,130.00",22,4,$346.79,63,5371,598,1789,2959,4,21,4295,10,546,1,12,7,1,5371,0,6,0,0,1,0,7,100,34,0,0,0,34,,,
89,GRAY,1430,4230,136,117,98,182,5,5,4,285,267,5,424,235,155,125,299,49,5160,173,33.5,234,87,37.2%,51,18,,,107,20.7,53,106,69,84,0,56,1,11,9,13,69,883921,1,1,0,15,"$19,824.05",106,12,"$1,278.37",164,5160,247,3580,1256,19,58,3959,11,739,0,0,5,0,5160,0,5,1,0,0,0,6,28,41,0,0,0,41,,,
90,GRAYSON,7970,17806,812,645,481,403,18,19,0,1595,1405,13,1843,1477,1190,159,1684,54,27949,305,10.9,1087,180,16.6%,90,24,,,190,6.8,59,176,129,138,0,64,2,18,33,36,128,1881780,4,10,0,107,"$79,043.59",176,16,"$4,373.49",233,27949,2501,19957,4684,227,580,22165,36,2871,6,72,34,21,27949,0,30,1,0,0,0,31,95,258,0,51,9,318,,,
91,GREGG,7930,16732,689,549,415,563,69,66,2,1477,1314,12,1776,1385,1171,245,1531,51,31585,353,11.2,1082,210,19.4%,316,65,2,0,273,8.6,73,269,210,197,0,76,2,53,44,57,203,2924746,3,9,9,178,"$170,381.37",269,37,"$9,282.34",380,31585,7700,15754,7640,60,431,24850,53,5722,4,48,54,22,31585,2,48,0,0,0,0,50,116,327,0,0,0,327,,,
92,GRIMES,1730,3963,112,82,52,51,0,0,0,305,273,0,355,283,250,38,317,12,6140,65,10.6,216,43,19.9%,29,9,,,46,7.5,15,43,27,40,0,15,0,8,3,14,28,435435,2,2,0,4,$840.35,43,2,$40.00,73,6140,1348,3230,1533,2,27,4894,7,300,9,107,9,4,6140,0,5,0,0,0,0,5,11,221,0,0,0,221,,,
93,GUADALUPE,8870,14254,491,366,187,120,30,16,5,1531,1288,12,1633,1252,1107,309,1324,26,31168,320,10.3,962,197,20.5%,211,48,4,1,128,4.1,47,123,72,91,0,48,4,19,11,23,69,677263,0,9,8,14,"$17,013.77",123,58,"$16,595.82",544,31168,1821,13504,15436,24,383,22442,34,2680,3,36,35,36,31168,0,74,1,0,1,0,76,267,182,0,14,14,210,,,
94,HALE,2300,4566,171,138,106,131,5,5,1,400,369,5,533,345,312,127,406,39,10977,173,15.8,312,95,30.4%,97,16,,,136,12.4,45,133,113,97,0,51,4,14,19,22,119,1553972,0,5,1,24,"$37,789.60",133,23,"$1,551.87",250,10977,552,3079,7287,17,42,8802,7,738,5,60,15,7,10977,0,15,0,0,0,0,15,46,71,0,6,0,77,,,
95,HALL,220,779,32,27,26,45,0,0,0,40,36,0,51,40,29,6,45,3,991,11,11.1,33,4,12.1%,7,1,,,11,11.1,3,11,11,4,0,3,0,0,0,1,11,162510,0,0,0,1,"$5,000.00",11,1,$35.00,14,991,82,429,475,0,5,781,1,37,0,0,3,0,991,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
96,HAMILTON,520,2118,32,30,18,11,0,0,0,91,82,2,127,104,93,5,122,4,1920,21,10.9,69,14,20.3%,12,5,,,20,10.4,5,20,14,17,0,5,4,4,1,3,14,175667,0,1,0,2,$764.30,20,0,$0.00,29,1920,0,1620,294,2,4,1469,3,131,3,36,7,7,1920,1,4,0,0,0,0,5,15,42,0,0,0,42,,,
97,HANSFORD,320,801,11,10,7,7,0,0,0,28,26,0,39,30,27,3,36,2,1435,9,6.3,26,6,23.1%,4,0,,,4,2.8,2,4,3,4,0,2,1,0,1,0,3,56336,0,0,0,0,$0.00,4,0,$0.00,6,1435,5,660,764,1,5,1144,2,91,0,0,5,1,1435,0,0,0,0,0,0,0,0,2,0,12,0,14,,,
98,HARDEMAN,280,913,109,104,87,72,0,0,0,66,58,0,83,55,47,19,64,6,1014,23,22.7,47,15,31.9%,4,2,,,8,7.9,6,9,9,7,0,6,0,0,0,1,9,72734,0,1,0,0,$0.00,9,0,$0.00,16,1014,40,679,284,6,5,797,2,95,5,60,5,1,1014,0,1,0,0,0,0,1,5,32,0,0,0,32,,,
99,HARDIN,3470,7122,267,211,142,186,4,4,1,593,492,5,670,507,479,51,619,16,12373,149,12.0,416,99,23.8%,66,16,,,71,5.7,22,68,54,41,0,22,0,4,6,13,51,711821,0,7,3,27,"$21,355.56",68,14,"$2,870.79",108,12373,1322,10505,474,11,61,9284,13,1537,0,0,3,4,12373,0,18,0,0,0,0,18,56,41,0,0,0,41,,,
100,HARRIS,284790,310296,13631,11095,7889,8553,425,384,41,33189,28549,232,35729,28256,21715,6990,28739,2109,1104113,6535,5.9,21727,4169,19.2%,4640,509,44,8,7624,6.9,2636,7485,4633,5339,0,2704,173,879,786,1218,4476,61253042,31,165,161,3253,"$3,162,375.19",7485,807,"$280,785.00",13114,1104113,205049,270636,564843,1816,61769,886065,1528,168732,154,1782,1010,1759,1104113,43,1363,16,5,23,1,1451,5674,949,3165,396,0,4510,,,
101,HARRISON,4500,9674,311,266,203,229,3,1,1,709,656,7,890,653,554,117,773,38,15616,217,13.9,556,130,23.4%,46,10,,,130,8.3,47,130,95,101,0,47,12,7,7,36,95,1303167,4,7,4,70,"$54,480.08",130,32,"$4,631.52",212,15616,3890,9228,2399,8,91,11945,21,1996,5,60,41,6,15616,0,26,2,0,1,0,29,177,191,0,68,0,259,,,
102,HARTLEY,400,757,15,12,9,5,0,0,0,12,12,0,12,9,9,1,11,0,1274,3,2.4,9,2,22.2%,8,1,,,4,3.1,0,4,1,4,0,0,0,0,0,4,1,16181,0,0,0,0,$0.00,4,0,$0.00,3,1274,5,1119,146,1,3,1048,1,150,0,0,0,1,1274,0,1,0,0,0,0,1,6,19,0,0,0,19,,,
103,HASKELL,350,1359,46,42,31,24,0,0,0,56,45,3,76,68,43,10,66,0,1280,6,4.7,43,4,9.3%,5,0,,,2,1.6,0,2,1,2,0,0,0,2,2,0,3,54268,0,1,0,2,"$7,000.00",2,1,$36.48,6,1280,45,769,461,0,5,1019,2,105,1,12,3,1,1280,0,1,0,0,0,0,1,1,23,0,1,0,24,,,
104,HAYS,12520,13231,326,234,136,187,19,16,2,1335,1143,11,1244,979,893,143,1101,41,32984,235,7.1,774,152,19.6%,125,18,,,138,4.2,60,138,80,109,0,68,3,9,18,28,80,950115,0,2,10,15,"$16,639.59",138,22,"$5,736.04",254,32984,1143,16502,14897,62,380,25920,81,5689,11,132,61,29,32984,2,78,1,0,2,0,83,501,556,0,46,0,602,,,
105,HEMPHILL,230,625,8,5,4,8,0,0,0,10,9,0,16,13,11,3,13,0,839,3,3.6,8,2,25.0%,11,1,,,2,2.4,0,2,1,1,0,0,0,1,1,0,1,26914,0,1,0,4,"$1,205.00",2,0,$0.00,6,839,0,576,261,0,2,667,1,68,0,0,2,0,839,0,2,0,0,0,0,2,8,2,0,0,0,2,,,
106,HENDERSON,5050,15682,590,482,343,534,2,2,0,1056,902,7,1148,754,632,244,904,77,18095,366,20.2,689,212,30.8%,122,30,1,0,260,14.4,105,255,186,209,0,107,3,15,26,76,181,1757364,1,6,6,139,"$141,478.37",255,71,"$13,162.36",399,18095,1818,12681,3450,30,116,14022,15,1614,4,48,22,2,18095,0,34,0,0,0,0,34,102,56,0,0,0,56,,,
107,HIDALGO,49830,70187,2866,2449,1474,1824,32,39,12,8813,8026,73,11471,8492,7024,2101,9370,138,253765,2593,10.2,6348,1441,22.7%,2057,429,6,0,621,2.4,232,587,486,490,0,238,40,5,4,270,479,5597761,2,15,9,305,"$270,890.83",587,276,"$50,036.16",4404,253765,345,11473,239553,161,2233,203765,386,28164,114,1365,174,151,253765,6,128,1,0,0,0,135,655,503,823,432,6,1764,,,
108,HILL,2230,6763,155,130,71,94,0,0,0,392,352,4,484,359,328,50,434,20,9234,111,12.0,297,71,23.9%,26,3,,,65,7.0,18,65,51,51,0,18,5,7,10,15,50,674809,0,0,0,13,"$8,318.42",65,7,"$1,963.32",111,9234,994,5650,2563,3,24,7268,10,551,3,36,10,5,9234,0,4,1,0,0,0,5,88,70,0,0,0,70,,,
109,HOCKLEY,1500,3171,154,136,122,209,2,2,0,298,272,1,356,231,219,77,279,10,6584,117,17.8,216,75,34.7%,23,4,,,96,14.6,22,93,80,63,0,27,10,10,11,9,81,1155617,0,1,0,10,"$17,868.24",93,0,$0.00,147,6584,236,2878,3451,4,15,5334,11,551,6,72,14,0,6584,0,9,0,0,1,0,10,50,89,0,0,0,89,,,
110,HOOD,3490,11402,163,152,108,144,0,1,0,692,635,7,785,461,370,187,598,9,10428,290,27.8,453,165,36.4%,101,36,,,71,6.8,40,70,52,60,0,36,2,8,6,11,52,613267,0,0,1,33,"$16,595.11",70,2,"$1,220.20",278,10428,30,8337,1958,31,72,7798,17,1326,5,60,8,11,10428,0,9,0,0,0,0,9,24,50,0,39,0,89,,,
111,HOPKINS,2140,5708,189,151,76,85,1,1,0,433,353,4,466,339,286,78,388,44,8766,110,12.5,277,63,22.7%,67,13,,,93,10.6,51,98,56,78,0,52,1,4,3,42,51,594245,0,3,1,52,"$33,950.46",98,22,"$3,600.12",113,8766,810,6309,1573,15,59,6848,14,1259,4,48,17,2,8766,1,15,0,0,0,0,16,47,135,0,23,0,158,,,
112,HOUSTON,1570,4769,365,326,285,265,1,1,0,237,214,1,315,229,202,44,271,19,4912,75,15.3,187,40,21.4%,27,3,,,45,9.2,26,44,32,39,0,26,4,0,7,12,36,328361,0,3,0,24,"$13,251.84",44,17,"$3,721.75",55,4912,1637,2641,611,3,20,3786,4,232,3,36,5,7,4912,0,7,0,0,0,0,7,26,14,0,12,0,26,,,
113,HOWARD,2220,4974,373,323,204,101,328,313,16,550,483,4,654,423,361,218,436,36,7696,208,27.0,366,120,32.8%,150,51,1,0,128,16.6,61,127,85,100,0,63,3,11,9,40,88,1183835,0,1,1,60,"$38,330.14",127,29,"$7,580.87",327,7696,345,3530,3752,3,66,6084,13,1166,0,0,7,1,7696,0,6,0,0,0,0,6,13,25,0,13,0,38,,,
114,HUDSPETH,250,569,13,17,15,13,0,0,0,37,26,0,26,22,19,3,23,3,919,4,4.4,20,2,10.0%,7,4,,,4,4.4,3,3,3,4,0,3,0,0,0,1,5,32118,0,0,1,0,$0.00,3,0,$0.00,0,919,0,140,776,3,0,662,2,51,0,0,0,0,919,0,1,0,0,0,0,1,0,34,0,0,0,34,,,
115,HUNT,6120,11270,604,512,428,483,19,17,2,1055,979,12,1136,873,686,232,904,109,21036,235,11.2,696,141,20.3%,104,8,1,0,252,12.0,115,244,151,230,0,113,9,57,52,47,144,1387925,2,17,1,146,"$57,724.52",244,17,"$4,643.30",234,21036,2908,14043,3729,73,283,16223,23,2549,4,48,32,11,21036,0,44,1,0,1,0,46,200,203,0,43,0,246,,,
116,HUTCHINSON,1450,3737,119,117,95,125,0,0,0,351,314,4,401,319,283,65,336,3,6113,79,12.9,250,46,18.4%,36,7,,,45,7.4,10,41,34,29,0,10,0,3,0,17,34,555923,1,3,0,4,"$5,214.00",41,23,"$4,184.46",156,6113,197,4242,1600,36,38,4828,7,351,4,48,10,2,6113,0,10,0,0,0,0,10,41,39,0,0,0,39,,,
117,IRION,120,420,11,9,8,5,0,0,0,17,16,0,26,22,22,2,24,2,289,3,10.4,13,2,15.4%,0,0,,,3,10.4,2,3,3,2,0,2,0,0,0,0,3,27428,0,0,0,1,$765.00,3,0,$0.00,7,289,1,197,91,0,0,210,1,20,0,0,0,1,289,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
118,JACK,600,1516,69,61,54,37,0,0,0,91,79,0,119,77,67,25,94,5,1952,40,20.5,69,21,30.4%,14,5,,,10,5.1,5,10,9,6,0,5,0,0,0,1,9,178092,0,1,1,0,$0.00,10,0,$0.00,48,1952,17,1669,242,17,7,1540,1,25,2,24,5,3,1952,0,2,0,0,0,0,2,4,14,0,0,0,14,,,
119,JACKSON,960,2384,47,35,18,21,0,0,0,151,120,0,188,146,135,31,157,2,3937,41,10.4,104,25,24.0%,55,12,1,0,17,4.3,1,18,9,14,0,1,0,0,12,1,9,103021,1,5,0,2,$270.00,18,1,$20.00,31,3937,311,2110,1479,4,33,3170,5,298,6,72,10,3,3937,0,11,0,0,0,0,11,45,105,0,0,0,105,,,
120,JASPER,2230,6179,298,225,151,190,2,2,1,465,430,5,625,484,372,90,535,18,8690,121,13.9,363,69,19.0%,75,15,,,53,6.1,16,53,40,40,0,17,6,10,2,11,40,529512,2,6,0,21,"$9,866.08",53,14,"$1,883.38",125,8690,2028,5951,631,11,69,6803,6,808,3,36,10,8,8690,0,16,0,0,0,0,16,56,64,0,0,0,64,,,
121,JEFF DAVIS,190,625,8,7,5,3,0,0,0,20,18,0,22,18,11,10,12,0,431,3,7.0,14,3,21.4%,2,2,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,17,431,7,248,175,0,1,321,0,0,0,0,3,1,431,0,0,0,0,1,0,1,84,4,0,0,0,4,,,
122,JEFFERSON,16190,29775,1748,1430,967,1021,78,70,15,2584,2356,23,3069,2405,2076,366,2703,62,60601,578,9.5,1920,380,19.8%,340,51,3,0,273,4.5,100,262,217,214,0,99,6,50,31,68,217,2022735,9,37,13,272,"$300,996.78",262,67,"$23,984.94",502,60601,24592,20581,12355,111,2962,47331,83,8513,8,84,16,25,60601,6,119,4,0,0,0,129,516,326,0,0,0,326,,,
123,JIM HOGG,340,870,32,26,14,12,0,0,0,97,95,0,149,67,56,73,76,5,1464,76,51.9,75,33,44.0%,27,5,,,16,10.9,11,13,8,16,0,9,0,0,0,11,8,22214,0,0,0,1,$389.64,13,1,$27.00,112,1464,3,117,1341,1,2,1136,3,164,0,0,4,2,1464,0,0,0,0,0,0,0,0,14,0,0,0,14,,,
124,JIM WELLS,2650,5519,234,195,97,85,2,2,1,592,540,7,777,535,490,243,534,43,12004,234,19.5,406,105,25.9%,261,44,,,124,10.3,45,106,66,106,0,50,9,4,8,62,67,735087,0,0,2,36,"$19,961.48",106,24,"$3,464.75",408,12004,51,1958,9928,4,63,9478,23,989,1,12,6,2,12004,0,9,0,0,0,0,9,32,194,0,0,0,194,,,
125,JOHNSON,11410,18186,484,343,210,227,39,70,19,2005,1804,15,2103,1366,1082,430,1673,101,43767,662,15.1,1219,385,31.6%,222,42,2,0,359,8.2,165,355,271,280,0,165,1,26,28,64,265,3449578,0,8,5,157,"$120,522.75",355,20,"$5,704.55",798,43767,1303,30427,11251,169,617,32601,37,4575,5,60,25,14,43767,0,68,0,0,0,0,68,245,76,0,5,4,85,,,
126,JONES,1450,2889,164,139,114,65,2,2,1,235,190,0,237,163,124,46,191,6,4198,69,16.4,138,42,30.4%,18,6,,,20,4.8,5,19,18,15,0,5,3,0,2,5,18,325937,0,2,0,5,"$11,675.39",19,0,$0.00,120,4198,280,2531,1335,5,47,3024,5,175,1,12,13,2,4198,0,5,0,0,0,0,5,18,70,0,0,0,70,,,
127,KARNES,1190,2271,60,45,36,38,0,0,0,180,161,0,186,169,150,11,175,7,3366,15,4.5,106,10,9.4%,31,4,,,22,6.5,7,22,22,15,0,7,0,5,2,3,22,377145,0,0,0,3,"$6,055.00",22,1,$20.00,21,3366,51,1037,2266,0,12,2650,5,152,1,12,4,2,3366,0,0,0,0,0,0,0,0,32,0,0,0,32,,,
128,KAUFMAN,7380,11902,331,273,232,296,196,202,11,1133,1026,11,1087,886,623,145,942,32,26223,169,6.4,655,121,18.5%,138,26,,,114,4.3,34,106,71,96,0,35,2,29,20,25,62,895505,1,8,6,70,"$49,843.44",106,26,"$8,005.40",234,26223,2935,16575,6483,36,194,19480,34,4071,5,60,33,21,26223,0,58,1,0,0,0,59,201,11,0,1,1,13,,,
129,KENDALL,2420,5419,61,58,23,31,0,0,0,160,139,3,162,119,107,27,135,9,7107,41,5.8,106,26,24.5%,22,6,,,22,3.1,15,22,12,20,0,15,1,2,2,2,12,214061,1,3,1,2,$40.00,22,3,$573.49,42,7107,12,5077,1984,3,31,5021,15,1226,3,36,4,8,7107,1,25,1,0,1,0,28,161,73,0,0,0,73,,,
130,KENEDY,30,84,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,117,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,117,0,22,94,0,1,95,0,0,0,0,0,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,KENT,50,284,2,1,0,2,0,0,0,4,0,0,1,1,1,0,1,0,118,0,0.0,1,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,118,0,113,5,0,0,86,0,0,0,0,0,0,118,0,1,0,0,0,0,1,12,4,0,0,0,4,,,
132,KERR,2790,11620,330,258,152,187,42,46,5,650,605,6,744,540,478,170,574,61,8896,185,20.8,437,113,25.9%,50,11,1,0,226,25.4,96,218,149,174,0,95,9,29,18,37,149,2089286,0,5,0,26,"$23,822.85",218,29,"$2,944.95",269,8896,165,5075,3601,5,50,6855,16,1227,3,36,15,8,8896,3,25,3,0,1,0,32,300,93,0,16,24,133,,,
133,KIMBLE,280,1136,46,52,49,69,0,0,0,51,44,0,54,34,28,15,39,7,1047,19,18.1,35,10,28.6%,6,2,,,22,21.0,12,22,19,13,0,12,1,0,0,0,19,307083,0,1,0,1,$810.90,22,0,$0.00,21,1047,0,706,332,0,9,835,2,100,1,12,1,0,1047,0,3,0,0,0,0,3,10,45,0,0,0,45,,,
134,KING,30,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0.0,0,0,0.0%,4,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,66,0,57,9,0,0,39,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,2,0,0,0,2,,,
135,KINNEY,190,865,28,26,23,11,0,0,0,34,31,0,30,26,26,3,27,0,798,4,5.0,17,2,11.8%,2,1,,,1,1.3,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,$0.00,1,2,$40.00,0,798,0,221,577,0,0,605,2,35,0,0,1,0,798,0,1,0,0,0,0,1,3,13,0,0,7,20,,,
136,KLEBERG,2120,3856,155,129,84,82,3,2,1,407,382,6,487,309,288,174,313,40,8203,167,20.4,262,83,31.7%,186,46,2,0,120,14.6,37,119,74,85,0,37,6,7,6,40,77,908984,0,0,0,36,"$39,513.47",119,27,"$5,536.08",259,8203,379,1623,6063,15,123,6771,13,699,1,12,9,6,8203,0,7,0,0,0,0,7,32,353,0,66,4,423,,,
137,KNOX,250,871,48,31,22,36,0,0,0,31,27,0,43,34,26,8,35,4,998,7,7.0,25,4,16.0%,6,3,,,12,12.0,6,13,9,9,0,6,0,1,1,5,9,127473,0,1,0,0,$0.00,13,0,$0.00,9,998,100,507,389,0,2,779,3,94,0,0,1,0,998,0,1,0,0,0,0,1,1,23,0,0,0,23,,,
138,LAMAR,3100,8654,406,326,222,227,8,7,0,698,578,4,756,576,512,95,661,27,12501,160,12.8,480,106,22.1%,71,21,2,0,96,7.7,40,93,72,68,0,42,8,1,2,24,70,826167,1,4,0,50,"$59,458.10",93,15,"$2,562.24",147,12501,2373,9215,725,63,125,9822,17,1499,6,70,14,7,12501,0,11,0,0,0,0,11,38,294,0,2,0,296,,,
139,LAMB,920,2522,133,150,135,117,0,0,0,181,169,2,251,210,202,23,228,5,4375,38,8.7,143,22,15.4%,35,5,1,0,49,11.2,2,44,34,33,0,2,0,10,9,14,37,669379,0,0,0,6,"$7,681.98",44,2,$100.00,115,4375,208,1429,2720,3,15,3487,3,127,1,12,3,0,4375,0,0,0,0,0,0,0,0,14,0,0,0,14,,,
140,LAMPASAS,1500,3407,98,67,51,97,0,0,0,239,212,3,281,234,223,35,246,8,5104,45,8.8,181,26,14.4%,40,11,,,46,9.0,8,43,37,29,0,8,1,6,7,12,36,679278,0,1,0,11,"$3,399.42",43,0,$0.00,58,5104,172,3531,1368,2,31,3942,5,357,4,48,4,10,5104,0,15,1,0,0,0,16,110,1,0,11,0,12,,,
141,LASALLE,380,920,18,20,14,16,0,0,0,80,73,0,123,84,74,40,83,10,1553,39,25.1,61,17,27.9%,22,0,,,25,16.1,10,25,12,14,0,10,0,0,3,1,12,115942,0,0,0,1,"$4,500.00",25,2,$178.14,45,1553,15,172,1360,0,6,1304,2,99,0,0,11,0,1553,0,2,0,0,0,0,2,3,10,0,0,0,10,,,
142,LAVACA,1180,4119,82,51,19,22,1,0,0,165,129,1,155,130,125,15,140,3,4347,23,5.3,95,16,16.8%,28,1,,,8,1.8,3,8,8,5,0,3,0,0,0,2,8,129202,0,1,0,11,"$2,050.00",8,0,$0.00,33,4347,437,2869,1024,1,16,3421,12,575,12,142,13,5,4347,0,7,0,0,0,0,7,31,56,0,1,0,57,,,
143,LEE,1200,2498,45,41,26,47,2,0,0,154,128,2,196,135,117,46,150,13,4305,57,13.2,107,33,30.8%,21,5,,,48,11.1,19,46,30,36,0,19,7,0,5,7,31,267284,0,0,4,0,$0.00,46,2,$45.50,64,4305,509,2252,1513,4,27,3317,8,537,6,72,4,0,4305,0,24,0,0,0,0,24,101,9,0,0,0,9,,,
