,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
82,GAINES,009,999,1774,30,19,15,11,0,0,0,6804,83,4100,2548,3,70,124,108,0,85,19,22.4%,54,10,2,66,77.6%,,,,134,98,83,29,105,9,6804,34,5.0,85,19,22.4%,,,,16,40,1,2.5%,55,14,34,5.0,12,10,23,25,,,,,,,,,,,,,,,23,0,13,0,2,3,5,0,0,0,25,397053,8,"$13,832.23",33,4,$362.64,45,5428,2,103,3,36,0,1,6804,0,5,0,0,0,5,10,24,0,0,24,,,
83,GALVESTON,006,20294,37915,1266,967,547,345,19,16,3,76964,10525,36754,24471,250,4964,3250,2749,25,1932,322,16.7%,1292,244,74,1610,83.3%,,,,3002,2473,1988,431,2571,91,76964,476,6.2,1932,322,16.7%,,3,0,389,1099,60,5.5%,765,145,358,4.7,147,210,131,196,,,,,,,,,,,,,,,277,0,152,13,29,34,64,3,13,6,194,2233059,168,"$120,133.22",341,134,"$29,220.69",1059,59384,120,15227,14,163,46,53,76964,3,83,1,0,1,88,292,433,933,1,1367,,,
84,GARZA,001,860,817,42,39,27,24,0,0,0,1303,71,510,704,7,11,53,50,0,37,13,35.1%,20,3,1,24,64.9%,,,,70,41,35,21,49,3,1303,29,22.3,37,13,35.1%,,1,0,13,41,2,4.9%,3,0,30,23.0,5,17,12,15,,,,,,,,,,,,,,,27,0,4,2,14,0,9,0,0,0,15,183387,5,"$4,279.43",29,0,$0.00,44,1044,1,44,0,0,0,0,1303,0,1,0,0,0,1,2,4,0,0,4,,,
85,GILLESPIE,008,1648,7487,88,72,45,31,2,2,0,5226,10,3169,1954,11,82,160,136,0,112,19,17.0%,82,10,1,93,83.0%,,,,164,132,117,19,145,4,5226,31,5.9,112,19,17.0%,,,,18,48,1,2.1%,48,8,34,6.5,5,12,21,29,,,,,,,,,,,,,,,25,0,5,1,8,6,6,0,0,0,28,605843,18,"$22,100.35",33,14,"$1,881.98",48,3844,9,525,3,36,6,3,5226,0,4,0,0,0,4,13,45,0,0,45,,,
86,GLASSCOCK,009,36,220,0,0,0,0,0,0,0,304,3,176,124,0,1,1,1,0,2,0,0.0%,2,0,0,2,100.0%,,,,5,5,5,0,5,0,304,0,0.0,2,0,0.0%,,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,224,1,12,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,0,,,
87,GOLIAD,008,775,1654,28,15,6,4,0,0,0,1583,74,723,762,3,21,75,49,0,49,13,26.5%,33,3,0,36,73.5%,,,,85,61,57,24,61,5,1583,22,13.9,49,13,26.5%,,,,14,42,8,19.0%,9,3,10,6.3,9,3,7,9,,,,,,,,,,,,,,,10,0,9,0,1,1,0,1,1,0,9,108495,3,"$4,675.00",10,0,$0.00,42,1161,2,179,0,0,2,0,1583,0,5,0,0,0,5,20,8,1,0,9,,,
88,GONZALES,008,1830,3404,77,72,43,24,2,2,1,5590,305,1534,3645,14,92,235,176,1,157,36,22.9%,106,13,2,121,77.1%,,,,270,194,168,54,216,15,5590,75,13.4,157,36,22.9%,,,,26,83,15,18.1%,35,5,50,8.9,23,22,28,38,,,,,,,,,,,,,,,37,0,23,1,7,4,2,0,0,0,38,402261,15,"$10,652.00",50,2,$136.95,81,4383,6,298,1,12,9,2,5590,1,5,1,0,1,8,145,75,0,0,75,,,
89,GRAY,001,1404,3731,123,106,69,61,5,5,2,5972,144,3202,2439,18,169,342,308,4,239,62,25.9%,129,36,12,177,74.1%,,,,372,258,171,87,285,8,5972,110,18.4,239,62,25.9%,,,,65,164,2,1.2%,62,18,64,10.7,9,18,44,50,,,,,,,,,,,,,,,39,0,10,1,5,9,16,0,1,0,50,972730,36,"$36,031.45",62,60,"$10,876.63",152,4774,11,845,0,0,1,1,5972,0,11,0,0,0,11,33,33,0,0,33,,,
90,GRAYSON,003,9569,21644,721,591,511,399,20,17,2,29638,1960,19581,6158,443,1496,1503,1334,16,1106,346,31.3%,581,154,25,760,68.7%,,,,1811,1170,878,356,1455,84,29638,584,19.7,1106,346,31.3%,,1,0,196,513,27,5.3%,212,48,253,8.5,96,115,138,191,,,,,,,,,,,,,,,191,0,95,5,26,16,69,2,2,0,190,2307652,235,"$129,840.35",253,11,"$1,153.65",572,22720,35,3067,7,84,38,18,29638,0,12,1,0,0,13,51,100,0,17,117,,,
91,GREGG,004,10995,18167,609,477,342,272,66,59,6,32181,6885,14389,9412,100,1395,1313,1171,14,936,306,32.7%,492,126,12,630,67.3%,,,,1538,969,752,320,1218,77,32181,525,16.3,936,306,32.7%,,,,188,479,26,5.4%,331,53,338,10.5,112,133,200,239,,,,,,,,,,,,,,,284,0,112,16,53,43,80,0,9,1,230,3168583,182,"$203,368.45",333,122,"$15,191.95",514,25393,52,5825,5,60,19,13,32181,4,38,0,0,0,42,121,299,0,15,314,,,
92,GRIMES,007,2341,4411,113,89,60,47,1,1,0,6105,868,2924,2165,7,141,262,235,0,171,48,28.1%,106,12,5,123,71.9%,,,,286,193,164,50,236,24,6105,81,13.3,171,48,28.1%,,,,19,47,0,0.0%,56,8,48,7.9,25,21,21,32,,,,,,,,,,,,,,,45,0,25,1,4,3,14,0,0,0,34,417799,13,"$14,600.34",42,0,$0.00,69,4681,6,312,10,119,6,5,6105,0,2,0,0,0,2,7,246,0,0,246,,,
93,GUADALUPE,008,10288,19197,417,303,186,126,48,36,1,39986,2163,17325,18714,107,1677,1515,1118,11,956,194,20.3%,679,76,7,762,79.7%,,,,1475,1140,1006,200,1275,54,39986,305,7.6,956,194,20.3%,,,,138,355,13,3.7%,302,76,195,4.9,66,120,70,94,,,,,,,,,,,,,,,166,0,67,3,28,42,41,0,6,2,92,1374773,50,"$31,458.54",190,31,"$5,297.60",378,29611,36,3902,10,116,32,29,39986,0,73,0,0,1,74,242,129,0,2,131,,,
94,HALE,001,2221,4657,163,134,108,92,8,7,2,10700,382,2426,7710,23,159,368,332,6,259,97,37.5%,137,23,2,162,62.5%,,,,482,284,235,162,320,46,10700,185,17.3,259,97,37.5%,,,,84,204,12,5.9%,112,32,120,11.2,58,44,72,84,,,,,,,,,,,,,,,91,0,57,1,7,6,26,0,7,0,86,1216748,36,"$15,102.97",116,22,"$2,260.64",232,8434,6,629,4,48,11,4,10700,0,17,0,0,0,17,53,89,0,19,108,,,
95,HALL,001,164,806,20,17,16,17,0,0,0,805,64,309,428,3,1,25,21,0,23,5,21.7%,15,3,0,18,78.3%,,,,31,23,19,3,28,0,805,7,8.7,23,5,21.7%,,,,6,9,0,0.0%,8,0,12,14.9,0,7,2,4,,,,,,,,,,,,,,,11,0,2,0,3,1,5,0,0,0,4,68363,1,$770.00,9,4,$563.40,13,609,0,0,0,0,1,0,805,0,1,0,0,0,1,6,5,0,0,5,,,
96,HAMILTON,007,697,2193,30,29,9,2,0,0,0,1789,10,1409,341,7,22,85,71,2,59,11,18.6%,40,4,4,48,81.4%,,,,94,79,62,7,87,2,1789,14,7.8,59,11,18.6%,,1,0,6,11,0,0.0%,21,4,8,4.5,2,5,4,4,,,,,,,,,,,,,,,6,0,2,0,1,0,4,0,1,0,3,66893,6,"$4,200.00",9,0,$0.00,15,1346,3,199,3,36,1,4,1789,1,1,0,0,0,2,1,18,0,0,18,,,
97,HANSFORD,001,389,858,8,3,2,3,0,0,0,1702,9,692,982,0,19,44,37,0,18,4,22.2%,13,1,0,14,77.8%,,,,32,21,20,10,22,0,1702,11,6.5,18,4,22.2%,,,,2,7,4,57.1%,5,1,13,7.6,8,11,2,5,,,,,,,,,,,,,,,10,0,8,0,2,0,0,0,0,0,5,105659,3,"$1,979.64",13,3,$422.91,9,1321,2,89,1,12,3,0,1702,0,0,0,0,0,0,0,12,0,11,23,,,
98,HARDEMAN,002,487,902,46,41,36,19,0,0,0,1028,43,535,418,3,29,50,43,0,33,13,39.4%,15,4,1,20,60.6%,,,,62,35,26,18,44,4,1028,25,24.3,33,13,39.4%,,,,7,19,0,0.0%,11,3,13,12.6,4,9,4,9,,,,,,,,,,,,,,,10,0,5,0,0,0,6,0,0,0,10,48359,0,$0.00,13,0,$0.00,21,795,2,94,2,24,1,2,1028,0,2,0,0,0,2,11,25,0,0,25,,,
99,HARDIN,005,5560,8645,239,181,115,86,7,8,1,14554,918,12167,1072,27,370,636,564,5,483,109,22.6%,333,37,4,374,77.4%,,,,740,563,501,58,682,13,14554,155,10.6,483,109,22.6%,,1,0,40,84,12,14.3%,56,13,54,3.7,30,20,33,40,,,,,,,,,,,,,,,48,0,28,2,11,3,10,0,3,1,40,392171,34,"$21,522.16",53,23,"$5,529.22",88,11023,12,1492,1,12,5,5,14554,0,18,0,0,0,18,51,48,0,0,48,,,
100,HARRIS,006,227128,395311,13175,10712,7216,5775,466,447,54,1201493,216114,253842,640581,2100,88856,33514,27404,295,20657,3987,19.3%,13645,2211,814,16670,80.7%,,,,32395,25623,20833,5341,27054,1500,1201493,6070,5.1,20657,3987,19.3%,,21,0,3914,11804,445,3.8%,5872,664,6424,5.3,1877,2868,3454,4346,,,,,,,,,,,,,,,4845,0,1922,203,897,803,1490,10,86,64,4253,61894387,5877,"$7,894,242.50",6322,1444,"$423,850.86",12206,947881,1570,181203,176,2094,712,1319,1201493,53,1300,20,3,19,1395,5277,908,2190,402,3500,,,
101,HARRISON,004,4899,10172,293,226,164,127,5,6,0,17542,3477,9554,3840,79,592,709,624,7,475,141,29.7%,284,43,7,334,70.3%,,,,739,506,416,124,615,51,17542,220,12.5,475,141,29.7%,,1,0,68,171,12,7.0%,96,35,144,8.2,66,54,85,107,,,,,,,,,,,,,,,117,0,66,7,13,10,39,1,9,2,106,1123166,80,"$55,347.92",139,40,"$2,775.65",204,13553,15,1522,4,48,13,6,17542,0,28,2,0,1,31,229,191,0,35,226,,,
102,HARTLEY,001,280,828,12,11,7,5,0,0,0,1297,6,851,415,5,20,14,11,0,11,3,27.3%,8,0,0,8,72.7%,,,,20,15,15,1,19,1,1297,3,2.3,11,3,27.3%,,,,2,3,0,0.0%,0,0,4,3.1,1,0,4,1,,,,,,,,,,,,,,,4,0,1,0,0,3,0,0,0,0,1,2190,0,$0.00,4,1,$84.00,3,984,1,150,1,12,2,2,1297,0,1,0,0,0,1,5,2,0,0,2,,,
103,HASKELL,002,657,1325,50,48,39,33,0,0,0,1205,35,649,484,7,30,64,57,2,33,15,45.5%,16,2,0,18,54.5%,,,,53,28,25,17,36,0,1205,24,19.9,33,15,45.5%,,,,5,13,0,0.0%,24,9,14,11.6,0,6,8,14,,,,,,,,,,,,,,,10,0,0,0,4,3,4,0,0,0,10,205863,4,$900.00,14,3,$81.00,15,936,2,95,0,0,1,0,1205,0,1,0,0,0,1,3,8,0,0,8,,,
104,HAYS,007,11286,18666,328,299,193,113,24,22,1,47624,1258,21914,22779,125,1548,1331,1054,12,938,227,24.2%,606,95,10,711,75.8%,,,,1527,1102,915,218,1309,101,47624,378,7.9,938,227,24.2%,,1,0,85,227,10,4.4%,104,22,214,4.5,106,115,99,128,,,,,,,,,,,,,,,194,0,110,0,41,20,49,0,4,11,128,1648561,71,"$55,450.09",214,10,"$1,793.18",288,36550,81,6135,12,144,38,26,47624,3,80,1,0,3,87,520,290,0,51,341,,,
105,HEMPHILL,001,244,584,13,11,8,4,0,0,0,1144,0,641,490,5,8,33,28,0,15,6,40.0%,8,1,0,9,60.0%,,,,20,12,11,6,14,1,1144,8,7.0,15,6,40.0%,,,,4,9,2,22.2%,1,0,11,9.6,3,4,7,11,,,,,,,,,,,,,,,4,0,3,0,1,0,0,0,1,0,11,125204,5,"$1,770.51",11,1,$84.00,9,894,1,98,0,0,2,0,1144,0,1,0,0,0,1,4,2,0,0,2,,,
106,HENDERSON,004,8263,16972,589,450,355,315,11,10,2,18376,1212,12532,3890,87,655,1015,890,8,678,215,31.7%,379,69,15,463,68.3%,,,,1140,750,608,266,874,92,18376,342,18.6,678,215,31.7%,,2,0,120,309,22,7.1%,429,103,291,15.8,125,112,175,222,,,,,,,,,,,,,,,245,0,131,21,29,26,67,0,10,1,218,2719187,110,"$95,564.34",287,104,"$11,012.50",392,14051,16,1677,2,24,11,1,18376,1,30,0,0,0,31,86,223,0,0,223,,,
107,HIDALGO,011,64076,87153,2610,2408,1391,1092,28,27,4,284166,713,9304,271131,150,2868,8287,7201,86,5999,1191,19.9%,4230,533,45,4808,80.1%,,,,10380,7982,6856,2375,8005,196,284166,2144,7.5,5999,1191,19.9%,,,,1676,5443,184,3.4%,2744,549,1048,3.7,369,393,607,789,,,,,,,,,,,,,,,924,0,550,101,22,10,426,0,8,5,794,9080121,610,"$479,420.40",1000,687,"$125,245.43",5624,219729,416,30252,86,1025,42,88,284166,9,140,0,0,0,149,601,592,1866,276,2734,,,
108,HILL,007,3337,7392,204,184,123,89,0,0,0,8734,550,5167,2772,29,216,370,307,4,278,85,30.6%,174,17,2,193,69.4%,,,,446,299,267,101,345,49,8734,133,15.2,278,85,30.6%,,,,33,81,3,3.7%,55,14,105,12.0,55,65,43,55,,,,,,,,,,,,,,,85,0,48,7,17,7,18,0,1,3,60,768360,20,"$35,089.35",108,4,"$1,419.36",98,6710,11,576,2,24,6,3,8734,0,6,1,0,0,7,79,22,0,11,33,,,
109,HOCKLEY,001,1510,3284,173,148,117,121,6,4,0,6387,233,2279,3763,22,90,273,248,3,189,64,33.9%,110,11,4,125,66.1%,,,,315,196,170,84,231,12,6387,113,17.7,189,64,33.9%,,,,51,153,3,2.0%,101,19,90,14.1,24,35,49,51,,,,,,,,,,,,,,,72,0,24,1,9,12,28,0,5,1,51,740290,36,"$25,165.22",84,5,$283.85,212,5010,10,488,6,72,7,1,6387,0,21,0,0,2,23,126,40,0,0,40,,,
110,HOOD,003,3667,13220,210,204,162,152,2,3,1,11219,46,8618,2222,61,272,725,653,6,469,151,32.2%,268,46,4,318,67.8%,,,,732,475,391,188,544,30,11219,251,22.4,469,151,32.2%,,,,116,289,25,8.7%,190,67,129,11.5,51,48,79,101,,,,,,,,,,,,,,,111,0,51,6,25,14,27,0,2,1,106,1279416,178,"$85,608.48",127,14,"$2,714.53",292,8532,17,1275,6,72,8,8,11219,1,13,0,0,0,14,34,33,0,0,33,,,
111,HOPKINS,004,3129,6207,168,122,97,83,7,5,1,9229,597,5743,2433,49,407,382,348,7,271,56,20.7%,191,22,2,215,79.3%,,,,435,331,294,75,360,48,9229,93,10.1,271,56,20.7%,,,,28,69,2,2.9%,90,25,90,9.8,49,45,35,39,,,,,,,,,,,,,,,80,0,51,0,8,5,30,0,0,1,39,522058,42,"$27,806.59",80,29,"$2,724.55",81,7191,12,1188,3,36,10,3,9229,1,13,0,0,0,14,24,94,0,0,94,,,
112,HOUSTON,005,2964,5076,213,161,146,138,0,0,0,4811,1263,2515,812,20,201,239,199,2,151,50,33.1%,88,12,1,101,66.9%,,,,238,154,137,39,199,16,4811,78,16.2,151,50,33.1%,,,,23,49,1,2.0%,12,4,64,13.3,17,27,35,51,,,,,,,,,,,,,,,46,0,17,3,5,6,18,0,1,0,50,735464,19,"$16,892.80",62,11,"$2,003.58",66,3755,2,267,1,12,4,5,4811,0,4,0,0,0,4,14,8,0,0,8,,,
113,HOWARD,009,4527,5036,258,189,124,87,337,306,32,8012,361,3309,4089,44,209,392,329,4,322,105,32.6%,179,13,25,217,67.4%,,,,533,341,276,127,406,39,8012,174,21.7,322,105,32.6%,,,,62,178,10,5.6%,177,30,172,21.5,48,100,68,110,,,,,,,,,,,,,,,139,0,49,6,35,7,51,0,0,0,109,1564856,79,"$64,012.84",168,46,"$8,327.59",185,6345,10,999,1,12,5,2,8012,0,7,0,0,0,7,13,15,0,21,36,,,
114,HUDSPETH,010,457,611,19,13,11,4,0,0,0,953,5,82,855,1,10,27,25,0,17,8,47.1%,9,0,0,9,52.9%,,,,29,14,14,4,25,3,953,14,14.7,17,8,47.1%,,,,4,12,0,0.0%,4,0,1,1.0,3,1,0,0,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,3,1894,1,$315.00,1,1,$95.00,11,709,1,48,0,0,2,0,953,0,0,0,0,0,0,0,2,0,0,2,,,
115,HUNT,003,8223,14508,637,535,420,324,20,20,3,22830,2129,13881,5687,168,965,1126,1015,12,727,203,27.9%,402,100,22,524,72.1%,,,,1194,812,609,289,905,133,22830,349,15.3,727,203,27.9%,,,,120,306,7,2.3%,192,34,263,11.5,142,125,132,190,,,,,,,,,,,,,,,247,0,142,0,32,44,63,0,8,1,187,1527925,403,"$264,193.17",257,13,"$3,036.16",347,17313,23,2425,4,48,22,12,22830,1,34,1,0,1,37,168,155,0,85,240,,,
116,HUTCHINSON,001,1569,3464,117,114,88,57,0,2,0,5750,112,3590,1806,58,184,315,282,2,195,53,27.2%,129,9,4,142,72.8%,,,,331,229,208,67,264,18,5750,99,17.2,195,53,27.2%,,,,43,123,18,14.6%,45,9,55,9.6,31,16,39,44,,,,,,,,,,,,,,,43,0,33,0,1,1,16,0,2,0,38,466946,27,"$3,516.53",55,28,"$3,741.96",115,4466,4,238,3,36,7,1,5750,0,9,0,0,0,9,36,32,0,0,32,,,
117,IRION,009,62,365,5,3,3,2,0,0,0,310,1,196,106,2,5,10,8,0,10,2,20.0%,8,0,0,8,80.0%,,,,16,14,14,0,16,0,310,2,6.5,10,2,20.0%,,,,1,2,0,0.0%,5,0,1,3.2,0,0,1,1,,,,,,,,,,,,,,,1,0,0,0,0,0,1,0,0,0,1,554,0,$0.00,1,0,$0.00,2,216,1,20,0,0,0,1,310,0,0,0,0,0,0,0,3,0,0,3,,,
118,JACK,002,1046,1528,88,76,65,53,0,0,0,1959,23,1456,453,0,27,85,66,0,65,20,30.8%,40,4,1,45,69.2%,,,,108,67,60,37,71,11,1959,41,20.9,65,20,30.8%,,,,22,59,5,8.5%,34,11,26,13.3,15,18,9,14,,,,,,,,,,,,,,,21,0,15,0,0,0,7,0,1,1,14,197698,3,"$7,777.00",27,4,$327.23,69,1446,3,133,0,0,2,2,1959,0,3,0,0,0,3,7,0,0,4,4,,,
119,JACKSON,008,1000,2459,48,39,19,13,0,0,0,3562,262,1736,1510,6,48,134,90,0,93,33,35.5%,52,8,0,60,64.5%,,,,167,100,91,50,117,8,3562,62,17.4,93,33,35.5%,,,,19,44,0,0.0%,36,10,18,5.1,8,15,3,10,,,,,,,,,,,,,,,18,0,8,3,1,1,5,0,4,1,10,56791,5,"$6,369.10",18,3,$924.98,47,2763,5,277,7,84,11,1,3562,0,10,0,0,0,10,35,54,0,0,54,,,
120,JASPER,005,3489,6634,223,195,147,127,1,2,1,8806,1641,5965,811,52,337,401,327,6,308,59,19.2%,197,50,2,249,80.8%,,,,510,411,326,51,459,10,8806,79,9.0,308,59,19.2%,,1,0,41,99,4,4.0%,57,7,48,5.5,19,20,29,39,,,,,,,,,,,,,,,38,0,19,3,4,3,12,1,8,1,39,501804,40,"$15,564.16",49,35,"$4,542.09",98,6907,9,868,2,24,3,3,8806,0,18,0,0,0,18,73,22,0,0,22,,,
121,JEFF DAVIS,010,326,709,13,9,6,1,0,0,0,367,1,157,204,0,5,9,9,0,10,1,10.0%,7,1,1,9,90.0%,,,,19,18,16,1,18,0,367,1,2.7,10,1,10.0%,,,,2,10,0,0.0%,4,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,10,276,0,0,0,0,3,1,367,0,0,0,0,1,1,84,0,0,0,0,,,
122,JEFFERSON,005,20847,33635,1623,1175,806,656,112,97,21,61551,22241,18650,16684,138,3838,2533,2320,25,1974,405,20.5%,1351,159,59,1569,79.5%,,,,3139,2428,2090,332,2807,159,61551,639,10.4,1974,405,20.5%,,4,0,147,410,38,9.3%,352,76,383,6.2,181,125,248,325,,,,,,,,,,,,,,,335,0,184,10,61,43,108,8,38,6,322,2623584,519,"$605,884.33",373,68,"$11,813.91",484,48129,78,7998,7,84,27,24,61551,6,95,4,0,0,105,430,344,0,0,344,,,
123,JIM HOGG,011,538,960,22,21,10,7,0,0,0,1548,4,57,1474,10,3,83,77,0,63,16,25.4%,45,1,1,47,74.6%,,,,115,77,70,26,89,0,1548,34,22.0,63,16,25.4%,,,,13,48,0,0.0%,75,17,11,7.1,0,8,1,3,,,,,,,,,,,,,,,5,0,0,0,0,0,5,0,0,0,3,22613,7,"$2,141.06",9,9,$810.70,48,1207,3,193,0,0,2,2,1548,0,0,0,0,0,0,0,1,0,0,1,,,
124,JIM WELLS,011,4684,6063,205,180,125,85,1,1,0,12095,44,1629,10330,23,69,569,467,7,350,56,16.0%,273,18,3,294,84.0%,,,,587,503,466,95,492,25,12095,77,6.4,350,56,16.0%,,,,68,182,8,4.4%,410,101,91,7.5,32,50,39,53,,,,,,,,,,,,,,,70,0,34,3,7,4,26,0,1,3,52,608435,52,"$37,882.53",89,33,"$9,001.16",190,9408,23,880,2,24,6,2,12095,0,8,0,0,0,8,23,146,0,0,146,,,
125,JOHNSON,003,10453,21915,565,425,301,254,56,54,11,43533,1140,28195,12468,186,1544,1925,1695,17,1238,359,29.0%,706,160,13,879,71.0%,,,,2047,1382,1097,537,1510,128,43533,597,13.7,1238,359,29.0%,,1,0,319,820,39,4.8%,418,118,413,9.5,153,149,251,325,,,,,,,,,,,,,,,347,0,157,9,66,66,84,0,5,4,321,3506384,472,"$379,553.91",400,68,"$9,402.49",891,33061,34,4198,4,48,28,12,43533,0,71,0,0,0,71,209,103,0,2,105,,,
126,JONES,002,2361,3155,180,133,97,73,1,2,0,3758,156,2236,1247,7,112,253,220,0,151,43,28.5%,81,26,1,108,71.5%,,,,248,170,114,58,190,0,3758,71,18.9,151,43,28.5%,,,,42,91,0,0.0%,40,15,17,4.5,0,12,5,8,,,,,,,,,,,,,,,4,0,0,1,2,1,0,0,0,1,8,133543,7,"$4,741.22",17,7,$189.00,96,2812,2,68,2,24,5,4,3758,0,8,0,0,0,8,15,64,0,0,64,,,
127,KARNES,008,2020,2317,40,34,23,16,0,0,0,2924,53,926,1902,14,29,170,124,0,110,24,21.8%,75,10,1,86,78.2%,,,,187,144,128,22,165,8,2924,43,14.7,110,24,21.8%,,,,11,38,12,31.6%,47,12,56,19.2,16,29,22,30,,,,,,,,,,,,,,,37,0,16,0,9,3,9,0,0,1,30,430593,12,"$6,988.20",51,4,$710.91,60,2232,4,126,1,12,2,2,2924,0,2,0,0,0,2,4,4,0,0,4,,,
128,KAUFMAN,003,8429,13836,386,343,276,216,220,212,6,33128,3301,19491,9024,159,1153,1037,886,10,664,197,29.7%,346,110,11,467,70.3%,,,,1035,692,525,197,838,65,33128,305,9.2,664,197,29.7%,,,,100,289,10,3.5%,138,13,147,4.4,71,80,66,90,,,,,,,,,,,,,,,123,0,72,1,24,11,43,0,2,1,92,1250379,245,"$105,684.49",146,16,"$6,651.28",321,24776,34,4377,6,72,41,20,33128,0,62,1,0,0,63,235,83,0,0,83,,,
129,KENDALL,008,2098,7208,96,64,39,28,0,0,0,8456,33,5537,2673,20,193,225,159,2,162,41,25.3%,114,6,1,121,74.7%,,,,254,181,169,36,218,17,8456,70,8.3,162,41,25.3%,,1,0,18,42,3,7.1%,34,6,39,4.6,17,23,14,27,,,,,,,,,,,,,,,34,0,16,0,5,8,7,0,0,0,27,314992,21,"$34,650.10",37,14,"$2,141.15",42,5987,11,1053,2,24,6,2,8456,1,26,1,0,1,29,159,83,0,1,84,,,
130,KENEDY,011,0,83,0,0,0,0,0,0,0,99,0,16,79,3,1,1,1,0,0,0,0.0%,0,0,0,0,0.0%,,,,0,0,0,0,0,0,99,0,0.0,0,0,0.0%,,,,0,0,0,0.0%,2,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,72,0,0,0,0,0,0,99,0,0,0,0,0,0,0,2,0,0,2,,,
131,KENT,002,54,235,8,3,3,1,0,0,0,162,1,112,47,0,2,8,8,0,7,2,28.6%,5,0,0,5,71.4%,,,,15,9,9,1,14,0,162,6,37.0,7,2,28.6%,,,,3,8,0,0.0%,2,0,4,24.7,0,0,4,4,,,,,,,,,,,,,,,4,0,0,0,4,0,0,0,0,0,4,68925,4,"$8,250.00",4,0,$0.00,8,119,1,12,0,0,1,0,162,0,1,0,0,0,1,12,2,0,0,2,,,
132,KERR,008,3968,13941,349,264,151,108,56,52,2,10314,146,5440,4430,15,283,638,515,8,448,118,26.3%,298,32,0,330,73.7%,,,,720,516,460,162,558,37,10314,192,18.6,448,118,26.3%,,,,97,249,15,6.0%,222,60,156,15.1,56,76,73,118,,,,,,,,,,,,,,,120,0,55,1,26,20,30,0,3,1,117,1568841,93,"$183,653.37",149,36,"$4,775.89",304,7943,17,1389,1,12,14,4,10314,4,25,3,0,1,33,284,119,0,7,126,,,
