,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other **,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Other**,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2009,Subsequently Confirmed Victims in Fiscal Years 2009 - 2014,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relavive,Long Term Care - Emancipaion,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-Home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving  In-Home Services,Child PopulationAges 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**,CBFS***
20,BRAZOS,007,10939,16859,375,329,232,171,36,40,3,47729,6527,20051,17852,104,3195,1357,1181,13,976,195,20.0%,686,90,5,781,80.0%,,,,1605,1257,1105,128,1477,41,47729,308,6.5,976,195,20.0%,,,,75,230,0,0.0%,269,75,161,3.4,42,71,94,139,,,,,,,,,,,,,,,114,0,42,2,31,31,21,1,12,4,140,1935595,110,"$135,700.54",165,21,"$4,543.48",256,39389,73,7308,13,153,39,30,47729,3,51,1,0,1,56,187,220,0,1,221,,,
21,BREWSTER,010,881,1867,97,62,46,17,0,0,0,1947,11,770,1095,4,67,63,57,1,50,8,16.0%,39,2,1,42,84.0%,,,,77,66,62,10,67,0,1947,11,5.6,50,8,16.0%,,,,8,23,3,13.0%,14,0,5,2.6,3,3,3,3,,,,,,,,,,,,,,,4,0,3,0,0,0,1,0,1,0,2,58713,1,"$3,320.00",6,2,$564.40,23,1498,3,230,1,12,9,0,1947,0,1,0,0,0,1,3,9,0,0,9,,,
22,BRISCOE,001,88,435,3,3,1,2,0,0,0,333,8,175,143,0,7,20,16,0,10,3,30.0%,5,2,0,7,70.0%,,,,19,12,7,7,12,2,333,7,21.0,10,3,30.0%,,,,3,6,0,0.0%,3,0,3,9.0,2,0,3,3,,,,,,,,,,,,,,,2,0,2,0,0,0,0,0,1,0,3,64019,2,$168.00,3,0,$0.00,6,253,0,0,0,0,1,0,333,0,2,0,0,0,2,4,0,0,0,0,,,
23,BROOKS,011,1217,1379,66,63,35,33,0,0,0,1996,4,118,1865,1,8,128,107,0,94,25,26.6%,61,8,0,69,73.4%,,,,165,113,99,50,115,3,1996,43,21.5,94,25,26.6%,,,,31,75,1,1.3%,120,36,26,13.0,5,4,20,22,,,,,,,,,,,,,,,23,0,5,6,1,1,11,0,0,0,21,268031,9,"$13,095.10",24,13,"$1,855.14",84,1579,5,283,0,0,1,0,1996,0,0,0,0,0,0,0,7,0,0,7,,,
24,BROWN,002,2528,7620,407,316,242,164,30,30,9,9154,312,5512,2968,42,320,431,351,6,338,99,29.3%,217,21,1,239,70.7%,,,,543,373,333,166,377,50,9154,162,17.7,338,99,29.3%,,,,73,175,1,0.6%,223,56,124,13.5,51,52,63,90,,,,,,,,,,,,,,,106,0,52,14,13,16,24,0,0,2,94,1209685,198,"$157,585.21",115,14,"$3,162.57",202,7024,12,919,2,24,7,8,9154,6,53,1,0,0,60,261,27,0,20,47,,,
25,BURLESON,007,1817,3443,74,67,47,24,2,1,0,4140,509,2268,1267,9,87,239,208,0,167,40,24.0%,117,9,1,127,76.0%,,,,271,190,175,42,229,30,4140,70,16.9,167,40,24.0%,,,,7,19,0,0.0%,29,4,61,14.7,30,36,24,38,,,,,,,,,,,,,,,48,0,30,1,3,6,10,0,1,0,38,359878,14,"$6,730.20",60,0,$0.00,46,3162,6,397,2,24,6,1,4140,0,2,0,0,0,2,6,99,0,0,99,,,
26,BURNET,007,4504,9724,136,118,73,64,1,1,1,10299,191,6066,3760,29,253,584,512,7,409,113,27.6%,275,20,1,296,72.4%,,,,663,472,426,107,556,60,10299,172,16.7,409,113,27.6%,,,,41,98,10,10.2%,78,21,160,15.5,67,85,68,89,,,,,,,,,,,,,,,149,0,72,5,20,20,66,0,7,3,90,1054312,51,"$38,413.59",153,17,"$2,530.69",143,7720,18,1444,1,12,5,1,10299,0,21,0,0,0,21,52,9,0,13,22,,,
27,CALDWELL,007,4064,5592,191,144,91,61,15,9,1,10317,509,2996,6562,21,229,538,412,5,335,83,24.8%,216,28,8,252,75.2%,,,,529,394,328,79,450,33,10317,122,11.8,335,83,24.8%,,,,31,83,9,10.8%,95,10,119,11.5,41,82,39,62,,,,,,,,,,,,,,,97,0,38,4,18,11,29,0,0,3,59,851631,53,"$74,285.99",121,7,"$1,076.42",110,7818,15,830,0,0,8,0,10317,0,26,0,0,1,27,292,122,2,4,128,,,
28,CALHOUN,008,2371,3757,94,71,45,20,1,1,0,5879,106,1643,3822,6,302,224,188,3,168,72,42.9%,86,8,2,96,57.1%,,,,276,147,135,80,196,17,5879,128,21.8,168,72,42.9%,,,,39,100,11,11.0%,59,6,51,8.7,33,20,31,35,,,,,,,,,,,,,,,38,0,33,0,0,0,12,0,0,0,35,513785,5,"$7,255.80",51,1,$27.00,113,4463,8,564,2,24,0,1,5879,0,3,0,0,0,3,13,93,0,0,93,,,
29,CALLAHAN,002,1169,2820,106,85,60,41,0,0,0,3306,38,2725,429,22,92,135,112,0,115,29,25.2%,74,9,3,86,74.8%,,,,186,135,116,26,160,3,3306,46,13.9,115,29,25.2%,,1,0,12,34,0,0.0%,64,27,12,3.6,3,4,10,11,,,,,,,,,,,,,,,9,0,5,2,2,1,0,0,0,0,10,212797,5,"$7,600.00",14,4,$252.00,38,2473,3,131,1,12,6,2,3306,0,13,0,0,0,13,35,0,0,0,0,,,
