,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
118,JACK,702,1424,82,66,53,49,0,0,0,105,91,0,105,72,68,33,72,1,1958,33,16.9,64,16,25.0%,23,11,,,5,2.6,1,5,7,1,0,1,0,0,0,0,6,159616,0,2,0,2,"$1,300.00",5,1,$36.48,48,1958,19,1675,240,17,7,1532,0,0,3,36,1,3,1958,0,2,0,0,0,0,2,5,26,0,0,0,26,,,
119,JACKSON,1160,2382,40,31,15,11,0,0,0,148,124,1,145,116,87,22,123,2,3745,25,6.7,81,16,19.8%,18,5,,,24,6.4,7,25,16,19,0,7,2,9,1,7,15,133312,1,7,0,4,$662.50,25,1,$22.50,38,3745,300,2063,1344,4,34,2971,6,306,5,60,11,2,3745,0,11,0,0,0,0,11,46,76,0,0,0,76,,,
120,JASPER,2843,6221,262,210,157,226,4,2,0,420,363,2,491,418,356,63,428,12,9023,61,6.8,297,40,13.5%,59,9,,,51,5.7,17,47,37,38,0,18,4,8,1,14,37,338460,2,4,2,24,"$21,309.67",47,10,"$3,790.72",99,9023,2039,6323,583,11,67,7022,6,658,2,24,8,5,9023,0,13,0,0,0,0,13,34,48,0,0,0,48,,,
121,JEFF DAVIS,228,593,6,6,6,3,0,0,0,11,11,0,11,7,7,3,8,0,385,4,10.4,6,3,50.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,$0.00,0,0,$0.00,6,385,6,212,166,0,1,287,0,0,0,0,2,1,385,0,2,0,0,1,0,3,87,0,0,0,0,0,0,0,0
122,JEFFERSON,20680,31060,1518,1215,881,808,63,47,12,2447,2142,21,3228,2468,2129,368,2860,63,63079,661,10.5,1932,437,22.6%,336,68,1,0,256,4.1,71,252,204,186,0,73,8,35,37,49,198,2048102,9,37,17,302,"$301,398.52",252,45,"$22,805.00",564,63079,24482,21735,13834,109,2919,48722,84,8310,6,72,16,30,63079,5,117,4,0,1,0,127,553,341,0,0,0,341,,,
123,JIM HOGG,452,856,57,49,30,42,0,0,0,94,88,0,169,118,110,57,112,1,1509,48,31.8,83,24,28.9%,30,9,,,16,10.6,3,16,8,11,0,3,0,0,0,8,8,48808,0,0,0,0,$0.00,16,4,"$1,710.08",115,1509,3,119,1384,1,2,1162,3,180,0,0,6,2,1509,0,0,0,0,0,0,0,0,8,0,0,0,8,,,
124,JIM WELLS,3346,5301,216,163,85,76,1,1,0,624,570,7,969,638,564,313,656,37,12305,293,23.8,517,154,29.8%,235,57,,,141,11.5,41,125,74,115,0,41,13,3,10,54,75,567136,0,0,0,36,"$39,987.86",125,42,"$9,570.44",503,12305,52,2010,10176,4,63,9616,23,983,1,12,8,1,12305,0,11,0,0,0,0,11,53,212,0,0,0,212,,,
125,JOHNSON,13120,17923,380,280,189,229,34,53,15,1930,1651,11,2008,1282,918,408,1600,64,43440,659,15.2,1176,377,32.1%,214,39,1,0,293,6.7,110,294,237,225,0,110,5,26,26,66,229,2902685,1,11,10,151,"$80,232.30",294,20,"$9,157.69",787,43440,1288,30594,10759,172,627,32578,41,4818,4,48,31,14,43440,0,82,0,0,0,0,82,270,40,0,2,3,45,,,
126,JONES,1663,2907,161,142,104,80,0,0,0,199,156,0,206,132,103,81,125,2,4545,63,13.9,117,33,28.2%,32,8,,,17,3.7,5,18,17,8,0,6,0,0,0,2,17,257119,0,3,1,13,"$3,905.62",18,7,"$1,592.72",102,4545,282,2784,1425,5,49,3281,5,173,2,24,13,2,4545,0,9,0,0,0,0,9,24,66,0,0,0,66,,,
127,KARNES,1346,2015,53,60,42,31,0,0,0,189,144,0,207,162,155,36,171,1,3280,39,11.9,109,22,20.2%,23,1,,,18,5.5,1,18,17,7,0,4,0,0,1,5,19,343081,0,0,0,5,"$1,230.00",18,2,$316.28,57,3280,51,1023,2191,0,15,2568,5,163,1,12,4,1,3280,0,0,0,0,0,0,0,0,13,0,0,0,13,,,
128,KAUFMAN,8608,11516,335,245,217,245,318,310,14,1039,920,8,1094,867,642,148,946,38,26189,194,7.4,654,123,18.8%,68,15,,,144,5.5,51,149,78,131,0,51,3,20,38,39,76,938645,1,9,3,93,"$70,211.54",149,13,"$3,339.86",220,26189,2967,16433,6569,34,186,19363,39,4463,5,60,32,22,26189,0,52,1,0,0,0,53,196,19,0,1,0,20,,,
129,KENDALL,2924,4960,59,48,29,42,0,0,0,178,136,1,170,128,107,40,130,4,7169,39,5.4,96,18,18.8%,7,5,,,21,2.9,4,17,12,19,0,4,0,2,8,7,12,134130,0,2,1,8,"$1,386.55",17,10,"$1,355.12",41,7169,12,5199,1923,3,32,5043,14,1186,3,36,5,7,7169,1,31,1,0,1,0,34,176,75,0,1,1,77,,,
130,KENEDY,38,79,1,1,1,3,0,0,0,8,6,0,5,1,1,3,2,2,115,4,34.8,4,3,75.0%,1,0,,,2,17.4,2,2,2,2,0,2,0,0,0,2,2,772,0,0,0,0,$0.00,2,0,$0.00,2,115,0,22,92,0,1,92,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
131,KENT,63,265,2,1,1,0,0,0,0,9,7,0,17,13,12,0,17,0,118,3,25.4,8,1,12.5%,4,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,2,118,0,111,7,0,0,84,0,0,0,0,0,0,118,0,1,0,0,0,0,1,12,6,0,0,0,6,,,
132,KERR,3509,12648,297,265,193,229,32,43,6,677,582,4,690,473,415,170,520,40,9542,189,19.8,413,118,28.6%,55,6,,,202,21.2,58,193,143,162,0,59,6,40,31,40,141,1815557,0,4,0,34,"$34,367.03",193,37,"$5,674.47",334,9542,175,5750,3557,5,55,7224,17,1285,3,36,14,10,9542,2,23,3,0,1,0,29,288,99,0,10,29,138,,,
133,KIMBLE,356,1093,52,44,44,60,0,0,0,54,48,0,71,48,48,10,61,4,992,20,20.2,43,13,30.2%,7,0,,,15,15.1,7,13,13,13,0,7,0,1,0,5,13,178361,0,0,0,0,$0.00,13,0,$0.00,29,992,0,648,335,0,9,781,2,100,1,12,1,0,992,0,1,0,0,0,0,1,4,39,0,0,0,39,,,
134,KING,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,74,0,66,8,0,0,46,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,KINNEY,241,886,31,21,17,11,0,0,0,22,19,0,20,16,15,1,19,1,787,4,5.1,13,3,23.1%,0,0,,,1,1.3,1,1,1,1,0,1,0,0,0,0,1,1659,0,0,0,0,$0.00,1,0,$0.00,1,787,0,211,575,0,1,592,2,35,0,0,0,1,787,0,1,0,0,0,0,1,3,5,0,0,3,8,,,
136,KLEBERG,2770,3796,122,97,60,84,1,1,1,410,365,5,520,359,339,147,373,28,8875,151,17.0,290,79,27.2%,120,27,,,126,14.2,49,120,87,96,0,49,6,8,14,34,84,667919,0,0,3,31,"$33,703.24",120,22,"$6,092.88",343,8875,379,1799,6551,16,130,7290,13,685,1,12,15,7,8875,0,9,0,0,0,0,9,27,275,0,49,0,324,,,
137,KNOX,309,906,44,39,29,49,0,0,0,44,38,0,42,30,19,11,31,3,987,9,9.1,25,7,28.0%,16,7,,,7,7.1,3,7,7,4,0,3,0,0,0,1,8,125530,0,0,0,1,$550.00,7,0,$0.00,31,987,103,506,376,0,2,758,3,94,0,0,0,0,987,0,0,0,0,0,0,0,0,16,0,0,0,16,,,
138,LAMAR,3905,8613,320,257,182,223,10,6,2,607,467,6,635,513,447,71,564,14,12565,105,8.4,387,69,17.8%,99,22,1,0,87,6.9,27,84,57,68,0,27,4,2,3,33,51,575470,1,3,0,46,"$26,496.15",84,25,"$6,449.14",171,12565,2310,9284,783,63,125,9774,17,1570,6,70,16,7,12565,0,11,0,0,0,0,11,36,304,0,8,0,312,,,
139,LAMB,1146,2525,132,96,88,102,0,0,0,194,175,2,280,214,201,42,238,5,4296,60,14.0,143,27,18.9%,41,14,,,63,14.7,5,67,55,34,0,6,8,13,1,9,53,812531,0,2,1,2,$675.00,67,3,$149.07,115,4296,203,1396,2678,3,16,3398,3,120,1,12,6,1,4296,0,5,0,0,0,0,5,10,32,0,0,0,32,,,
140,LAMPASAS,1894,3635,82,75,45,79,0,0,0,235,204,5,232,182,171,36,196,9,5535,44,7.9,146,30,20.5%,66,11,1,0,60,10.8,12,59,51,40,0,19,2,7,10,13,52,819369,0,2,1,13,"$7,852.27",59,5,"$1,110.46",75,5535,214,3939,1348,2,32,4263,4,235,5,60,5,9,5535,0,20,1,0,0,0,21,122,111,0,14,0,125,,,
141,LASALLE,507,898,22,16,10,10,0,1,0,113,97,0,135,101,92,31,104,0,1875,31,16.5,70,16,22.9%,0,0,,,28,14.9,1,27,13,22,0,1,0,9,6,7,13,105837,0,1,0,3,$636.25,27,0,$0.00,49,1875,14,175,1680,0,6,1521,2,99,0,0,6,0,1875,0,2,0,0,0,0,2,6,9,0,0,0,9,,,
142,LAVACA,1476,4216,73,59,34,37,0,0,0,131,107,1,135,97,85,27,108,0,4316,36,8.3,86,22,25.6%,8,1,,,7,1.6,0,7,6,5,0,0,0,3,2,0,6,89580,0,3,0,23,"$8,622.50",7,2,$438.50,38,4316,428,2841,1030,1,16,3317,12,620,10,118,12,6,4316,0,5,0,0,0,0,5,26,62,0,0,0,62,,,
143,LEE,1413,2453,60,47,33,59,1,1,0,164,140,2,248,185,143,39,209,22,4333,58,13.4,147,33,22.4%,28,4,3,0,49,11.3,19,48,28,41,0,19,0,6,1,20,29,217467,0,0,3,2,"$1,000.00",48,2,$710.85,65,4333,520,2347,1434,4,28,3301,7,480,5,60,4,0,4333,0,22,0,0,0,0,22,103,9,0,0,0,9,,,
144,LEON,1340,4152,78,58,44,40,1,0,0,161,152,1,229,152,127,41,188,3,3515,75,21.3,128,39,30.5%,25,10,,,38,10.8,3,33,23,20,0,3,2,3,1,13,22,346608,0,1,3,5,"$7,512.70",33,4,$293.76,67,3515,422,2521,555,2,15,2689,5,187,3,36,5,0,3515,0,6,0,0,0,0,6,8,25,0,0,0,25,,,
145,LIBERTY,6811,9390,345,287,216,224,4,1,0,901,748,3,964,756,686,145,819,40,21344,197,9.2,575,120,20.9%,172,31,1,0,172,8.1,49,162,96,136,0,61,5,18,5,64,97,1448138,4,9,3,97,"$38,804.84",162,9,"$3,665.48",235,21344,2362,14244,4575,24,139,15953,19,1367,1,12,12,5,21344,0,25,0,0,0,0,25,76,49,0,0,0,49,,,
146,LIMESTONE,1837,3959,123,108,64,95,721,656,53,286,241,3,326,249,235,29,297,15,5618,66,11.7,191,44,23.0%,23,3,2,0,50,8.9,20,49,34,41,0,20,1,8,7,12,34,380546,0,0,0,9,"$8,781.40",49,4,"$1,195.50",57,5618,1201,2978,1417,5,17,4359,9,743,4,48,6,6,5618,0,7,0,0,0,0,7,34,53,0,0,0,53,,,
147,LIPSCOMB,239,627,6,8,8,20,0,0,0,25,21,0,44,41,36,2,42,0,692,3,4.3,22,3,13.6%,0,0,,,0,0.0,0,0,1,0,0,0,0,0,0,0,1,14816,0,0,0,0,$0.00,0,0,$0.00,8,692,2,399,282,4,5,518,0,0,0,0,0,0,692,0,1,0,0,0,0,1,9,0,0,0,0,0,0,0,0
148,LIVE OAK,1084,2157,51,41,32,33,0,0,0,160,149,0,180,114,93,74,106,1,2381,65,27.3,106,39,36.8%,56,9,,,3,1.3,2,3,3,3,0,2,0,0,0,1,3,24066,0,0,0,1,$497.00,3,7,$967.80,132,2381,7,1122,1250,0,2,1811,4,125,1,12,1,1,2381,0,6,0,0,0,0,6,24,39,0,89,0,128,,,
149,LLANO,1411,5885,86,68,51,52,2,2,1,223,187,0,230,179,162,25,205,10,3234,51,15.8,140,34,24.3%,41,2,,,44,13.6,10,45,41,32,0,10,4,10,3,14,42,607356,0,1,0,7,"$10,445.50",45,3,$124.80,39,3234,12,2788,412,8,14,2439,7,336,1,12,4,0,3234,0,5,0,0,0,0,5,15,47,0,0,0,47,,,
150,LOVING,7,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,0,0,0.0%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,$0.00,0,0,$0.00,0,3,0,1,2,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
151,LUBBOCK,20124,28051,2277,1981,1618,2011,367,311,65,3409,2936,29,4292,2701,2297,993,3299,159,63936,1453,22.7,2299,755,32.8%,388,96,1,0,955,14.9,211,895,676,717,0,258,36,165,159,197,660,9095816,3,59,7,306,"$335,877.21",895,246,"$32,531.67",1725,63936,6349,29108,27108,114,1257,51380,123,11523,37,444,89,44,63936,8,197,5,0,1,1,212,906,335,910,152,0,1397,,,
152,LYNN,538,1126,29,27,26,42,0,0,0,60,54,0,69,50,43,11,58,0,1737,19,10.9,39,9,23.1%,6,0,,,4,2.3,0,4,4,0,0,0,0,0,0,0,7,123832,0,1,0,0,$0.00,4,0,$0.00,25,1737,55,697,974,4,7,1336,1,25,1,12,5,2,1737,0,1,0,0,0,0,1,2,14,0,0,0,14,,,
153,MADISON,1108,2162,45,38,24,20,0,0,0,119,101,2,172,87,74,34,138,13,2920,78,26.7,85,27,31.8%,10,4,,,48,16.4,29,49,40,43,0,29,0,4,3,7,40,351486,0,1,2,0,$0.00,49,2,$79.30,52,2920,562,1720,632,1,5,2292,6,215,2,24,5,2,2920,0,3,0,0,0,0,3,3,36,0,2,0,38,,,
154,MARION,926,2524,104,94,87,91,0,0,0,120,103,0,149,127,96,21,128,7,2238,19,8.5,90,14,15.6%,7,1,,,22,9.8,8,22,15,17,0,9,3,2,2,2,15,206914,0,1,1,13,"$5,326.90",22,7,$483.00,29,2238,754,1383,71,7,23,1725,1,97,2,24,4,1,2238,0,2,0,0,0,0,2,4,14,0,0,0,14,,,
155,MARTIN,373,737,9,9,3,3,0,0,0,34,32,0,38,27,27,10,28,0,1576,11,7.0,18,6,33.3%,8,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,"$1,552.63",0,1,$780.68,14,1576,29,758,788,0,1,1240,2,86,0,0,2,0,1576,0,0,0,0,0,0,0,0,3,0,1,0,4,,,
156,MASON,313,1110,13,9,9,9,0,0,0,44,39,0,53,32,30,16,37,4,744,20,26.9,37,13,35.1%,12,4,1,0,9,12.1,4,8,8,8,0,4,0,0,0,7,8,44548,0,0,0,1,$770.00,8,0,$0.00,26,744,1,516,224,1,2,578,4,105,0,0,1,0,744,0,2,0,0,0,0,2,5,10,0,0,0,10,,,
157,MATAGORDA,3132,5134,142,121,79,162,4,3,0,321,271,2,364,280,229,77,287,7,10609,73,6.9,222,44,19.8%,70,8,,,37,3.5,11,33,18,28,0,12,1,3,0,13,15,164832,2,3,3,16,"$5,415.20",33,29,"$15,762.73",178,10609,1437,3897,4859,29,387,8199,11,950,0,0,20,6,10609,0,11,0,0,0,0,11,31,135,0,15,0,150,,,
158,MAVERICK,4075,5373,113,116,67,35,1,0,0,261,222,2,298,249,242,27,271,7,18632,39,2.1,170,24,14.1%,36,2,1,0,46,2.5,5,46,31,20,0,5,0,2,0,13,31,505933,0,2,1,1,$540.00,46,1,$56.55,35,18632,13,314,17959,213,133,14312,18,1781,0,0,18,4,18632,0,5,0,0,0,0,5,9,110,0,0,0,110,,,
159,MCCULLOCH,629,1741,115,101,91,139,1,0,0,142,135,1,170,137,130,24,146,1,1980,25,12.6,107,20,18.7%,12,2,,,24,12.1,1,20,14,19,0,1,1,3,6,8,13,218382,0,1,0,6,"$13,685.00",20,0,$0.00,64,1980,29,1176,772,0,3,1553,4,179,3,36,5,1,1980,0,20,0,0,0,0,20,108,23,0,0,0,23,,,
160,MCLENNAN,17421,27397,986,862,526,862,100,89,12,2824,2556,21,3446,2772,2510,345,3101,81,57387,575,10.0,2058,376,18.3%,310,51,1,0,451,7.9,97,433,278,327,0,99,12,63,73,105,274,3961454,3,20,6,166,"$182,401.77",433,23,"$7,264.08",750,57387,10977,26177,19527,75,631,45360,97,9213,25,300,65,32,57387,4,104,2,1,1,0,112,744,193,1229,0,0,1422,,,
161,MCMULLEN,75,228,1,1,1,1,0,0,0,15,14,0,10,9,4,1,9,0,126,1,7.9,8,1,12.5%,0,0,,,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,$905.78,0,0,$0.00,3,126,4,68,54,0,0,89,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,3,0,0,0,3,,,
162,MEDINA,3763,5722,164,152,67,31,4,0,0,526,451,3,612,438,383,163,449,34,11742,146,12.4,362,92,25.4%,73,17,2,0,161,13.7,31,158,81,107,0,31,1,36,9,34,79,895631,0,5,4,15,"$3,910.01",158,26,"$3,695.63",279,11742,72,4794,6798,9,69,8670,11,805,1,12,11,13,11742,1,34,0,0,0,0,35,125,111,0,1,0,112,,,
163,MENARD,204,656,23,19,18,21,0,0,0,19,17,0,37,11,11,15,22,4,505,22,43.6,19,11,57.9%,3,0,1,0,7,13.9,4,7,7,6,0,4,0,0,0,2,7,127438,0,0,0,1,$770.00,7,0,$0.00,19,505,3,312,187,0,3,400,1,20,0,0,0,0,505,0,0,0,0,0,0,0,0,26,0,0,0,26,,,
164,MIDLAND,9928,14568,406,321,223,208,18,15,1,1303,1155,8,1653,1254,1077,221,1432,30,34237,362,10.6,993,226,22.8%,158,37,,,189,5.5,34,186,103,149,0,42,14,18,25,59,103,1658939,0,14,1,129,"$130,305.95",186,24,"$4,093.58",319,34237,2692,14746,16172,65,562,26829,59,6132,7,81,39,7,34237,3,44,1,0,0,0,48,187,142,0,0,0,142,,,
165,MILAM,2026,4591,75,82,57,75,0,0,0,327,279,2,364,259,215,49,315,8,6854,91,13.3,197,57,28.9%,31,9,,,113,16.5,24,108,51,79,0,25,2,18,20,22,49,571049,2,0,4,19,"$22,196.00",108,2,$45.50,123,6854,983,3562,2279,3,27,5252,9,548,7,84,16,1,6854,0,9,1,0,0,0,10,70,81,0,0,0,81,,,
166,MILLS,383,1170,19,16,10,6,0,0,0,44,40,0,39,32,31,2,37,0,1114,6,5.4,28,5,17.9%,24,2,,,4,3.6,0,4,4,2,0,0,0,1,1,1,4,90027,0,0,0,1,$56.55,4,1,$339.30,6,1114,18,855,240,0,1,846,0,0,2,24,3,3,1114,0,11,0,0,1,0,12,165,8,0,0,0,8,,,
167,MITCHELL,851,1577,41,32,25,25,0,0,0,114,104,0,142,106,72,40,102,0,1759,32,18.2,83,19,22.9%,17,8,,,3,1.7,1,3,1,2,0,1,0,0,0,1,1,1621,0,0,0,1,$377.15,3,1,$36.48,40,1759,103,829,821,0,6,1325,1,93,0,0,2,2,1759,0,1,0,0,0,0,1,3,18,0,0,0,18,,,
168,MONTAGUE,1479,4619,324,277,233,243,0,0,0,295,256,4,356,266,235,67,289,12,4444,81,18.2,206,52,25.2%,77,34,,,42,9.5,14,41,25,28,0,14,1,0,4,11,22,308696,0,5,0,7,"$27,385.66",41,3,$109.44,106,4444,8,3855,532,22,27,3459,7,228,3,36,1,4,4444,0,5,0,0,0,0,5,10,16,0,0,0,16,,,
169,MONTGOMERY,37971,42272,1092,860,629,677,40,34,4,3991,3190,24,4133,3008,2365,1107,3026,273,114616,1019,8.9,2424,604,24.9%,436,79,2,0,859,7.5,317,822,451,738,0,374,34,140,101,253,438,4832025,3,18,13,184,"$173,814.86",822,75,"$16,030.88",1660,114616,4775,81136,26729,211,1765,84178,151,17442,19,225,65,38,114616,7,147,3,0,0,0,157,512,822,0,15,0,837,,,
170,MOORE,1604,2337,69,61,56,79,0,0,0,264,228,4,393,280,267,85,308,1,6486,100,15.4,214,48,22.4%,59,8,,,9,1.4,3,10,7,5,0,2,0,0,2,1,7,59280,0,2,0,0,$0.00,10,3,$526.36,109,6486,21,2545,3860,8,52,4995,5,303,1,10,3,1,6486,0,3,0,0,0,0,3,7,18,0,0,0,18,,,
171,MORRIS,1057,2486,69,59,47,54,0,0,0,164,142,0,195,111,88,62,133,17,3049,78,25.6,119,44,37.0%,23,2,,,34,11.2,19,34,17,26,0,19,0,5,0,7,17,179523,0,1,0,16,"$10,920.69",34,7,"$1,195.91",74,3049,861,1955,210,6,17,2349,3,140,1,12,9,3,3049,0,3,0,0,0,0,3,13,12,0,0,0,12,,,
172,MOTLEY,104,388,17,15,15,17,0,0,0,5,5,0,9,9,9,0,9,0,260,0,0.0,5,0,0.0%,3,0,,,3,11.5,0,3,1,2,0,0,0,0,0,2,1,32020,0,0,0,0,$0.00,3,0,$0.00,3,260,6,202,50,0,2,190,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,4,0,0,0,4,,,
173,NACOGDOCHES,4890,7983,223,181,170,241,2,2,0,662,556,6,701,521,463,130,571,62,14978,164,10.9,407,98,24.1%,88,15,2,1,147,9.8,64,141,109,119,0,66,3,18,7,37,108,1021512,1,6,2,40,"$16,616.50",141,22,"$5,627.24",173,14978,3006,7893,3875,18,186,11445,16,2020,1,12,11,7,14978,0,23,0,0,1,0,24,110,137,0,30,0,167,,,
174,NAVARRO,3936,6957,236,168,125,144,23,17,6,549,497,6,552,472,381,67,485,21,13547,73,5.4,327,45,13.8%,105,33,,,161,11.9,21,158,128,106,0,22,7,29,30,27,129,2129748,0,0,3,148,"$54,182.24",158,20,"$10,059.17",136,13547,2308,6603,4491,18,127,10460,17,1389,4,48,17,17,13547,3,73,0,0,2,0,78,338,28,0,39,0,67,,,
175,NEWTON,1220,2507,98,63,53,82,1,1,1,131,110,0,138,121,94,6,132,4,3407,16,4.7,85,11,12.9%,18,4,,,18,5.3,0,17,13,7,0,0,0,1,0,6,11,165681,0,1,2,1,$565.00,17,1,$27.00,16,3407,938,2334,102,9,24,2567,3,107,0,0,0,0,3407,0,6,0,0,0,0,6,18,24,0,0,0,24,,,
176,NOLAN,1224,2584,136,112,83,55,7,5,1,288,245,4,344,253,211,100,244,4,4026,78,19.4,203,50,24.6%,95,13,,,28,7.0,2,29,21,19,0,2,3,3,2,11,21,382429,0,3,0,5,"$5,255.63",29,8,"$1,781.88",149,4026,232,2161,1620,0,13,3134,10,604,1,12,6,1,4026,0,6,0,0,0,0,6,14,37,0,0,0,37,,,
177,NUECES,26524,34500,1918,1428,1224,1634,803,760,49,5245,4991,34,6751,4917,4241,1635,5116,236,87371,1648,18.9,3930,946,24.1%,1288,260,,,775,8.9,303,721,550,582,0,319,29,61,51,188,546,5555218,5,17,13,315,"$326,754.08",721,214,"$26,338.08",3328,87371,4106,20316,61402,96,1451,69780,149,13041,37,443,112,57,87371,9,146,2,0,0,1,158,690,997,1705,106,91,2899,,,
178,OCHILTREE,759,1155,20,18,17,45,0,0,0,102,92,0,114,103,96,7,107,4,2931,10,3.4,74,9,12.2%,12,0,,,10,3.4,4,11,9,6,0,4,0,0,0,2,9,207886,0,0,0,1,"$4,000.00",11,3,$632.63,11,2931,5,1424,1478,9,15,2314,5,335,1,12,1,0,2931,0,1,0,0,0,0,1,2,9,0,4,0,13,,,
179,OLDHAM,186,372,5,4,4,3,0,0,0,28,18,0,30,28,27,2,28,2,497,2,4.0,18,2,11.1%,0,0,,,4,8.0,2,4,4,3,0,2,0,0,0,1,3,94202,0,2,0,0,$0.00,4,0,$0.00,0,497,12,419,62,1,3,375,2,95,0,0,1,0,497,0,3,1,0,0,0,4,451,3,0,0,0,3,,,
180,ORANGE,6803,12428,406,338,245,272,4,3,0,1133,1001,9,1299,967,720,119,1180,29,20806,292,14.0,813,199,24.5%,187,30,1,0,133,6.4,39,115,98,103,0,39,8,7,12,44,99,1118649,2,14,0,34,"$17,853.45",115,9,"$3,526.47",236,20806,2521,16432,1366,83,404,15563,27,2397,6,72,9,9,20806,0,28,0,0,0,0,28,121,68,0,0,0,68,,,
181,PALO PINTO,2175,4907,165,134,73,129,0,0,0,493,431,4,610,439,333,154,456,14,6965,158,22.7,348,86,24.7%,71,14,1,0,63,9.0,12,61,45,44,0,13,0,15,2,15,45,557304,0,1,0,58,"$27,670.14",61,7,$701.76,233,6965,231,4736,1922,13,63,5423,5,429,2,24,13,8,6965,0,6,0,0,0,0,6,21,44,0,0,0,44,,,
182,PANOLA,1854,3824,140,117,88,104,0,0,0,228,195,2,262,191,168,34,228,8,5361,67,12.5,156,37,23.7%,16,1,,,26,4.8,8,23,21,23,0,10,2,2,1,12,18,193766,0,1,0,9,"$5,958.53",23,7,"$2,057.75",70,5361,1265,3719,344,6,27,4165,7,664,5,60,9,1,5361,0,5,0,0,0,0,5,20,84,0,1,0,85,,,
183,PARKER,10021,13614,273,207,90,175,5,4,1,1403,1208,9,1497,1198,1002,202,1295,15,27526,252,9.2,871,156,17.9%,62,25,1,0,92,3.3,22,87,69,67,0,21,1,11,14,26,66,967512,0,4,3,49,"$63,265.74",87,9,$865.58,372,27526,303,23186,3794,71,172,19528,39,3710,0,0,12,12,27526,0,43,1,0,0,0,44,200,17,0,1,1,19,,,
184,PARMER,802,1390,18,18,17,15,0,0,0,74,57,0,66,43,38,12,54,12,3044,22,7.2,36,9,25.0%,13,5,,,33,10.8,5,34,29,18,0,5,0,2,5,6,28,405273,1,1,1,2,"$4,300.00",34,0,$0.00,22,3044,16,1067,1955,0,6,2336,1,38,0,0,2,1,3044,0,6,0,0,0,0,6,13,15,0,0,0,15,,,
185,PECOS,1426,2075,81,65,54,60,0,0,0,150,123,3,198,129,107,53,145,12,4375,62,14.2,109,35,32.1%,14,1,,,45,10.3,13,45,32,26,0,13,0,1,3,11,32,382235,0,0,0,11,"$8,046.48",45,2,$920.21,80,4375,40,1098,3223,0,14,3393,4,319,2,24,4,2,4375,0,0,0,0,0,0,0,0,37,0,0,0,37,,,
