,County,Population With a Disability Ages 18-64,Population Ages 65+,Total APS Intakes,Total APS Completed Investigations,Validated APS Investigations,APS Clients Receiving Services,Intakes,Completed Investigation,Confirmed Investigations,Initial Intakes Alleging Abuse/Neglect,Child Abuse/ Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location*,Alleged Victims  of Child Abuse/  Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investi-gations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Total Children Served in Fiscal Year 2004,Subsequently Confirmed Victims in Fiscal Years 2004 - 2009,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Children in DFPS Legal Responsibility,Point of Prevalence**,Children Entering Subsitute- Care (Total Removals),Children in Substitute Care***,Children in Foster Care*,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized,DFPS Responsibility Terminated***,Paid Foster  Care Clients,Paid Foster  Expenditures*,Foster Homes,Foster/ Adoptive Homes*,Adoptive Homes**,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For InHome Purchased Services,Children Receiving In-home Services,Total,African American,Anglo,Hispanic,Native American,Other,Child Population Ages 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Pop- ulation Age 0-17,Child Placing Agen-cies (CPA)**,Homes Verified by CPAs,General Resi-dential Opera-tions,Inde-pent Foster and Group Homes,Resi- dential Treat-ment Centers,Mater-nity Homes,Total Resi-dential,Total Resi- dential Capacity,STAR,CYD,SYSN,YRP,TOTAL,CBCAP,FSP,TFTS
20,BRAZOS,13183,11816,345,279,193,189,28,25,5,1338,1191,10,1676,1222,921,196,1480,55,36515,398,10.9,971,237,24.4%,216,36,2,0,241,6.6,66,234,136,190,0,68,16,36,53,52,134,1708635,2,3,11,62,"$75,001.11",234,14,"$4,286.27",416,36515,5706,17334,11515,75,1885,29027,66,6270,13,153,46,36,36515,2,52,1,0,1,0,56,201,413,0,53,0,466,,,
21,BREWSTER,800,1521,80,46,40,62,0,0,0,84,74,0,88,65,48,19,69,0,1990,21,10.6,57,10,17.5%,21,12,,,10,5.0,0,10,7,5,0,0,0,0,3,2,7,144422,0,0,1,1,$300.00,10,4,$630.89,31,1990,19,691,1250,9,21,1571,6,403,1,12,8,0,1990,0,1,0,0,0,0,1,0,14,0,0,0,14,,,
22,BRISCOE,138,420,6,4,1,2,0,0,0,10,7,0,20,15,15,5,15,5,421,5,11.9,8,1,12.5%,0,0,,,6,14.3,5,6,1,6,0,5,0,0,0,1,1,12087,0,0,0,1,$54.00,6,0,$0.00,3,421,4,263,152,0,2,325,0,0,0,0,1,0,421,0,0,0,0,0,0,0,0,1,0,0,0,1,,,
23,BROOKS,679,1282,73,60,37,28,0,0,0,146,135,0,195,117,108,74,121,7,2528,75,29.7,103,32,31.1%,61,17,,,42,16.6,7,41,34,24,0,6,1,3,0,14,33,609318,0,0,0,21,"$9,240.14",41,9,"$1,452.20",135,2528,1,125,2400,0,2,1996,7,283,1,12,0,0,2528,0,0,0,0,0,0,0,0,21,0,0,0,21,,,
24,BROWN,2968,7167,298,278,202,132,11,8,2,625,553,4,825,549,496,229,596,60,9391,245,26.1,477,143,30.0%,94,38,,,175,18.6,52,174,117,146,0,52,1,31,46,28,118,1567867,0,10,0,163,"$136,751.73",174,15,"$2,622.36",259,9391,384,6297,2648,9,53,7323,17,1165,1,12,8,10,9391,7,77,1,0,0,0,85,384,108,0,57,0,165,,,
25,BURLESON,1480,3197,59,57,45,66,0,0,0,173,153,2,207,145,120,31,176,10,4548,59,13.0,129,34,26.4%,25,7,1,0,42,9.2,10,43,15,30,0,10,0,3,8,11,15,215898,0,2,2,1,$22.75,43,1,$22.75,41,4548,915,2434,1174,2,23,3562,5,283,1,12,9,2,4548,0,5,0,0,0,0,5,9,37,0,0,0,37,,,
26,BURNET,3489,8396,158,104,71,70,1,0,0,468,408,5,504,362,329,83,421,25,9260,136,14.7,305,82,26.9%,100,22,1,0,113,12.2,32,114,72,94,0,32,10,14,34,20,65,899842,1,1,0,44,"$12,929.60",114,6,"$3,576.63",130,9260,123,6349,2723,10,55,7081,22,1610,3,36,5,2,9260,0,18,0,0,0,0,18,72,100,0,74,0,174,,,
27,CALDWELL,3219,4473,124,101,63,35,0,0,0,592,462,2,626,472,420,94,532,37,10356,144,13.9,395,88,22.3%,61,14,2,0,150,14.5,34,147,94,118,0,37,2,27,31,36,93,1453678,1,1,5,21,"$20,390.85",147,6,"$2,139.98",143,10356,1053,3782,5439,3,79,8049,16,846,1,12,11,1,10356,0,38,0,0,1,0,39,308,128,0,6,0,134,,,
28,CALHOUN,1706,3161,52,42,22,30,0,0,0,238,192,2,256,207,164,52,204,0,5937,43,7.2,153,28,18.3%,21,7,,,19,3.2,0,19,11,10,0,0,0,1,6,3,11,286942,0,7,1,7,"$2,082.98",19,6,"$1,457.20",82,5937,121,2281,3363,4,168,4604,13,911,1,12,3,1,5937,0,14,0,0,0,0,14,46,113,0,0,0,113,,,
29,CALLAHAN,1070,2592,120,105,79,75,0,0,0,156,138,0,162,116,98,44,118,3,3101,37,11.9,86,22,25.6%,42,8,,,21,6.8,8,18,15,13,0,8,2,1,0,6,15,179309,0,2,1,7,"$7,053.35",18,2,$195.18,72,3101,17,2774,288,5,17,2320,4,125,1,12,8,2,3101,0,9,0,0,0,0,9,39,12,0,1,0,13,,,
