,County,Region,Population Age 18-64 With a Disablilty,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages*,Intakes,Completed Investigations,Confirmed Investigations,Total,Hispanic,Anglo,African American,Asian,Other*,Native American,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Totals,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investigations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in Foster Care at Time*,Families,Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2010,Subsequently Confirmed Victims in Fiscal Years 2010 - 2015,Child Population,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Substitute Care,Children in Substitute Care - Relative*,Children in Substitute Care - Non Relative**,Children in Foster Care***,Other *,Other**,Family Reunification,Custody Given to Relative Non-PCA,Custody Given to Relative PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique  Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Responsibility Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Children Receiving  In-Home Services,Children Receiving In-Home Purchased Services,Children in Substitute Care,Children Receiving Sub-Care Purchased Services,Children in Foster Care,Children in Paid Foster Care,Child PopulationAges 0 - 13,Licensed Child Care Centers,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Indepent Foster and Group Homes,Residential Treatment Centers*,Total Residential,Total Residential Capacity,TOTALS,STAR*,CYD*,SYSN*,TFTS,CBCAP,HOPES,CBFS,HIP
10,BASTROP,007,6198,12105,376,277,124,37,13,13,0,21662,11256,8136,1369,119,728,54,1221,958,10,711,147,20.7%,502,52,10,564,79.3%,711,632,27,52,1152,886,777,143,1009,98,21662,242,11.2,711,147,20.7%,,,42,123,3,2.4%,147,33,21662,294,13.6,109,183,97,150,,,,,,,,,,,,,,,,252,0,111,4,52,49,58,1,3,6,212,113,280,119,150,150,16034,32,2725,3,36,16,6,21662,0,44,1,0,0,45,165,127,116,0,11,,,,,
11,BAYLOR,002,265,941,45,28,24,17,0,0,0,758,175,556,12,0,12,3,61,54,0,44,13,29.5%,30,1,0,31,70.5%,44,42,1,1,73,50,48,3,70,1,758,19,25.1,44,13,29.5%,,,3,6,0,0.0%,23,7,758,4,5.3,1,0,4,4,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,0,0,6,0,4,4,4,4,577,3,150,0,0,2,0,758,0,2,0,0,0,2,5,6,6,0,0,,,,,
12,BEE,011,3617,3967,183,140,72,25,1,1,1,6889,5085,1553,101,34,103,13,467,382,7,300,73,24.3%,203,23,1,227,75.7%,300,231,46,23,514,364,328,140,374,36,6889,130,18.9,300,73,24.3%,,,68,190,8,4.2%,175,41,6889,174,25.3,53,84,78,116,,,,,,,,,,,,,,,,159,0,53,29,15,6,84,1,1,0,242,75,162,55,116,106,5246,8,767,1,12,3,1,6889,0,10,1,0,0,11,180,34,34,0,0,,,,,
13,BELL,007,27322,34060,1710,1098,543,160,76,61,11,100813,29637,39719,21305,1889,7840,423,5018,4396,47,3273,661,20.2%,2483,97,32,2612,79.8%,3273,2795,243,235,5271,4075,3873,884,4387,413,100813,1069,10.6,3273,661,20.2%,4,0,342,950,80,8.4%,972,145,100813,1045,10.4,481,612,417,610,,,,,,,,,,,,,,,,918,0,510,32,99,71,385,1,31,4,788,475,1029,344,610,596,81673,152,14230,41,488,78,100,100813,7,213,2,0,1,223,758,471,298,2,171,,,,,
14,BEXAR,008,137156,212898,9528,6261,2665,1038,1189,1083,128,496981,340424,98874,32635,10251,13848,949,24110,17104,178,13790,2942,21.3%,9954,748,146,10848,78.7%,13790,11535,1596,659,23382,17695,16094,4479,18903,942,496981,4941,9.9,13790,2942,21.3%,4,1,2691,8158,728,8.9%,6497,1288,496981,5002,10.1,1562,2544,2361,3234,,,,,,,,,,,,,,,,4159,0,1600,202,1015,978,1134,3,58,153,9195,2475,4905,2434,3234,3154,384566,545,61504,46,552,204,334,496981,34,1053,15,0,7,1109,4088,2157,642,1238,277,,,,,
15,BLANCO,007,953,2640,30,25,9,2,0,0,0,2263,753,1458,4,18,23,7,79,65,0,64,14,21.9%,45,4,1,50,78.1%,64,54,6,4,103,80,68,17,86,3,2263,23,10.2,64,14,21.9%,,,5,11,3,27.3%,6,1,2263,16,7.1,6,9,6,8,,,,,,,,,,,,,,,,13,0,6,0,3,0,6,0,0,0,17,6,15,4,8,7,1631,6,229,0,0,2,0,2263,0,2,0,0,0,2,4,44,44,0,0,,,,,
16,BORDEN,009,34,180,8,2,1,0,0,0,0,115,28,87,0,0,0,0,6,5,0,3,0,0.0%,2,1,0,3,100.0%,3,3,0,0,3,3,2,0,3,0,115,0,0.0,3,0,0.0%,,,0,0,0,0.0%,2,0,115,0,0.0,0,0,0,0,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,1,13,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,,,,,
17,BOSQUE,007,1551,4623,119,89,53,5,0,0,0,4113,1317,2638,72,4,78,4,161,142,0,124,33,26.6%,87,3,1,91,73.4%,124,107,6,11,223,157,153,46,177,33,4113,56,13.6,124,33,26.6%,,,12,33,0,0.0%,50,12,4113,64,15.6,32,28,36,43,,,,,,,,,,,,,,,,54,0,32,0,19,8,3,0,0,0,30,7,64,23,43,43,3050,4,216,1,12,1,1,4113,0,3,0,0,0,3,8,16,16,0,0,,,,,
18,BOWIE,004,7582,14772,373,250,128,68,8,6,1,21861,2080,12360,6132,188,995,106,1114,941,10,840,169,20.1%,545,95,31,671,79.9%,840,751,46,43,1377,1070,854,173,1204,72,21861,270,12.4,840,169,20.1%,,,63,191,22,11.5%,213,21,21861,207,9.5,88,101,99,93,,,,,,,,,,,,,,,,172,0,125,14,12,5,87,0,5,2,262,122,200,36,93,90,16813,34,3352,5,60,20,8,21861,0,16,0,0,0,16,44,112,112,0,0,,,,,
19,BRAZORIA,006,19410,39646,807,586,372,145,41,41,4,97607,36239,39422,11574,6609,3444,319,2592,2203,25,1810,362,20.0%,1219,190,39,1448,80.0%,1810,1547,231,32,2944,2227,1814,542,2402,52,97607,641,6.6,1810,362,20.0%,3,1,336,978,34,3.5%,656,93,97607,256,2.6,84,114,133,177,,,,,,,,,,,,,,,,186,0,78,13,30,15,76,1,9,7,1067,237,247,111,177,173,75183,149,18013,12,143,33,48,97607,1,124,3,0,2,130,625,342,317,0,25,,,,,
20,BRAZOS,007,10514,17733,442,267,150,28,35,34,3,49385,18624,20702,6563,2084,1302,110,1487,1270,14,1038,229,22.1%,726,73,10,809,77.9%,1038,973,50,15,1713,1275,1134,123,1590,21,49385,378,7.7,1038,229,22.1%,2,0,67,187,6,3.2%,263,46,49385,128,2.6,23,56,75,98,,,,,,,,,,,,,,,,107,0,23,3,23,26,40,1,12,3,147,56,131,75,98,96,40755,69,7194,15,177,34,27,49385,3,48,1,0,1,53,181,297,296,0,1,,,,,
21,BREWSTER,010,874,1940,97,66,47,11,0,0,0,2083,1198,793,10,21,55,6,63,49,1,37,12,32.4%,24,1,0,25,67.6%,37,37,0,0,57,40,39,0,57,0,2083,17,8.2,37,12,32.4%,,,2,7,0,0.0%,19,1,2083,3,1.4,0,3,1,1,,,,,,,,,,,,,,,,3,0,0,0,0,0,3,0,1,0,7,4,4,0,1,0,1629,3,230,1,12,9,2,2083,0,1,0,0,0,1,2,6,6,0,0,,,,,
22,BRISCOE,001,72,442,4,2,2,1,0,0,0,354,146,194,8,0,6,0,12,11,0,10,2,20.0%,8,0,0,8,80.0%,10,9,1,0,19,14,14,3,16,0,354,4,11.3,10,2,20.0%,,,3,8,2,25.0%,3,0,354,5,14.1,2,3,2,3,,,,,,,,,,,,,,,,4,0,4,0,2,0,0,0,1,0,8,1,5,0,3,3,277,0,0,0,0,0,0,354,0,2,0,0,0,2,5,2,2,0,0,,,,,
23,BROOKS,011,1037,1416,81,65,28,13,0,0,0,2041,1900,124,4,4,7,2,139,115,0,106,19,17.9%,80,4,3,87,82.1%,106,81,20,5,185,148,136,41,144,4,2041,29,14.2,106,19,17.9%,,,37,99,2,2.0%,45,6,2041,19,9.3,5,7,12,15,,,,,,,,,,,,,,,,14,0,5,0,0,0,10,0,0,1,124,18,19,8,15,13,1613,5,274,0,0,1,0,2041,0,1,0,0,0,1,0,8,8,0,0,,,,,
24,BROWN,002,2208,7910,387,262,179,72,27,26,8,9180,3049,5429,312,48,295,47,639,482,5,352,103,29.3%,221,27,1,249,70.7%,352,262,52,38,599,404,357,162,437,60,9180,180,19.6,352,103,29.3%,,,78,204,3,1.5%,139,38,9180,160,17.4,70,90,66,96,,,,,,,,,,,,,,,,134,0,67,8,18,24,35,0,0,0,219,90,156,80,96,95,7012,12,904,2,24,7,8,9180,8,63,1,0,0,72,272,42,27,0,15,,,,,
25,BURLESON,007,1551,3664,74,42,27,8,1,1,0,4120,1269,2243,509,0,90,9,248,202,0,143,29,20.3%,112,2,0,114,79.7%,143,130,3,10,203,153,151,19,184,15,4120,47,11.4,143,29,20.3%,,,5,12,0,0.0%,27,8,4120,59,14.3,14,33,25,24,,,,,,,,,,,,,,,,43,0,14,0,2,6,24,0,2,1,45,18,58,15,24,24,3120,5,310,1,12,6,1,4120,0,5,0,0,0,5,8,74,74,0,0,,,,,
26,BURNET,007,4374,10139,157,106,64,18,5,4,3,10348,3876,5972,196,47,224,33,551,475,9,367,98,26.7%,249,20,0,269,73.3%,367,320,17,30,570,396,369,83,487,47,10348,153,14.8,367,98,26.7%,,,30,75,7,9.3%,52,11,10348,126,12.2,48,78,43,66,,,,,,,,,,,,,,,,113,0,52,4,23,19,45,0,4,4,123,56,121,55,66,66,7726,18,1473,1,12,7,1,10348,0,26,0,0,0,26,65,31,30,0,1,,,,,
27,CALDWELL,007,3290,5871,256,196,95,38,12,9,0,10380,6656,2983,473,61,185,22,591,468,6,373,118,31.6%,218,35,2,255,68.4%,373,310,31,32,614,398,333,111,503,45,10380,190,18.3,373,118,31.6%,,,41,103,7,6.8%,99,19,10380,137,13.2,53,80,57,74,,,,,,,,,,,,,,,,119,0,60,10,13,21,28,0,0,5,119,73,137,48,74,72,7817,13,820,0,0,7,1,10380,0,24,0,0,1,25,272,131,127,0,4,,,,,
28,CALHOUN,008,2058,3886,137,81,36,14,8,6,0,5931,3880,1624,108,256,57,6,223,160,3,159,36,22.6%,109,11,3,123,77.4%,159,131,22,6,261,205,182,44,217,7,5931,52,8.8,159,36,22.6%,3,0,30,74,6,8.1%,42,7,5931,51,8.6,15,25,27,34,,,,,,,,,,,,,,,,35,0,15,7,10,3,8,0,0,0,87,16,52,13,34,34,4541,9,654,2,24,0,1,5931,0,2,0,0,0,2,4,105,105,0,0,,,,,
29,CALLAHAN,002,1313,2874,128,104,75,40,0,0,0,3234,433,2637,36,11,93,24,212,191,0,128,28,21.9%,86,14,0,100,78.1%,128,111,14,3,207,166,143,33,174,7,3234,38,11.8,128,28,21.9%,,,19,56,4,7.1%,45,9,3234,20,6.2,11,11,10,10,,,,,,,,,,,,,,,,18,0,11,2,0,1,6,0,0,0,54,13,21,4,10,10,2407,3,161,1,12,7,2,3234,0,10,0,0,0,10,43,1,0,1,0,,,,,
30,CAMERON,011,28510,54672,1931,1515,787,350,298,265,16,143894,136137,6300,280,679,387,111,5289,4096,46,3465,736,21.2%,2455,255,19,2729,78.8%,3465,2676,665,124,5973,4425,3899,1653,4320,223,143894,1371,9.5,3465,736,21.2%,,,877,2677,135,5.0%,2176,426,143894,684,4.8,325,389,286,414,,,,,,,,,,,,,,,,631,0,332,44,41,14,270,0,13,1,2533,251,675,207,414,410,110166,205,13975,21,245,17,22,143894,15,207,10,0,0,232,2414,1650,564,1015,71,,,,,
31,CAMP,004,1067,2469,72,52,27,12,0,0,0,3427,1229,1476,541,26,148,7,155,136,0,119,28,23.5%,87,4,0,91,76.5%,119,107,3,9,201,148,141,27,174,17,3427,51,14.9,119,28,23.5%,,,7,18,1,5.6%,49,8,3427,46,13.4,19,22,24,31,,,,,,,,,,,,,,,,43,0,19,0,3,12,16,0,1,2,26,21,46,18,31,31,2603,3,251,1,12,1,0,3427,0,10,0,0,0,10,28,20,20,0,0,,,,,
32,CARSON,001,245,1170,16,13,10,5,0,0,0,1506,197,1257,10,5,34,3,53,47,0,26,10,38.5%,13,3,0,16,61.5%,26,19,5,2,41,25,19,10,31,4,1506,14,9.3,26,10,38.5%,,,9,25,3,12.0%,5,1,1506,11,7.3,6,0,9,9,,,,,,,,,,,,,,,,11,0,7,0,1,0,5,0,2,0,23,5,9,1,9,7,1111,0,0,0,0,3,0,1506,0,6,0,0,0,6,17,3,3,0,0,,,,,
33,CASS,004,3019,6741,141,104,56,26,3,2,1,6997,533,4920,1279,25,213,27,355,295,5,238,63,26.5%,152,22,1,175,73.5%,238,200,11,27,365,263,231,69,296,51,6997,96,13.7,238,63,26.5%,,,25,87,7,8.0%,72,17,6997,86,12.3,56,59,22,30,,,,,,,,,,,,,,,,84,0,61,6,10,4,28,0,4,0,97,36,81,12,30,27,5263,4,334,0,0,5,0,6997,0,8,0,0,0,8,32,46,46,0,0,,,,,
34,CASTRO,001,354,1245,25,15,13,6,0,0,0,2491,1855,567,44,5,12,8,51,40,1,29,7,24.1%,19,3,0,22,75.9%,29,22,6,1,42,30,26,13,29,2,2491,11,4.4,29,7,24.1%,,,9,36,6,16.7%,37,4,2491,24,9.6,8,18,4,5,,,,,,,,,,,,,,,,19,0,8,0,1,2,8,0,3,0,41,2,22,4,5,4,1900,3,99,0,0,0,1,2491,0,4,0,0,0,4,12,2,2,0,0,,,,,
35,CHAMBERS,006,3214,4667,119,97,73,41,0,0,0,10845,3270,6481,721,98,244,31,330,275,0,220,68,30.9%,130,17,5,152,69.1%,220,168,39,13,361,242,199,90,271,13,10845,110,10.1,220,68,30.9%,1,0,54,150,10,6.7%,52,8,10845,52,4.8,20,23,28,29,,,,,,,,,,,,,,,,43,0,20,1,5,7,20,1,3,0,177,10,51,14,29,29,7862,13,1600,1,12,8,2,10845,0,13,0,0,0,13,32,8,8,0,0,,,,,
36,CHEROKEE,004,3956,8930,379,297,204,108,566,526,33,13835,5033,6438,1802,78,465,19,637,549,6,450,105,23.3%,315,27,3,345,76.7%,450,382,36,32,744,542,486,135,609,67,13835,184,13.3,450,105,23.3%,,,65,164,16,9.8%,111,28,13835,195,14.1,74,87,109,130,,,,,,,,,,,,,,,,165,0,88,1,28,32,33,1,2,0,217,67,196,69,130,128,10635,13,1124,1,12,12,3,13835,0,12,0,0,0,12,45,179,179,0,0,,,,,
37,CHILDRESS,001,311,1182,49,38,29,20,0,0,0,1510,521,870,63,11,32,13,69,57,4,45,11,24.4%,25,9,0,34,75.6%,45,36,7,2,84,66,46,14,70,4,1510,17,11.3,45,11,24.4%,,,8,14,0,0.0%,13,5,1510,8,5.3,1,0,8,8,,,,,,,,,,,,,,,,7,0,4,0,1,2,1,0,0,0,16,2,8,5,8,8,1171,2,54,3,36,7,2,1510,0,1,0,0,0,1,3,13,13,0,0,,,,,
38,CLAY,002,1166,2226,101,69,62,23,0,0,0,2386,177,2120,12,0,43,34,64,58,0,70,16,22.9%,47,7,0,54,77.1%,70,61,8,1,116,89,79,19,97,1,2386,25,10.5,70,16,22.9%,,,9,22,0,0.0%,18,5,2386,8,3.4,1,5,2,3,,,,,,,,,,,,,,,,3,0,1,0,0,1,1,0,0,0,22,2,7,2,3,3,1793,3,151,0,0,3,1,2386,0,9,0,0,0,9,25,0,0,0,0,,,,,
39,COCHRAN,001,251,576,94,86,80,49,0,0,0,881,617,242,17,2,3,0,31,27,0,32,5,15.6%,27,0,0,27,84.4%,32,30,2,0,58,44,44,7,51,0,881,13,14.8,32,5,15.6%,,,5,16,0,0.0%,4,0,881,2,2.3,0,2,0,0,,,,,,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,16,0,2,1,0,0,701,1,50,0,0,1,0,881,0,1,0,0,0,1,3,9,9,0,0,,,,,
40,COKE,009,176,887,31,19,14,12,0,0,0,618,188,417,1,0,12,0,48,37,0,32,7,21.9%,22,2,1,25,78.1%,32,28,2,2,56,41,38,6,50,3,618,11,17.8,32,7,21.9%,,,2,3,0,0.0%,12,4,618,7,11.3,3,4,4,7,,,,,,,,,,,,,,,,6,0,3,0,0,0,3,0,0,0,3,2,8,1,7,7,444,1,20,0,0,1,0,618,0,1,0,0,0,1,1,6,6,0,0,,,,,
41,COLEMAN,002,514,2195,116,84,49,20,0,0,0,1938,506,1337,41,9,37,8,110,95,0,77,27,35.1%,46,3,1,50,64.9%,77,59,14,4,122,76,72,32,90,8,1938,41,21.2,77,27,35.1%,,,21,48,0,0.0%,48,22,1938,22,11.4,9,7,14,14,,,,,,,,,,,,,,,,16,0,9,0,1,2,4,0,0,0,43,4,21,4,14,14,1462,1,64,2,24,2,4,1938,0,3,0,0,0,3,13,56,56,0,0,,,,,
42,COLLIN,003,31009,92982,1254,886,531,154,75,76,2,254505,54709,128972,23681,33944,11956,1243,5007,4157,44,3102,807,26.0%,1692,514,89,2295,74.0%,3102,2786,199,117,4779,3343,2396,614,4165,215,254505,1297,5.1,3102,807,26.0%,1,0,389,969,28,2.9%,855,137,254505,541,2.1,232,238,282,386,,,,,,,,,,,,,,,,474,0,232,27,61,68,168,3,7,7,912,298,520,289,386,376,189055,357,56168,102,1221,180,147,254505,1,201,1,0,1,204,513,432,272,0,160,,,,,
43,COLLINGSWORTH,001,189,593,15,15,13,8,0,0,0,831,422,361,21,0,16,11,39,35,0,25,4,16.0%,16,4,1,21,84.0%,25,21,2,2,53,45,35,7,46,2,831,6,7.2,25,4,16.0%,,,3,8,0,0.0%,6,1,831,10,12.0,1,5,5,4,,,,,,,,,,,,,,,,10,0,3,0,2,2,3,0,0,0,11,2,10,2,4,4,657,0,0,1,12,1,0,831,0,1,0,0,0,1,3,5,5,0,0,,,,,
44,COLORADO,006,1461,4598,63,50,24,8,0,0,0,4953,2257,1900,674,26,93,3,160,139,0,107,21,19.6%,77,8,1,86,80.4%,107,94,8,5,169,131,120,22,147,11,4953,35,7.1,107,21,19.6%,,,11,33,0,0.0%,16,1,4953,23,4.6,7,17,5,9,,,,,,,,,,,,,,,,16,0,8,0,0,3,6,0,0,0,40,3,22,7,9,9,3761,8,576,2,24,4,2,4953,0,0,0,0,0,0,0,123,90,0,33,,,,,
45,COMAL,008,8648,23704,432,269,137,36,49,41,5,28014,10547,16161,421,180,642,63,1158,889,8,786,270,34.4%,453,61,2,516,65.6%,786,596,118,72,1284,759,652,378,906,144,28014,489,17.5,786,270,34.4%,,,187,461,32,6.9%,348,84,28014,411,14.7,186,238,157,235,,,,,,,,,,,,,,,,345,0,188,9,65,46,84,0,9,5,576,127,395,102,235,233,20271,39,4057,5,58,15,7,28014,1,60,4,0,1,66,324,483,465,0,18,,,,,
46,COMANCHE,002,1166,3241,108,79,58,24,0,0,0,3372,1517,1794,7,8,39,7,132,121,0,89,23,25.8%,65,0,1,66,74.2%,89,75,12,2,146,103,102,25,121,2,3372,34,10.1,89,23,25.8%,,,23,57,2,3.5%,22,2,3372,17,5.0,4,7,10,16,,,,,,,,,,,,,,,,16,0,4,3,3,5,3,0,0,0,56,4,17,12,16,15,2569,2,98,5,60,5,2,3372,1,11,0,0,0,12,33,24,24,0,0,,,,,
