,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
23,BROOKS,011,628,1348,52,47,32,24,0,0,0,1999,4,116,1869,2,8,140,121,0,103,19,18.4%,74,6,4,84,81.6%,,,,211,169,157,47,164,17,1999,41,20.5,103,19,18.4%,,,27,76,0,0.0%,59,15,33,16.5,17,5,28,27,,,,,,,,,,,,,,,24,0,17,0,1,2,10,0,0,0,28,"$408,371",8,"$11,375.34",33,10,"$1,675.94",74,1577,6,280,0,0,0,0,1999,0,0,0,0,0,0,0,11,0,0,11,,
24,BROWN,002,3376,7322,323,269,209,169,26,23,2,9128,307,5556,2919,38,308,423,355,5,328,87,26.5%,227,11,3,241,73.5%,,,,500,357,339,101,399,32,9128,134,14.7,328,87,26.5%,,,44,98,1,1.0%,158,47,136,14.9,29,64,71,95,,,,,,,,,,,,,,,107,0,30,7,31,32,25,0,1,2,94,"$1,230,969",144,"$102,576.26",135,6,$666.51,130,7029,15,1154,1,12,8,10,9128,7,59,1,0,0,67,285,23,0,4,27,,
25,BURLESON,007,1206,3332,60,54,42,35,0,0,0,4135,519,2260,1258,11,87,140,125,0,94,14,14.9%,75,5,0,80,85.1%,,,,151,125,116,14,137,15,4135,24,5.8,94,14,14.9%,,,2,3,0,0.0%,24,4,49,11.9,16,22,28,30,,,,,,,,,,,,,,,40,0,16,2,4,4,15,0,3,1,30,"$339,270",7,"$4,628.95",50,0,$0.00,26,3148,6,340,1,12,4,2,4135,0,6,0,0,0,6,17,95,0,0,95,,
26,BURNET,007,2800,9212,151,129,90,71,5,5,1,10190,184,6088,3641,30,247,433,360,5,281,70,24.9%,193,16,2,211,75.1%,,,,434,307,277,97,337,56,10190,117,11.5,281,70,24.9%,,,27,67,7,10.4%,99,22,139,13.6,65,79,53,83,,,,,,,,,,,,,,,128,0,69,10,21,9,42,0,9,1,81,"$1,040,384",29,"$18,087.86",132,10,"$1,534.84",102,7687,17,1378,2,24,5,2,10190,0,18,0,0,0,18,50,19,0,24,43,,
27,CALDWELL,007,2578,5297,149,114,59,51,7,7,0,10196,518,2997,6428,22,231,453,381,1,298,81,27.2%,201,13,3,217,72.8%,,,,461,329,307,75,386,46,10196,127,12.5,298,81,27.2%,,,24,57,6,10.5%,162,25,127,12.5,48,87,36,53,,,,,,,,,,,,,,,106,0,51,3,13,13,35,0,1,0,54,"$800,937",32,"$47,545.97",123,5,$437.50,84,7751,15,860,0,0,10,0,10196,0,26,0,0,1,27,274,108,0,4,112,,
28,CALHOUN,008,1646,3607,89,60,32,22,3,3,0,5799,109,1667,3713,7,303,169,148,2,146,43,29.5%,92,8,3,103,70.5%,,,,239,164,145,53,186,5,5799,69,11.9,146,43,29.5%,,,29,81,4,4.9%,54,21,22,3.8,8,4,18,22,,,,,,,,,,,,,,,13,0,8,0,1,1,3,0,1,1,22,"$334,727",3,"$5,545.45",22,0,$0.00,92,4425,7,489,2,24,0,1,5799,0,5,0,0,0,5,16,138,0,0,138,,
29,CALLAHAN,002,1257,2713,72,56,37,33,0,0,0,3289,41,2719,419,21,89,140,113,0,99,17,17.2%,71,10,1,82,82.8%,,,,153,122,106,18,135,1,3289,27,8.2,99,17,17.2%,,,12,28,0,0.0%,52,16,15,4.6,1,6,8,12,,,,,,,,,,,,,,,10,0,1,1,1,1,7,0,1,0,12,"$198,244",1,"$3,000.00",14,2,$62.00,36,2455,3,83,1,12,6,1,3289,0,11,0,0,0,11,34,2,0,0,2,,
30,CAMERON,011,33682,50368,1561,1293,945,727,258,216,13,139814,282,6389,132037,105,1001,4148,3447,36,2987,849,28.4%,1837,278,23,2138,71.6%,,,,5250,3484,2964,1634,3616,214,139814,1608,11.5,2987,849,28.4%,,,918,2770,56,2.0%,1385,358,533,3.8,253,238,277,377,,,,,,,,,,,,,,,481,0,257,55,9,11,227,3,6,4,357,"$3,745,330",236,"$203,395.45",515,147,"$16,974.61",2889,108458,209,14680,24,282,29,30,139814,9,163,9,0,0,181,1763,432,1996,70,2498,,
31,CAMP,004,1116,2230,66,46,34,29,2,0,0,3393,541,1490,1204,8,150,154,139,0,122,36,29.5%,73,11,2,86,70.5%,,,,199,129,111,62,137,25,3393,67,19.7,122,36,29.5%,,,24,67,7,10.4%,39,10,60,17.7,32,27,33,36,,,,,,,,,,,,,,,56,0,32,0,8,6,15,0,0,2,36,"$300,989",22,"$14,044.62",60,6,$570.00,80,2578,5,425,1,12,2,0,3393,0,7,0,0,0,7,11,17,0,0,17,,
32,CARSON,001,433,1117,21,20,18,13,0,0,0,1531,13,1277,197,7,37,61,46,0,39,7,17.9%,27,3,2,32,82.1%,,,,63,55,47,5,58,1,1531,8,5.2,39,7,17.9%,,,2,6,0,0.0%,23,3,6,3.9,1,1,5,6,,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,1,0,6,"$88,511",3,$459.52,6,3,$252.00,11,1131,0,0,0,0,0,2,1531,0,2,0,0,0,2,4,3,0,0,3,,
