,County,Region,Population With a Disablilty Ages 18-64,Population  Ages 65 Plus,Total APS  Intakes,Total APS  Completed Investigations,Validated APS  Investigations,Closed Service Delivery Stages,Intakes,Completed Investigations,Confirmed Investigations,Total,African American,Anglo,Hispanic,Native American,Other**,Initial Intakes Alleging Abuse/Neglect,Child Abuse/Neglect Reports Assigned for Investigation,CPS Workers Responsible for Intake or Investigation by Office Location,Total Completed Investigations,Total Confirmed Investigations,Percent Confirmed Investigations,Unconfirmed Investigations - Ruled Out,Unconfirmed Investigations - Unable To Determine,Unconfirmed Investigations - Unable To Complete,Total Unconfirmed,Percent Unconfirmed,Not Open To Services,Family Preservation,Family Subsitute Care*,Alleged Victims of Child Abuse/ Neglect,Alleged Victims in Unconfirmed Investigations,Alleged Victims in Ruled Out Investigations*,Alleged Victims Provided Services**,Alleged Victims Not Provided Services**,Children Removed From Home***,Child  Population,Confirmed Victims of Child Abuse/ Neglect,Confirmed Victims of Child Abuse/ Neglect per 1000 Children,Total CPS Completed Investigations,Confirmed CPS Investi-gations,Percent Investigations Confirmed,Child Abuse/Neglect Related Fatalities,Child Abuse/Neglect Related Fatalities in  Foster Care at Time*,Number of Families,Number of Children,Children* Removed From Home,Percent of Children Removed,Total Children Served in Fiscal Year 2008,Subsequently Confirmed Victims in Fiscal Years 2008 - 2013,Children in DFPS Legal Responsibility,Point Prevalence**,Children Entering Subsitute Care (Total Removals),Children in Substitute Care***: Relative ****,Children in Substitute Care***: Non-Relative,Children in Foster Care*,Other***,Family Reunification,Custody Given to Relative PCA,Custody Given to Relative Non-PCA,Non-Relative Adoption,Relative Adoption,Children Emancipated,Other,Relative With PCA,Relative Without PCA,Adoption by Relative,Adoption by Non-Relative,Long Term Care - Emancipation,Long Term Care - Other,Unique Children*,Possessory CVS,TMC**,PMC: Not Free  for Adoption,PMC: Free  for Adoption,Adoption Finalized****,DFPS Custody Terminated***,Foster Homes*,Foster/ Adoptive Homes**,Adoptive Homes***,Paid Foster  Care Clients,Foster Care  Expenditures*,Children Receiving Sub-Care Purchased Services,Expenditures For Sub-Care Purchased Services,Children in Substitute Care,Children Receiving In-home Purchased Services,Expenditures For In-Home Purchased Services,Children Receiving In-Home Services,Child Population Age 0 - 13,Licensed Child Care Centers*,Total Child Care Centers Capacity,Licensed Child Care Homes,Licensed Child Care Homes Capacity,Listed Family Homes,Registered Child Care Homes,Child Population Age 0-17,Child Placing  Agencies (CPA),Homes  Verified by CPAs,General Residential Operations,Independent Foster and Group Homes,Residential Treatment Centers,Total Residential,Total Residential Capacity,STAR*,CYD**,SYSN***,TOTAL,CBCAP*,TFTS**
85,GILLESPIE,008,1861,7279,75,75,45,37,1,0,0,5164,10,3140,1916,12,86,160,120,0,100,29,29.0%,66,5,0,71,71.0%,,,,160,106,99,41,119,13,5164,49,9.5,100,29,29.0%,,,21,51,8,15.7%,40,10,51,9.9,15,16,30,40,,,,,,,,,,,,,,,41,0,15,1,8,6,16,0,0,2,40,"$635,997",15,"$17,256.25",46,11,"$1,344.78",73,3824,9,476,3,36,7,3,5164,0,8,0,0,0,8,18,46,0,35,81,,
86,GLASSCOCK,009,101,209,1,3,1,1,0,0,0,315,3,183,128,0,1,1,1,0,1,0,0.0%,1,0,0,1,100.0%,,,,1,1,1,0,1,0,315,0,0.0,1,0,0.0%,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,0,228,1,12,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0
87,GOLIAD,008,611,1576,12,13,9,8,0,0,0,1594,74,722,772,4,22,70,58,0,51,9,17.6%,38,4,0,42,82.4%,,,,78,68,58,8,70,0,1594,10,6.3,51,9,17.6%,,,8,18,0,0.0%,16,3,2,1.3,1,1,1,2,,,,,,,,,,,,,,,2,0,1,0,0,1,0,1,2,0,2,"$9,847",2,"$4,150.00",2,0,$0.00,18,1175,2,179,0,0,2,0,1594,0,6,0,0,0,6,24,10,0,0,10,,
88,GONZALES,008,1530,3273,62,39,20,13,4,4,0,5521,310,1554,3554,14,89,231,172,2,127,34,26.8%,80,9,4,93,73.2%,,,,207,147,128,41,166,11,5521,58,10.5,127,34,26.8%,,,19,41,11,26.8%,82,14,38,6.9,21,26,14,21,,,,,,,,,,,,,,,37,0,22,0,8,7,5,0,0,1,20,"$151,320",3,"$3,750.00",40,1,$27.00,42,4342,6,292,1,12,9,2,5521,1,4,1,0,1,7,138,80,0,0,80,,
89,GRAY,001,1608,3700,112,97,71,48,4,3,2,5822,151,3161,2326,19,165,298,267,4,226,63,27.9%,118,34,11,163,72.1%,,,,369,259,184,75,294,18,5822,101,17.3,226,63,27.9%,,,45,112,3,2.7%,72,24,104,17.9,18,37,58,69,,,,,,,,,,,,,,,72,0,19,0,9,14,32,0,5,0,70,"$1,141,379",26,"$20,275.26",95,33,"$5,813.17",132,4672,11,845,0,0,3,1,5822,0,11,0,0,0,11,26,27,0,1,28,,
90,GRAYSON,003,6758,20935,599,456,367,270,15,15,0,29448,1963,19610,5966,457,1452,1417,1215,14,1046,336,32.1%,541,152,17,710,67.9%,,,,1731,1122,836,343,1388,95,29448,559,19.0,1046,336,32.1%,,,181,449,14,3.1%,216,38,200,6.8,117,62,137,160,,,,,,,,,,,,,,,176,0,119,9,27,11,29,3,7,1,162,"$1,564,347",159,"$88,638.16",199,3,$396.70,479,22702,36,3224,7,84,37,19,29448,0,20,1,0,0,21,55,199,0,29,228,,
91,GREGG,004,11152,17719,602,445,269,207,67,67,14,31837,6895,14439,9036,111,1356,1259,1087,13,1017,304,29.9%,552,142,19,713,70.1%,,,,1630,1088,823,313,1317,136,31837,506,15.9,1017,304,29.9%,,,149,392,17,4.3%,257,46,333,10.5,141,121,214,265,,,,,,,,,,,,,,,259,0,140,6,29,39,67,1,8,3,257,"$3,355,001",107,"$115,682.45",335,72,"$7,405.93",437,25157,52,6039,4,48,22,16,31837,2,34,0,0,0,36,111,253,0,19,272,,
92,GRIMES,007,2011,4225,90,62,52,47,0,0,0,6096,882,2940,2116,12,146,204,178,0,147,36,24.5%,100,9,2,111,75.5%,,,,217,158,141,37,180,19,6096,56,9.2,147,36,24.5%,,,13,32,0,0.0%,58,13,47,7.7,18,21,25,32,,,,,,,,,,,,,,,38,0,18,0,2,7,14,1,0,0,32,"$320,426",11,"$9,799.84",46,0,$0.00,52,4662,6,314,10,119,5,5,6096,0,5,0,0,0,5,11,122,0,0,122,,
93,GUADALUPE,008,11139,18138,357,244,146,90,37,38,9,39127,2153,17084,18135,115,1640,1242,901,11,833,199,23.9%,569,63,2,634,76.1%,,,,1295,959,855,212,1083,53,39127,311,7.9,833,199,23.9%,,,118,343,6,1.7%,415,93,215,5.5,52,133,73,108,,,,,,,,,,,,,,,163,0,56,4,28,23,66,0,10,10,106,"$1,255,352",23,"$22,361.87",206,20,"$2,691.90",415,29165,40,3946,10,116,29,29,39127,0,78,0,0,1,79,221,112,0,2,114,,
94,HALE,001,2582,4563,122,117,100,74,4,3,0,10675,375,2447,7670,25,158,320,295,4,287,97,33.8%,161,20,9,190,66.2%,,,,529,344,284,125,404,23,10675,166,15.6,287,97,33.8%,,,75,199,6,3.0%,145,36,121,11.3,36,44,56,75,,,,,,,,,,,,,,,104,0,30,1,31,13,47,0,5,0,75,"$919,656",16,"$11,057.65",100,13,"$1,422.59",227,8435,7,664,5,60,9,5,10675,0,15,0,0,0,15,50,91,0,19,110,,
95,HALL,001,219,797,17,12,11,9,0,0,0,827,64,333,426,2,2,27,22,0,25,7,28.0%,11,6,1,18,72.0%,,,,34,24,14,8,26,5,827,10,12.1,25,7,28.0%,,,10,23,2,8.7%,6,3,18,21.8,7,13,4,12,,,,,,,,,,,,,,,17,0,11,0,1,0,6,0,1,0,14,"$113,493",1,$770.00,17,4,$563.40,26,607,1,47,0,0,2,0,827,0,2,0,0,0,2,10,3,0,0,3,,
96,HAMILTON,007,502,2153,37,30,13,12,0,0,0,1784,12,1404,336,8,24,73,60,2,56,18,32.1%,36,2,0,38,67.9%,,,,99,59,57,17,82,7,1784,35,19.6,56,18,32.1%,,,5,12,0,0.0%,19,6,20,11.2,7,7,13,15,,,,,,,,,,,,,,,18,0,7,0,8,8,6,0,1,0,15,"$203,870",6,"$4,200.00",20,0,$0.00,14,1347,3,199,4,48,3,3,1784,1,1,0,0,0,2,2,1,0,0,1,,
97,HANSFORD,001,398,824,8,10,8,4,0,0,0,1701,9,697,976,1,18,35,30,0,32,3,9.4%,25,3,1,29,90.6%,,,,60,57,52,1,59,1,1701,3,1.8,32,3,9.4%,,,1,4,2,50.0%,5,1,6,3.5,3,0,6,6,,,,,,,,,,,,,,,6,0,3,0,2,0,1,0,1,1,6,"$87,358",3,"$1,979.64",6,0,$0.00,4,1330,2,89,1,12,4,1,1701,0,2,0,0,0,2,2,14,0,17,31,,
98,HARDEMAN,002,359,880,56,42,35,24,0,0,0,1030,46,545,406,4,29,49,40,0,39,11,28.2%,23,5,0,28,71.8%,,,,69,44,37,13,56,6,1030,22,21.4,39,11,28.2%,,,4,9,3,33.3%,13,5,12,11.7,5,12,0,9,,,,,,,,,,,,,,,8,0,5,0,0,0,3,0,1,0,9,"$53,528",0,$0.00,12,0,$0.00,12,778,2,94,4,48,1,1,1030,0,1,0,0,0,1,5,29,0,1,30,,
99,HARDIN,005,6211,8310,194,129,93,69,7,8,2,14451,912,12126,1034,25,354,550,478,4,346,87,25.1%,243,15,1,259,74.9%,,,,536,398,380,40,496,8,14451,126,8.7,346,87,25.1%,,,41,105,10,9.5%,114,18,51,3.5,17,29,21,42,,,,,,,,,,,,,,,41,0,17,0,7,8,16,0,3,7,42,"$332,534",25,"$19,486.45",50,17,"$3,964.02",119,11041,11,1441,1,12,4,4,14451,0,20,0,0,0,20,45,36,0,0,36,,
100,HARRIS,006,223696,378495,11024,8877,6263,5031,473,403,71,1185780,214890,255764,626809,2052,86265,29464,24807,238,19996,3884,19.4%,12751,2401,960,16112,80.6%,,,,31384,24798,19433,5334,26050,1592,1185780,5929,5.0,19996,3884,19.4%,,,3509,10583,422,4.0%,6167,751,6846,5.8,1982,3115,3590,4286,,,,,,,,,,,,,,,4981,0,2058,191,810,1032,1302,22,118,82,4193,"$56,166,261",4206,"$5,026,384.58",6705,888,"$245,766.54",11207,937992,1570,178376,180,2146,756,1367,1185780,52,1320,21,4,17,1414,5439,1193,1925,500,3618,,
101,HARRISON,004,6326,9782,232,184,154,157,6,4,1,17372,3481,9576,3667,75,573,652,560,6,477,144,30.2%,283,43,7,333,69.8%,,,,807,544,452,145,662,52,17372,241,13.9,477,144,30.2%,,,70,174,9,5.2%,130,29,133,7.7,60,62,73,98,,,,,,,,,,,,,,,117,0,60,13,16,7,47,1,11,4,98,"$950,202",47,"$34,222.21",135,26,"$1,592.32",195,13508,15,1539,4,48,18,6,17372,0,23,2,0,1,26,174,151,0,25,176,,
102,HARTLEY,001,471,822,9,2,1,1,0,0,0,1320,7,873,414,6,20,15,11,0,14,3,21.4%,11,0,0,11,78.6%,,,,19,14,14,2,17,0,1320,5,3.8,14,3,21.4%,,,2,3,0,0.0%,5,0,0,0.0,0,0,1,1,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,2,0,1,"$5,568",0,$0.00,1,1,$84.00,3,1000,1,150,1,12,1,1,1320,0,5,0,0,0,5,16,0,0,0,0,0,0
103,HASKELL,002,531,1311,53,44,35,28,0,0,0,1204,37,656,473,7,31,52,40,2,32,7,21.9%,19,6,0,25,78.1%,,,,58,42,32,18,40,5,1204,15,12.5,32,7,21.9%,,,4,12,3,25.0%,9,0,10,8.3,5,2,8,10,,,,,,,,,,,,,,,10,0,5,3,3,0,0,0,0,0,10,"$152,769",0,$0.00,10,3,$81.00,12,944,2,95,0,0,2,1,1204,0,0,0,0,0,0,0,13,0,0,13,,
104,HAYS,007,10834,17226,308,248,139,84,30,29,4,45356,1219,20842,21714,120,1461,1111,962,13,971,191,19.7%,652,117,11,780,80.3%,,,,1486,1162,964,123,1363,60,45356,283,6.2,971,191,19.7%,,,64,160,9,5.6%,253,47,183,4.0,69,110,67,91,,,,,,,,,,,,,,,158,0,71,2,19,18,65,0,6,9,91,"$1,087,948",39,"$31,742.89",177,8,"$1,603.18",237,35008,79,5816,11,128,35,29,45356,3,78,1,0,3,85,535,280,0,54,334,,
105,HEMPHILL,001,265,566,5,5,4,4,0,0,0,1123,0,627,480,6,10,18,17,0,11,4,36.4%,6,1,0,7,63.6%,,,,16,9,8,6,10,4,1123,7,6.2,11,4,36.4%,,,2,6,2,33.3%,2,0,10,8.9,6,2,7,9,,,,,,,,,,,,,,,10,0,6,0,2,0,2,0,0,0,9,"$44,052",2,$274.74,9,1,$84.00,9,911,1,98,0,0,2,0,1123,0,0,0,0,0,0,0,1,0,0,1,,
106,HENDERSON,004,6912,16487,492,400,330,270,4,4,0,18266,1204,12563,3786,80,633,849,737,7,637,164,25.7%,407,58,8,473,74.3%,,,,991,714,607,160,831,72,18266,252,13.8,637,164,25.7%,,,81,218,17,7.8%,497,106,233,12.8,86,92,128,152,,,,,,,,,,,,,,,187,0,88,22,23,15,58,1,9,3,151,"$2,080,663",84,"$52,540.27",220,61,"$6,436.45",276,13985,16,1559,2,24,13,1,18266,1,31,0,0,0,32,89,139,0,0,139,,
107,HIDALGO,011,63284,83088,2424,2144,1355,1219,26,28,8,280219,704,9354,267193,150,2818,7710,6755,74,5962,1579,26.5%,3808,525,50,4383,73.5%,,,,10475,7115,6061,3035,7440,316,280219,3098,11.1,5962,1579,26.5%,,,1648,5387,236,4.4%,1792,371,1214,4.3,512,455,664,881,,,,,,,,,,,,,,,1096,0,564,81,14,14,532,2,10,3,882,"$8,511,531",445,"$281,059.43",1119,470,"$80,405.95",5810,218067,427,30946,95,1139,56,97,280219,5,138,1,0,0,144,626,543,1768,271,2582,,
108,HILL,007,2209,7128,157,112,71,47,0,0,0,8710,576,5187,2703,31,213,333,287,2,278,68,24.5%,195,13,2,210,75.5%,,,,452,334,311,61,391,19,8710,112,12.9,278,68,24.5%,,,24,70,1,1.4%,45,8,83,9.5,22,54,28,52,,,,,,,,,,,,,,,54,0,22,3,13,5,16,0,0,2,51,"$677,052",17,"$25,835.17",82,4,"$1,419.36",83,6691,10,515,2,24,11,2,8710,0,6,1,0,0,7,79,27,0,8,35,,
109,HOCKLEY,001,1686,3183,194,173,145,121,5,4,2,6299,220,2268,3698,23,90,266,242,2,226,79,35.0%,132,13,2,147,65.0%,,,,383,236,205,118,265,42,6299,139,22.1,226,79,35.0%,,,52,152,5,3.3%,70,20,105,16.7,43,41,58,74,,,,,,,,,,,,,,,89,0,43,2,22,11,24,0,5,1,79,"$849,043",23,"$19,666.67",99,3,$81.00,195,4980,11,565,6,72,7,1,6299,0,19,0,0,2,21,124,40,0,0,40,,
110,HOOD,003,2916,12582,197,154,129,120,0,0,0,11113,46,8572,2158,63,274,585,514,6,427,164,38.4%,219,40,4,263,61.6%,,,,701,401,318,179,522,40,11113,279,25.1,427,164,38.4%,,,114,291,12,4.1%,114,38,134,12.1,53,55,71,98,,,,,,,,,,,,,,,112,0,54,6,18,8,46,0,1,0,97,"$1,104,074",129,"$36,289.49",126,7,"$1,421.59",298,8531,16,1207,7,84,10,8,11113,1,13,0,0,0,14,36,15,0,0,15,,
111,HOPKINS,004,3077,5972,156,129,82,77,0,0,0,9155,613,5746,2365,44,387,352,283,6,227,47,20.7%,163,13,4,180,79.3%,,,,369,291,259,68,301,13,9155,68,7.4,227,47,20.7%,,,29,74,9,12.2%,86,18,71,7.8,26,28,33,29,,,,,,,,,,,,,,,62,0,30,4,5,9,23,0,2,0,30,"$369,855",21,"$12,756.94",61,13,"$1,193.10",84,7112,10,1038,4,48,11,1,9155,1,20,0,0,0,21,49,83,0,1,84,,
112,HOUSTON,005,2746,4955,187,127,121,126,0,0,0,4806,1263,2535,797,19,192,183,159,1,144,47,32.6%,88,8,1,97,67.4%,,,,223,144,121,42,181,26,4806,73,15.2,144,47,32.6%,,,16,41,0,0.0%,27,9,64,13.3,20,26,35,45,,,,,,,,,,,,,,,45,0,20,4,10,3,12,0,3,0,45,"$686,221",11,"$6,864.69",61,3,$226.48,54,3742,2,267,2,24,5,4,4806,0,7,0,0,0,7,25,5,0,0,5,,
113,HOWARD,009,3228,4901,243,180,106,70,245,234,24,7939,362,3264,4062,44,207,412,360,3,314,117,37.3%,160,27,10,197,62.7%,,,,532,322,258,130,402,59,7939,184,23.2,314,117,37.3%,,,56,134,27,20.1%,242,76,173,21.8,87,79,85,97,,,,,,,,,,,,,,,142,0,88,6,17,12,36,0,1,0,94,"$989,972",47,"$27,624.43",164,28,"$4,952.52",152,6307,11,1095,1,12,3,2,7939,0,8,0,0,0,8,18,23,0,10,33,,
114,HUDSPETH,010,244,578,15,15,12,10,0,0,0,970,5,88,862,2,13,19,11,0,8,2,25.0%,4,1,1,6,75.0%,,,,13,9,7,2,11,0,970,4,4.1,8,2,25.0%,,,2,4,0,0.0%,2,0,1,1.0,0,1,0,0,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,1,0,0,$0,0,$0.00,1,0,$0.00,4,719,1,34,0,0,2,0,970,0,1,0,0,0,1,4,3,0,0,3,,
115,HUNT,003,4932,13865,452,381,307,256,20,21,2,22492,2070,13873,5455,166,928,1055,945,8,712,204,28.7%,374,114,20,508,71.3%,,,,1171,810,595,269,902,107,22492,322,14.3,712,204,28.7%,,,100,253,12,4.7%,130,23,245,10.9,104,82,153,187,,,,,,,,,,,,,,,229,0,102,1,49,44,83,0,11,3,186,"$1,605,307",286,"$149,275.64",235,6,"$1,303.95",316,17162,24,2419,4,48,32,11,22492,0,40,1,0,1,42,192,267,0,107,374,,
116,HUTCHINSON,001,1560,3401,89,66,56,46,3,1,0,5775,114,3620,1793,64,184,292,238,2,214,33,15.4%,164,15,2,181,84.6%,,,,354,296,270,40,314,5,5775,55,9.5,214,33,15.4%,,,27,71,5,7.0%,67,10,54,9.4,11,26,27,21,,,,,,,,,,,,,,,44,0,11,0,6,13,20,0,4,1,20,"$323,054",2,$992.75,53,8,"$1,052.67",74,4481,4,238,3,36,7,2,5775,0,9,0,0,0,9,32,27,0,0,27,,
117,IRION,009,140,347,3,3,3,2,0,0,0,325,2,207,109,2,5,3,3,0,4,1,25.0%,3,0,0,3,75.0%,,,,6,4,4,2,4,0,325,1,3.1,4,1,25.0%,,,1,2,0,0.0%,3,1,1,3.1,0,1,0,1,,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,1,1,"$8,085",0,$0.00,1,0,$0.00,6,226,1,20,0,0,0,1,325,0,1,0,0,0,1,0,2,0,0,2,,
118,JACK,002,862,1485,74,57,51,39,0,0,0,1958,23,1465,443,2,25,91,78,0,63,20,31.7%,39,3,1,43,68.3%,,,,92,62,58,23,69,7,1958,28,14.3,63,20,31.7%,,,16,41,0,0.0%,14,5,19,9.7,9,12,4,8,,,,,,,,,,,,,,,17,0,9,0,3,1,5,0,1,1,8,"$159,273",2,"$3,777.00",16,4,$327.23,44,1475,3,133,1,12,2,1,1958,0,3,0,0,0,3,7,4,0,4,8,,
119,JACKSON,008,1055,2437,52,29,20,15,0,0,0,3562,264,1735,1508,7,48,106,87,0,78,20,25.6%,54,3,1,58,74.4%,,,,121,91,83,26,95,5,3562,30,8.4,78,20,25.6%,,,15,33,6,18.2%,32,3,14,3.9,10,8,6,6,,,,,,,,,,,,,,,13,0,10,0,0,3,1,0,4,0,3,"$40,997",5,"$6,369.10",14,3,$924.98,34,2784,6,305,7,84,15,1,3562,0,8,0,0,0,8,33,30,0,0,30,,
120,JASPER,005,3974,6443,272,199,143,122,5,4,1,8808,1667,5954,802,56,329,381,335,5,290,57,19.7%,189,42,2,233,80.3%,,,,463,352,284,69,394,12,8808,93,10.6,290,57,19.7%,,,49,113,9,8.0%,73,5,51,5.8,21,19,32,40,,,,,,,,,,,,,,,43,0,20,0,6,5,19,0,8,0,41,"$468,303",30,"$12,501.64",51,27,"$3,624.59",128,6906,8,853,2,24,3,3,8808,0,15,0,0,0,15,55,15,0,0,15,,
121,JEFF DAVIS,010,177,660,7,9,6,4,0,0,0,376,1,170,200,0,5,11,8,0,6,2,33.3%,4,0,0,4,66.7%,,,,15,9,9,0,15,0,376,6,16.0,6,2,33.3%,,,1,6,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,6,277,0,0,0,0,3,0,376,0,0,0,0,1,1,84,0,0,0,0,0,0
122,JEFFERSON,005,28935,33122,1413,985,638,513,127,113,31,61099,22289,18819,16095,143,3753,2132,1931,21,1708,355,20.8%,1214,111,28,1353,79.2%,,,,2640,2038,1821,305,2335,118,61099,537,8.8,1708,355,20.8%,,,193,520,23,4.4%,269,40,384,6.3,146,150,226,287,,,,,,,,,,,,,,,345,0,149,7,57,76,107,10,33,14,277,"$2,241,242",365,"$397,083.08",376,56,"$8,606.81",578,47736,82,8097,11,125,18,26,61099,6,105,4,0,0,115,473,237,0,2,239,,
123,JIM HOGG,011,449,924,17,13,5,9,0,0,0,1549,4,56,1475,9,5,68,62,0,52,18,34.6%,32,2,0,34,65.4%,,,,99,65,62,30,69,5,1549,31,20.0,52,18,34.6%,,,17,55,5,9.1%,42,18,25,16.1,9,14,11,11,,,,,,,,,,,,,,,20,0,9,0,0,0,13,0,0,0,11,"$74,933",5,$950.00,25,9,$810.70,75,1194,3,193,0,0,3,2,1549,0,0,0,0,0,0,0,2,0,0,2,,
124,JIM WELLS,011,3534,5876,182,139,95,72,5,4,0,12031,44,1654,10242,23,68,527,478,5,403,101,25.1%,265,29,8,302,74.9%,,,,670,488,424,155,515,32,12031,162,13.5,403,101,25.1%,,,92,274,3,1.1%,474,102,125,10.4,37,53,69,73,,,,,,,,,,,,,,,113,1,39,11,9,12,52,0,1,3,75,"$680,038",33,"$19,338.50",122,20,"$5,572.33",287,9348,22,893,2,24,4,2,12031,0,9,0,0,0,9,27,101,0,0,101,,
125,JOHNSON,003,8458,20735,393,331,245,219,54,53,8,42916,1110,28132,11974,201,1499,1800,1581,17,1281,404,31.5%,697,167,13,877,68.5%,,,,2073,1340,1054,489,1584,114,42916,674,15.7,1281,404,31.5%,,,307,798,23,2.9%,359,126,396,9.2,124,118,266,319,,,,,,,,,,,,,,,306,0,122,6,61,59,79,0,5,6,316,"$3,791,853",350,"$223,386.30",384,44,"$5,011.53",861,32747,37,4432,5,60,28,12,42916,0,68,0,0,0,68,216,85,0,2,87,,
126,JONES,002,2098,3056,144,107,81,59,4,3,0,3753,156,2243,1226,11,117,247,205,0,144,45,31.3%,73,23,3,99,68.8%,,,,242,156,110,47,195,12,3753,77,20.5,144,45,31.3%,,,22,53,7,13.2%,64,24,27,7.2,16,13,14,19,,,,,,,,,,,,,,,24,0,16,0,1,4,7,0,1,1,18,"$185,848",7,"$4,741.22",27,5,$135.00,59,2833,3,89,1,12,5,3,3753,0,9,0,0,0,9,28,79,0,0,79,,
127,KARNES,008,1246,2261,43,27,17,6,0,0,0,2927,55,941,1887,14,30,152,118,0,92,25,27.2%,54,12,1,67,72.8%,,,,156,108,81,51,105,9,2927,46,15.7,92,25,27.2%,,,22,71,18,25.4%,62,2,51,17.4,23,31,19,28,,,,,,,,,,,,,,,38,0,23,1,6,3,7,0,0,0,29,"$470,163",1,$319.10,50,4,$710.91,85,2253,3,86,1,12,3,2,2927,0,1,0,0,0,1,5,21,0,0,21,,
128,KAUFMAN,003,6339,12953,339,304,252,216,301,251,18,32292,3231,19192,8602,166,1101,856,751,11,549,142,25.9%,292,103,12,407,74.1%,,,,844,602,436,172,672,37,32292,223,6.9,549,142,25.9%,,,109,305,9,3.0%,170,31,121,3.7,56,62,61,73,,,,,,,,,,,,,,,107,0,56,6,13,16,33,0,6,1,74,"$914,664",171,"$67,504.22",123,12,"$5,358.34",332,24402,35,4267,7,84,40,16,32292,0,68,1,0,0,69,239,28,0,1,29,,
129,KENDALL,008,2841,6768,67,55,28,21,1,1,1,8429,36,5563,2615,24,191,178,129,1,112,35,31.3%,68,7,2,77,68.8%,,,,157,108,96,31,126,9,8429,47,5.6,112,35,31.3%,,,22,45,1,2.2%,36,7,36,4.3,9,24,10,24,,,,,,,,,,,,,,,27,0,9,0,5,8,5,0,0,0,26,"$292,178",13,"$16,853.21",34,10,"$1,066.75",46,6015,13,1153,2,24,5,4,8429,1,13,1,0,1,16,129,63,0,28,91,,
130,KENEDY,011,40,78,1,1,1,1,0,0,0,97,0,16,77,3,1,5,4,0,4,2,50.0%,2,0,0,2,50.0%,,,,7,5,5,2,5,0,97,2,20.6,4,2,50.0%,,,1,4,0,0.0%,0,0,1,10.3,0,0,1,1,,,,,,,,,,,,,,,1,0,1,0,0,0,1,0,0,0,1,"$2,332",0,$0.00,1,0,$0.00,5,71,0,0,0,0,0,0,97,0,0,0,0,0,0,0,9,0,0,9,,
131,KENT,002,58,236,7,7,5,2,0,0,0,172,1,120,48,1,2,4,3,0,3,1,33.3%,2,0,0,2,66.7%,,,,5,4,4,2,3,0,172,1,5.8,3,1,33.3%,,,3,9,0,0.0%,1,0,4,23.3,0,0,4,4,,,,,,,,,,,,,,,4,0,0,4,4,0,0,0,0,0,4,"$57,699",0,$0.00,4,0,$0.00,13,125,0,0,0,0,1,0,172,0,1,0,0,0,1,12,1,0,0,1,,
132,KERR,008,3662,13461,239,207,129,123,40,37,3,10231,147,5430,4349,21,284,522,445,6,332,90,27.1%,226,15,1,242,72.9%,,,,522,361,329,133,389,40,10231,150,14.7,332,90,27.1%,,,88,222,21,9.5%,182,28,155,15.2,57,64,81,111,,,,,,,,,,,,,,,125,0,57,4,25,23,26,0,1,0,108,"$1,423,832",68,"$93,739.77",145,30,"$3,835.79",279,7842,15,1412,2,24,11,4,10231,3,25,3,0,1,32,287,137,0,6,143,,
133,KIMBLE,009,377,1215,36,36,34,25,0,0,0,922,3,550,365,0,4,50,50,0,38,9,23.7%,27,2,0,29,76.3%,,,,66,47,44,14,52,5,922,18,19.5,38,9,23.7%,,,5,9,5,55.6%,18,5,27,29.3,11,9,16,19,,,,,,,,,,,,,,,21,0,11,0,2,4,4,0,0,0,17,"$249,296",2,"$3,011.50",25,0,$0.00,10,676,2,100,1,12,2,0,922,0,2,0,0,0,2,6,35,0,0,35,,
134,KING,001,20,44,0,0,0,0,0,0,0,60,0,51,9,0,0,1,1,0,1,0,0.0%,1,0,0,1,100.0%,,,,1,1,1,0,1,0,60,0,0.0,1,0,0.0%,,,0,0,0,0.0%,0,0,0,0.0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,$0,0,$0.00,0,0,$0.00,0,38,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
135,KINNEY,008,260,959,27,27,16,11,0,0,0,690,5,176,498,2,9,15,13,0,14,2,14.3%,12,0,0,12,85.7%,,,,21,16,16,4,17,3,690,4,5.8,14,2,14.3%,,,0,0,0,0.0%,10,3,5,7.2,0,2,3,3,,,,,,,,,,,,,,,2,0,0,0,2,0,0,0,0,2,3,"$58,267",0,$0.00,5,0,$0.00,0,499,0,0,0,0,0,0,690,0,2,0,0,0,2,0,2,0,0,2,,
